year,month,value,fetched_at
1856,1,0.243,2026-08-11 11:38:24
1856,2,0.176,2026-08-11 11:38:24
1856,3,0.248,2026-08-11 11:38:24
1856,4,0.167,2026-08-11 11:38:24
1856,5,0.219,2026-08-11 11:38:24
1856,6,0.241,2026-08-11 11:38:24
1856,7,0.255,2026-08-11 11:38:24
1856,8,0.232,2026-08-11 11:38:24
1856,9,0.299,2026-08-11 11:38:24
1856,10,0.149,2026-08-11 11:38:24
1856,11,0.159,2026-08-11 11:38:24
1856,12,0.253,2026-08-11 11:38:24
1857,1,0.238,2026-08-11 11:38:24
1857,2,-0.035,2026-08-11 11:38:24
1857,3,-0.050,2026-08-11 11:38:24
1857,4,0.032,2026-08-11 11:38:24
1857,5,-0.008,2026-08-11 11:38:24
1857,6,0.124,2026-08-11 11:38:24
1857,7,0.156,2026-08-11 11:38:24
1857,8,0.022,2026-08-11 11:38:24
1857,9,0.043,2026-08-11 11:38:24
1857,10,-0.110,2026-08-11 11:38:24
1857,11,-0.144,2026-08-11 11:38:24
1857,12,-0.259,2026-08-11 11:38:24
1858,1,-0.197,2026-08-11 11:38:24
1858,2,-0.290,2026-08-11 11:38:24
1858,3,-0.046,2026-08-11 11:38:24
1858,4,0.235,2026-08-11 11:38:24
1858,5,0.113,2026-08-11 11:38:24
1858,6,-0.016,2026-08-11 11:38:24
1858,7,-0.137,2026-08-11 11:38:24
1858,8,-0.047,2026-08-11 11:38:24
1858,9,0.094,2026-08-11 11:38:24
1858,10,0.172,2026-08-11 11:38:24
1858,11,0.299,2026-08-11 11:38:24
1858,12,0.146,2026-08-11 11:38:24
1859,1,-0.109,2026-08-11 11:38:24
1859,2,-0.097,2026-08-11 11:38:24
1859,3,0.083,2026-08-11 11:38:24
1859,4,0.173,2026-08-11 11:38:24
1859,5,0.110,2026-08-11 11:38:24
1859,6,-0.078,2026-08-11 11:38:24
1859,7,-0.158,2026-08-11 11:38:24
1859,8,0.086,2026-08-11 11:38:24
1859,9,0.103,2026-08-11 11:38:24
1859,10,0.151,2026-08-11 11:38:24
1859,11,0.083,2026-08-11 11:38:24
1859,12,0.105,2026-08-11 11:38:24
1860,1,0.138,2026-08-11 11:38:24
1860,2,-0.089,2026-08-11 11:38:24
1860,3,0.084,2026-08-11 11:38:24
1860,4,-0.046,2026-08-11 11:38:24
1860,5,0.192,2026-08-11 11:38:24
1860,6,0.326,2026-08-11 11:38:24
1860,7,0.252,2026-08-11 11:38:24
1860,8,0.062,2026-08-11 11:38:24
1860,9,0.018,2026-08-11 11:38:24
1860,10,0.132,2026-08-11 11:38:24
1860,11,0.015,2026-08-11 11:38:24
1860,12,0.164,2026-08-11 11:38:24
1861,1,0.023,2026-08-11 11:38:24
1861,2,-0.087,2026-08-11 11:38:24
1861,3,0.016,2026-08-11 11:38:24
1861,4,0.270,2026-08-11 11:38:24
1861,5,0.217,2026-08-11 11:38:24
1861,6,0.314,2026-08-11 11:38:24
1861,7,0.436,2026-08-11 11:38:24
1861,8,0.324,2026-08-11 11:38:24
1861,9,0.281,2026-08-11 11:38:24
1861,10,0.236,2026-08-11 11:38:24
1861,11,0.238,2026-08-11 11:38:24
1861,12,0.137,2026-08-11 11:38:24
1862,1,-0.006,2026-08-11 11:38:24
1862,2,-0.142,2026-08-11 11:38:24
1862,3,-0.051,2026-08-11 11:38:24
1862,4,-0.104,2026-08-11 11:38:24
1862,5,-0.160,2026-08-11 11:38:24
1862,6,-0.023,2026-08-11 11:38:24
1862,7,-0.272,2026-08-11 11:38:24
1862,8,-0.246,2026-08-11 11:38:24
1862,9,-0.235,2026-08-11 11:38:24
1862,10,-0.244,2026-08-11 11:38:24
1862,11,-0.331,2026-08-11 11:38:24
1862,12,-0.337,2026-08-11 11:38:24
1863,1,-0.125,2026-08-11 11:38:24
1863,2,-0.023,2026-08-11 11:38:24
1863,3,0.049,2026-08-11 11:38:24
1863,4,0.071,2026-08-11 11:38:24
1863,5,0.044,2026-08-11 11:38:24
1863,6,-0.021,2026-08-11 11:38:24
1863,7,-0.273,2026-08-11 11:38:24
1863,8,-0.279,2026-08-11 11:38:24
1863,9,-0.137,2026-08-11 11:38:24
1863,10,-0.213,2026-08-11 11:38:24
1863,11,-0.157,2026-08-11 11:38:24
1863,12,-0.095,2026-08-11 11:38:24
1864,1,-0.185,2026-08-11 11:38:24
1864,2,-0.335,2026-08-11 11:38:24
1864,3,-0.161,2026-08-11 11:38:24
1864,4,-0.015,2026-08-11 11:38:24
1864,5,0.093,2026-08-11 11:38:24
1864,6,0.136,2026-08-11 11:38:24
1864,7,0.281,2026-08-11 11:38:24
1864,8,0.368,2026-08-11 11:38:24
1864,9,0.215,2026-08-11 11:38:24
1864,10,0.146,2026-08-11 11:38:24
1864,11,0.207,2026-08-11 11:38:24
1864,12,0.209,2026-08-11 11:38:24
1865,1,0.208,2026-08-11 11:38:24
1865,2,0.268,2026-08-11 11:38:24
1865,3,0.181,2026-08-11 11:38:24
1865,4,0.077,2026-08-11 11:38:24
1865,5,0.046,2026-08-11 11:38:24
1865,6,0.216,2026-08-11 11:38:24
1865,7,0.138,2026-08-11 11:38:24
1865,8,0.058,2026-08-11 11:38:24
1865,9,0.301,2026-08-11 11:38:24
1865,10,0.268,2026-08-11 11:38:24
1865,11,0.232,2026-08-11 11:38:24
1865,12,0.232,2026-08-11 11:38:24
1866,1,0.065,2026-08-11 11:38:24
1866,2,0.192,2026-08-11 11:38:24
1866,3,0.227,2026-08-11 11:38:24
