year,month,value,fetched_at
1948,1,-0.430,2026-08-11 11:38:14
1948,2,-0.110,2026-08-11 11:38:14
1948,3,0.120,2026-08-11 11:38:14
1948,4,-0.000,2026-08-11 11:38:14
1948,5,0.430,2026-08-11 11:38:14
1948,6,-0.060,2026-08-11 11:38:14
1948,7,0.000,2026-08-11 11:38:14
1948,8,-0.220,2026-08-11 11:38:14
1948,9,-0.470,2026-08-11 11:38:14
1948,10,-0.950,2026-08-11 11:38:14
1948,11,-1.010,2026-08-11 11:38:14
1948,12,0.120,2026-08-11 11:38:14
1949,1,-0.380,2026-08-11 11:38:14
1949,2,0.070,2026-08-11 11:38:14
1949,3,-0.850,2026-08-11 11:38:14
1949,4,-0.220,2026-08-11 11:38:14
1949,5,0.030,2026-08-11 11:38:14
1949,6,-1.140,2026-08-11 11:38:14
1949,7,-0.480,2026-08-11 11:38:14
1949,8,-0.500,2026-08-11 11:38:14
1949,9,-0.970,2026-08-11 11:38:14
1949,10,-0.810,2026-08-11 11:38:14
1949,11,-1.640,2026-08-11 11:38:14
1949,12,-1.350,2026-08-11 11:38:14
1950,1,-1.410,2026-08-11 11:38:14
1950,2,-1.470,2026-08-11 11:38:14
1950,3,-1.070,2026-08-11 11:38:14
1950,4,-1.250,2026-08-11 11:38:14
1950,5,-1.350,2026-08-11 11:38:14
1950,6,-1.030,2026-08-11 11:38:14
1950,7,-0.800,2026-08-11 11:38:14
1950,8,-0.920,2026-08-11 11:38:14
1950,9,-1.270,2026-08-11 11:38:14
1950,10,-0.910,2026-08-11 11:38:14
1950,11,-1.290,2026-08-11 11:38:14
1950,12,-1.050,2026-08-11 11:38:14
1951,1,-1.120,2026-08-11 11:38:14
1951,2,-0.600,2026-08-11 11:38:14
1951,3,-0.280,2026-08-11 11:38:14
1951,4,-0.130,2026-08-11 11:38:14
1951,5,-0.030,2026-08-11 11:38:14
1951,6,0.100,2026-08-11 11:38:14
1951,7,0.250,2026-08-11 11:38:14
1951,8,0.400,2026-08-11 11:38:14
1951,9,0.320,2026-08-11 11:38:14
1951,10,0.570,2026-08-11 11:38:14
1951,11,0.440,2026-08-11 11:38:14
1951,12,0.380,2026-08-11 11:38:14
1952,1,0.190,2026-08-11 11:38:14
1952,2,0.090,2026-08-11 11:38:14
1952,3,-0.300,2026-08-11 11:38:14
1952,4,0.290,2026-08-11 11:38:14
1952,5,-0.260,2026-08-11 11:38:14
1952,6,-0.790,2026-08-11 11:38:14
1952,7,-0.720,2026-08-11 11:38:14
1952,8,-0.490,2026-08-11 11:38:14
1952,9,-0.400,2026-08-11 11:38:14
1952,10,-0.200,2026-08-11 11:38:14
1952,11,-0.440,2026-08-11 11:38:14
1952,12,-0.600,2026-08-11 11:38:14
1953,1,0.270,2026-08-11 11:38:14
1953,2,0.180,2026-08-11 11:38:14
1953,3,-0.000,2026-08-11 11:38:14
1953,4,0.370,2026-08-11 11:38:14
1953,5,0.350,2026-08-11 11:38:14
1953,6,0.530,2026-08-11 11:38:14
1953,7,0.240,2026-08-11 11:38:14
1953,8,0.050,2026-08-11 11:38:14
1953,9,0.510,2026-08-11 11:38:14
1953,10,-0.080,2026-08-11 11:38:14
1953,11,0.440,2026-08-11 11:38:14
1953,12,-0.140,2026-08-11 11:38:14
1954,1,0.090,2026-08-11 11:38:14
1954,2,0.240,2026-08-11 11:38:14
1954,3,-0.250,2026-08-11 11:38:14
1954,4,-0.620,2026-08-11 11:38:14
1954,5,-0.490,2026-08-11 11:38:14
1954,6,-0.630,2026-08-11 11:38:14
1954,7,-0.790,2026-08-11 11:38:14
1954,8,-1.160,2026-08-11 11:38:14
1954,9,-1.340,2026-08-11 11:38:14
1954,10,-0.700,2026-08-11 11:38:14
1954,11,-0.800,2026-08-11 11:38:14
1954,12,-0.950,2026-08-11 11:38:14
1955,1,-0.660,2026-08-11 11:38:14
1955,2,-0.740,2026-08-11 11:38:14
1955,3,-0.850,2026-08-11 11:38:14
1955,4,-0.890,2026-08-11 11:38:14
1955,5,-1.280,2026-08-11 11:38:14
1955,6,-0.800,2026-08-11 11:38:14
1955,7,-1.270,2026-08-11 11:38:14
1955,8,-0.920,2026-08-11 11:38:14
1955,9,-1.430,2026-08-11 11:38:14
1955,10,-1.940,2026-08-11 11:38:14
1955,11,-1.900,2026-08-11 11:38:14
1955,12,-1.720,2026-08-11 11:38:14
1956,1,-1.440,2026-08-11 11:38:14
1956,2,-0.790,2026-08-11 11:38:14
1956,3,-0.680,2026-08-11 11:38:14
1956,4,-0.720,2026-08-11 11:38:14
1956,5,-0.630,2026-08-11 11:38:14
1956,6,-0.660,2026-08-11 11:38:14
1956,7,-0.780,2026-08-11 11:38:14
1956,8,-0.920,2026-08-11 11:38:14
1956,9,-0.950,2026-08-11 11:38:14
1956,10,-0.820,2026-08-11 11:38:14
1956,11,-0.850,2026-08-11 11:38:14
1956,12,-0.560,2026-08-11 11:38:14
1957,1,-0.400,2026-08-11 11:38:14
1957,2,-0.160,2026-08-11 11:38:14
1957,3,0.000,2026-08-11 11:38:14
1957,4,0.360,2026-08-11 11:38:14
1957,5,0.540,2026-08-11 11:38:14
1957,6,0.170,2026-08-11 11:38:14
1957,7,0.350,2026-08-11 11:38:14
1957,8,0.810,2026-08-11 11:38:14
1957,9,0.330,2026-08-11 11:38:14
1957,10,0.630,2026-08-11 11:38:14
1957,11,0.790,2026-08-11 11:38:14
1957,12,0.960,2026-08-11 11:38:14
1958,1,1.370,2026-08-11 11:38:14
1958,2,1.350,2026-08-11 11:38:14
1958,3,0.910,2026-08-11 11:38:14
1958,4,0.440,2026-08-11 11:38:14
1958,5,0.350,2026-08-11 11:38:14
1958,6,0.280,2026-08-11 11:38:14
1958,7,0.100,2026-08-11 11:38:14
1958,8,0.150,2026-08-11 11:38:14
1958,9,-0.160,2026-08-11 11:38:14
1958,10,-0.090,2026-08-11 11:38:14
1958,11,0.140,2026-08-11 11:38:14
1958,12,0.060,2026-08-11 11:38:14
1959,1,0.550,2026-08-11 11:38:14
1959,2,0.360,2026-08-11 11:38:14
1959,3,0.160,2026-08-11 11:38:14
1959,4,0.200,2026-08-11 11:38:14
1959,5,0.150,2026-08-11 11:38:14
1959,6,-0.290,2026-08-11 11:38:14
1959,7,-0.500,2026-08-11 11:38:14
1959,8,-0.470,2026-08-11 11:38:14
1959,9,-0.490,2026-08-11 11:38:14
1959,10,-0.250,2026-08-11 11:38:14
1959,11,-0.250,2026-08-11 11:38:14
1959,12,-0.240,2026-08-11 11:38:14
1960,1,-0.400,2026-08-11 11:38:14
1960,2,-0.370,2026-08-11 11:38:14
1960,3,-0.210,2026-08-11 11:38:14
1960,4,-0.160,2026-08-11 11:38:14
1960,5,-0.250,2026-08-11 11:38:14
1960,6,-0.430,2026-08-11 11:38:14
1960,7,-0.410,2026-08-11 11:38:14
1960,8,-0.320,2026-08-11 11:38:14
1960,9,-0.300,2026-08-11 11:38:14
1960,10,-0.430,2026-08-11 11:38:14
1960,11,-0.490,2026-08-11 11:38:14
1960,12,-0.340,2026-08-11 11:38:14
1961,1,-0.300,2026-08-11 11:38:14
1961,2,-0.200,2026-08-11 11:38:14
1961,3,-0.410,2026-08-11 11:38:14
1961,4,-0.370,2026-08-11 11:38:14
1961,5,-0.270,2026-08-11 11:38:14
1961,6,-0.030,2026-08-11 11:38:14
1961,7,-0.410,2026-08-11 11:38:14
1961,8,-0.640,2026-08-11 11:38:14
1961,9,-0.820,2026-08-11 11:38:14
1961,10,-0.820,2026-08-11 11:38:14
1961,11,-0.430,2026-08-11 11:38:14
1961,12,-0.570,2026-08-11 11:38:14
1962,1,-0.680,2026-08-11 11:38:14
1962,2,-0.530,2026-08-11 11:38:14
1962,3,-0.490,2026-08-11 11:38:14
1962,4,-0.450,2026-08-11 11:38:14
1962,5,-0.710,2026-08-11 11:38:14
1962,6,-0.480,2026-08-11 11:38:14
1962,7,-0.420,2026-08-11 11:38:14
1962,8,-0.460,2026-08-11 11:38:14
1962,9,-0.770,2026-08-11 11:38:14
1962,10,-0.670,2026-08-11 11:38:14
1962,11,-0.640,2026-08-11 11:38:14
1962,12,-0.720,2026-08-11 11:38:14
1963,1,-0.760,2026-08-11 11:38:14
1963,2,-0.510,2026-08-11 11:38:14
1963,3,-0.290,2026-08-11 11:38:14
1963,4,-0.170,2026-08-11 11:38:14
1963,5,-0.310,2026-08-11 11:38:14
1963,6,-0.410,2026-08-11 11:38:14
1963,7,0.520,2026-08-11 11:38:14
1963,8,0.420,2026-08-11 11:38:14
1963,9,0.440,2026-08-11 11:38:14
1963,10,0.570,2026-08-11 11:38:14
1963,11,0.470,2026-08-11 11:38:14
1963,12,0.570,2026-08-11 11:38:14
