year,month,value,fetched_at
1854,1,0.110,2026-08-11 11:38:21
1854,2,-0.240,2026-08-11 11:38:21
1854,3,-0.400,2026-08-11 11:38:21
1854,4,-0.440,2026-08-11 11:38:21
1854,5,-0.540,2026-08-11 11:38:21
1854,6,-0.300,2026-08-11 11:38:21
1854,7,-0.100,2026-08-11 11:38:21
1854,8,-1.240,2026-08-11 11:38:21
1854,9,-1.000,2026-08-11 11:38:21
1854,10,-2.230,2026-08-11 11:38:21
1854,11,-1.680,2026-08-11 11:38:21
1854,12,-1.760,2026-08-11 11:38:21
1855,1,-0.200,2026-08-11 11:38:21
1855,2,-0.390,2026-08-11 11:38:21
1855,3,-0.240,2026-08-11 11:38:21
1855,4,-0.580,2026-08-11 11:38:21
1855,5,-1.340,2026-08-11 11:38:21
1855,6,-1.880,2026-08-11 11:38:21
1855,7,-1.130,2026-08-11 11:38:21
1855,8,-0.480,2026-08-11 11:38:21
1855,9,-0.760,2026-08-11 11:38:21
1855,10,-0.630,2026-08-11 11:38:21
1855,11,-0.410,2026-08-11 11:38:21
1855,12,-0.880,2026-08-11 11:38:21
1856,1,-0.390,2026-08-11 11:38:21
1856,2,0.470,2026-08-11 11:38:21
1856,3,0.420,2026-08-11 11:38:21
1856,4,-0.960,2026-08-11 11:38:21
1856,5,-1.260,2026-08-11 11:38:21
1856,6,-2.150,2026-08-11 11:38:21
1856,7,-0.690,2026-08-11 11:38:21
1856,8,0.630,2026-08-11 11:38:21
1856,9,0.580,2026-08-11 11:38:21
1856,10,0.590,2026-08-11 11:38:21
1856,11,0.230,2026-08-11 11:38:21
1856,12,0.040,2026-08-11 11:38:21
1857,1,-0.520,2026-08-11 11:38:21
1857,2,-1.670,2026-08-11 11:38:21
1857,3,-1.050,2026-08-11 11:38:21
1857,4,-0.810,2026-08-11 11:38:21
1857,5,-0.650,2026-08-11 11:38:21
1857,6,1.030,2026-08-11 11:38:21
1857,7,1.170,2026-08-11 11:38:21
1857,8,0.810,2026-08-11 11:38:21
1857,9,0.840,2026-08-11 11:38:21
1857,10,0.700,2026-08-11 11:38:21
1857,11,0.380,2026-08-11 11:38:21
1857,12,-0.550,2026-08-11 11:38:21
1858,1,-0.960,2026-08-11 11:38:21
1858,2,-1.530,2026-08-11 11:38:21
1858,3,-1.760,2026-08-11 11:38:21
1858,4,-0.820,2026-08-11 11:38:21
1858,5,0.490,2026-08-11 11:38:21
1858,6,2.190,2026-08-11 11:38:21
1858,7,1.050,2026-08-11 11:38:21
1858,8,0.670,2026-08-11 11:38:21
1858,9,1.380,2026-08-11 11:38:21
1858,10,2.350,2026-08-11 11:38:21
1858,11,0.460,2026-08-11 11:38:21
