year,month,value,fetched_at
1951,1,2.500,2026-08-11 11:38:19
1951,2,1.500,2026-08-11 11:38:19
1951,3,-0.200,2026-08-11 11:38:19
1951,4,-0.500,2026-08-11 11:38:19
1951,5,-1.100,2026-08-11 11:38:19
1951,6,0.300,2026-08-11 11:38:19
1951,7,-1.700,2026-08-11 11:38:19
1951,8,-0.400,2026-08-11 11:38:19
1951,9,-1.800,2026-08-11 11:38:19
1951,10,-1.600,2026-08-11 11:38:19
1951,11,-1.300,2026-08-11 11:38:19
1951,12,-1.200,2026-08-11 11:38:19
1952,1,-1.500,2026-08-11 11:38:19
1952,2,-1.000,2026-08-11 11:38:19
1952,3,0.900,2026-08-11 11:38:19
1952,4,-0.400,2026-08-11 11:38:19
1952,5,1.200,2026-08-11 11:38:19
1952,6,1.200,2026-08-11 11:38:19
1952,7,0.800,2026-08-11 11:38:19
1952,8,0.100,2026-08-11 11:38:19
1952,9,-0.400,2026-08-11 11:38:19
1952,10,0.600,2026-08-11 11:38:19
1952,11,0.000,2026-08-11 11:38:19
1952,12,-2.000,2026-08-11 11:38:19
1953,1,0.500,2026-08-11 11:38:19
1953,2,-0.800,2026-08-11 11:38:19
1953,3,-0.300,2026-08-11 11:38:19
1953,4,0.300,2026-08-11 11:38:19
1953,5,-2.800,2026-08-11 11:38:19
1953,6,0.200,2026-08-11 11:38:19
1953,7,-0.000,2026-08-11 11:38:19
1953,8,-2.000,2026-08-11 11:38:19
1953,9,-2.100,2026-08-11 11:38:19
1953,10,0.100,2026-08-11 11:38:19
1953,11,-0.500,2026-08-11 11:38:19
1953,12,-0.800,2026-08-11 11:38:19
1954,1,1.100,2026-08-11 11:38:19
1954,2,-0.500,2026-08-11 11:38:19
1954,3,0.400,2026-08-11 11:38:19
1954,4,1.100,2026-08-11 11:38:19
1954,5,0.800,2026-08-11 11:38:19
1954,6,0.200,2026-08-11 11:38:19
1954,7,0.700,2026-08-11 11:38:19
1954,8,1.800,2026-08-11 11:38:19
1954,9,0.300,2026-08-11 11:38:19
1954,10,0.400,2026-08-11 11:38:19
1954,11,0.200,2026-08-11 11:38:19
1954,12,2.300,2026-08-11 11:38:19
1955,1,-0.900,2026-08-11 11:38:19
1955,2,3.100,2026-08-11 11:38:19
1955,3,1.100,2026-08-11 11:38:19
1955,4,-0.200,2026-08-11 11:38:19
1955,5,1.700,2026-08-11 11:38:19
1955,6,2.200,2026-08-11 11:38:19
1955,7,2.600,2026-08-11 11:38:19
1955,8,2.400,2026-08-11 11:38:19
1955,9,2.200,2026-08-11 11:38:19
1955,10,2.500,2026-08-11 11:38:19
1955,11,2.000,2026-08-11 11:38:19
1955,12,1.600,2026-08-11 11:38:19
1956,1,2.200,2026-08-11 11:38:19
1956,2,2.700,2026-08-11 11:38:19
1956,3,2.200,2026-08-11 11:38:19
1956,4,1.500,2026-08-11 11:38:19
1956,5,2.300,2026-08-11 11:38:19
1956,6,1.800,2026-08-11 11:38:19
1956,7,1.800,2026-08-11 11:38:19
1956,8,2.000,2026-08-11 11:38:19
1956,9,0.100,2026-08-11 11:38:19
1956,10,2.900,2026-08-11 11:38:19
1956,11,0.200,2026-08-11 11:38:19
1956,12,1.800,2026-08-11 11:38:19
1957,1,1.000,2026-08-11 11:38:19
1957,2,-0.100,2026-08-11 11:38:19
1957,3,0.300,2026-08-11 11:38:19
1957,4,0.400,2026-08-11 11:38:19
1957,5,-1.100,2026-08-11 11:38:19
1957,6,0.300,2026-08-11 11:38:19
1957,7,0.400,2026-08-11 11:38:19
1957,8,-0.800,2026-08-11 11:38:19
1957,9,-1.500,2026-08-11 11:38:19
1957,10,0.100,2026-08-11 11:38:19
1957,11,-1.600,2026-08-11 11:38:19
1957,12,-0.500,2026-08-11 11:38:19
1958,1,-3.100,2026-08-11 11:38:19
1958,2,-0.800,2026-08-11 11:38:19
1958,3,0.400,2026-08-11 11:38:19
1958,4,0.600,2026-08-11 11:38:19
1958,5,-0.800,2026-08-11 11:38:19
1958,6,0.500,2026-08-11 11:38:19
1958,7,0.700,2026-08-11 11:38:19
1958,8,1.500,2026-08-11 11:38:19
1958,9,-0.500,2026-08-11 11:38:19
1958,10,0.100,2026-08-11 11:38:19
1958,11,-0.700,2026-08-11 11:38:19
1958,12,-1.000,2026-08-11 11:38:19
1959,1,-1.500,2026-08-11 11:38:19
1959,2,-2.300,2026-08-11 11:38:19
1959,3,2.100,2026-08-11 11:38:19
1959,4,0.700,2026-08-11 11:38:19
1959,5,0.800,2026-08-11 11:38:19
1959,6,-0.200,2026-08-11 11:38:19
1959,7,-0.400,2026-08-11 11:38:19
1959,8,-0.200,2026-08-11 11:38:19
1959,9,0.000,2026-08-11 11:38:19
1959,10,0.800,2026-08-11 11:38:19
1959,11,1.500,2026-08-11 11:38:19
1959,12,1.500,2026-08-11 11:38:19
1960,1,0.200,2026-08-11 11:38:19
1960,2,0.200,2026-08-11 11:38:19
1960,3,1.700,2026-08-11 11:38:19
1960,4,1.300,2026-08-11 11:38:19
1960,5,0.900,2026-08-11 11:38:19
1960,6,0.200,2026-08-11 11:38:19
1960,7,0.800,2026-08-11 11:38:19
1960,8,1.300,2026-08-11 11:38:19
1960,9,1.100,2026-08-11 11:38:19
1960,10,0.200,2026-08-11 11:38:19
1960,11,0.900,2026-08-11 11:38:19
1960,12,1.300,2026-08-11 11:38:19
1961,1,-0.400,2026-08-11 11:38:19
1961,2,1.500,2026-08-11 11:38:19
1961,3,-3.000,2026-08-11 11:38:19
1961,4,1.300,2026-08-11 11:38:19
1961,5,0.500,2026-08-11 11:38:19
1961,6,0.200,2026-08-11 11:38:19
1961,7,0.400,2026-08-11 11:38:19
1961,8,0.200,2026-08-11 11:38:19
1961,9,0.100,2026-08-11 11:38:19
1961,10,-0.500,2026-08-11 11:38:19
1961,11,0.900,2026-08-11 11:38:19
1961,12,2.500,2026-08-11 11:38:19
1962,1,3.300,2026-08-11 11:38:19
1962,2,-0.500,2026-08-11 11:38:19
1962,3,0.200,2026-08-11 11:38:19
1962,4,0.300,2026-08-11 11:38:19
1962,5,1.800,2026-08-11 11:38:19
1962,6,1.200,2026-08-11 11:38:19
1962,7,0.100,2026-08-11 11:38:19
1962,8,1.000,2026-08-11 11:38:19
1962,9,0.700,2026-08-11 11:38:19
1962,10,1.600,2026-08-11 11:38:19
1962,11,0.500,2026-08-11 11:38:19
1962,12,0.300,2026-08-11 11:38:19
1963,1,1.700,2026-08-11 11:38:19
1963,2,0.900,2026-08-11 11:38:19
1963,3,1.900,2026-08-11 11:38:19
1963,4,1.300,2026-08-11 11:38:19
1963,5,0.600,2026-08-11 11:38:19
1963,6,-0.800,2026-08-11 11:38:19
1963,7,-0.200,2026-08-11 11:38:19
1963,8,0.000,2026-08-11 11:38:19
1963,9,-1.000,2026-08-11 11:38:19
1963,10,-2.000,2026-08-11 11:38:19
1963,11,-1.400,2026-08-11 11:38:19
1963,12,-2.000,2026-08-11 11:38:19
1964,1,-0.600,2026-08-11 11:38:19
1964,2,0.100,2026-08-11 11:38:19
1964,3,1.900,2026-08-11 11:38:19
1964,4,1.800,2026-08-11 11:38:19
1964,5,0.400,2026-08-11 11:38:19
1964,6,1.200,2026-08-11 11:38:19
1964,7,0.900,2026-08-11 11:38:19
1964,8,2.500,2026-08-11 11:38:19
1964,9,2.100,2026-08-11 11:38:19
1964,10,2.200,2026-08-11 11:38:19
1964,11,0.300,2026-08-11 11:38:19
1964,12,-0.500,2026-08-11 11:38:19
1965,1,-0.700,2026-08-11 11:38:19
1965,2,0.700,2026-08-11 11:38:19
1965,3,1.200,2026-08-11 11:38:19
1965,4,-0.900,2026-08-11 11:38:19
1965,5,0.300,2026-08-11 11:38:19
1965,6,-0.900,2026-08-11 11:38:19
1965,7,-3.000,2026-08-11 11:38:19
1965,8,-1.100,2026-08-11 11:38:19
1965,9,-2.200,2026-08-11 11:38:19
1965,10,-1.500,2026-08-11 11:38:19
1965,11,-2.400,2026-08-11 11:38:19
1965,12,0.300,2026-08-11 11:38:19
1966,1,-2.200,2026-08-11 11:38:19
1966,2,-0.400,2026-08-11 11:38:19
1966,3,-1.500,2026-08-11 11:38:19
1966,4,-0.300,2026-08-11 11:38:19
1966,5,-0.700,2026-08-11 11:38:19
1966,6,0.500,2026-08-11 11:38:19
1966,7,0.100,2026-08-11 11:38:19
1966,8,1.100,2026-08-11 11:38:19
1966,9,-0.400,2026-08-11 11:38:19
1966,10,-0.200,2026-08-11 11:38:19
1966,11,-0.000,2026-08-11 11:38:19
1966,12,-0.600,2026-08-11 11:38:19
1967,1,2.800,2026-08-11 11:38:19
1967,2,2.800,2026-08-11 11:38:19
1967,3,2.000,2026-08-11 11:38:19
1967,4,-0.100,2026-08-11 11:38:19
1967,5,-0.000,2026-08-11 11:38:19
1967,6,1.100,2026-08-11 11:38:19
1967,7,0.300,2026-08-11 11:38:19
1967,8,1.200,2026-08-11 11:38:19
1967,9,0.800,2026-08-11 11:38:19
1967,10,0.100,2026-08-11 11:38:19
1967,11,-0.700,2026-08-11 11:38:19
1967,12,-0.900,2026-08-11 11:38:19
1968,1,0.900,2026-08-11 11:38:19
1968,2,2.100,2026-08-11 11:38:19
1968,3,0.200,2026-08-11 11:38:19
1968,4,0.000,2026-08-11 11:38:19
1968,5,2.100,2026-08-11 11:38:19
1968,6,1.800,2026-08-11 11:38:19
1968,7,1.100,2026-08-11 11:38:19
1968,8,0.400,2026-08-11 11:38:19
1968,9,-0.400,2026-08-11 11:38:19
1968,10,-0.100,2026-08-11 11:38:19
1968,11,-0.600,2026-08-11 11:38:19
1968,12,0.300,2026-08-11 11:38:19
1969,1,-2.400,2026-08-11 11:38:19
1969,2,-0.900,2026-08-11 11:38:19
1969,3,0.700,2026-08-11 11:38:19
1969,4,-0.600,2026-08-11 11:38:19
1969,5,-0.400,2026-08-11 11:38:19
1969,6,0.300,2026-08-11 11:38:19
1969,7,-0.800,2026-08-11 11:38:19
1969,8,-0.200,2026-08-11 11:38:19
1969,9,-1.600,2026-08-11 11:38:19
1969,10,-1.500,2026-08-11 11:38:19
1969,11,-0.100,2026-08-11 11:38:19
1969,12,0.700,2026-08-11 11:38:19
1970,1,-1.900,2026-08-11 11:38:19
1970,2,-1.700,2026-08-11 11:38:19
1970,3,1.000,2026-08-11 11:38:19
1970,4,-0.100,2026-08-11 11:38:19
1970,5,0.600,2026-08-11 11:38:19
1970,6,1.600,2026-08-11 11:38:19
1970,7,-0.600,2026-08-11 11:38:19
1970,8,1.000,2026-08-11 11:38:19
1970,9,1.900,2026-08-11 11:38:19
1970,10,1.700,2026-08-11 11:38:19
1970,11,2.600,2026-08-11 11:38:19
1970,12,3.200,2026-08-11 11:38:19
1971,1,0.600,2026-08-11 11:38:19
1971,2,3.300,2026-08-11 11:38:19
1971,3,3.800,2026-08-11 11:38:19
1971,4,2.800,2026-08-11 11:38:19
1971,5,1.400,2026-08-11 11:38:19
1971,6,0.700,2026-08-11 11:38:19
1971,7,0.400,2026-08-11 11:38:19
1971,8,2.500,2026-08-11 11:38:19
1971,9,2.300,2026-08-11 11:38:19
1971,10,2.800,2026-08-11 11:38:19
1971,11,0.900,2026-08-11 11:38:19
1971,12,0.400,2026-08-11 11:38:19
1972,1,0.800,2026-08-11 11:38:19
1972,2,1.800,2026-08-11 11:38:19
1972,3,1.100,2026-08-11 11:38:19
1972,4,-0.200,2026-08-11 11:38:19
1972,5,-2.600,2026-08-11 11:38:19
1972,6,-0.900,2026-08-11 11:38:19
1972,7,-2.400,2026-08-11 11:38:19
1972,8,-0.800,2026-08-11 11:38:19
1972,9,-2.200,2026-08-11 11:38:19
1972,10,-1.500,2026-08-11 11:38:19
1972,11,-0.600,2026-08-11 11:38:19
1972,12,-2.100,2026-08-11 11:38:19
1973,1,-0.500,2026-08-11 11:38:19
1973,2,-2.300,2026-08-11 11:38:19
1973,3,1.200,2026-08-11 11:38:19
1973,4,0.100,2026-08-11 11:38:19
1973,5,0.700,2026-08-11 11:38:19
1973,6,1.800,2026-08-11 11:38:19
1973,7,1.000,2026-08-11 11:38:19
1973,8,2.100,2026-08-11 11:38:19
1973,9,2.000,2026-08-11 11:38:19
1973,10,1.300,2026-08-11 11:38:19
1973,11,4.300,2026-08-11 11:38:19
1973,12,3.000,2026-08-11 11:38:19
1974,1,4.000,2026-08-11 11:38:19
1974,2,3.400,2026-08-11 11:38:19
1974,3,4.000,2026-08-11 11:38:19
1974,4,1.600,2026-08-11 11:38:19
1974,5,1.600,2026-08-11 11:38:19
1974,6,0.700,2026-08-11 11:38:19
1974,7,1.900,2026-08-11 11:38:19
1974,8,1.300,2026-08-11 11:38:19
1974,9,1.800,2026-08-11 11:38:19
1974,10,1.500,2026-08-11 11:38:19
1974,11,-0.200,2026-08-11 11:38:19
1974,12,0.300,2026-08-11 11:38:19
1975,1,-0.800,2026-08-11 11:38:19
1975,2,1.300,2026-08-11 11:38:19
1975,3,2.600,2026-08-11 11:38:19
1975,4,1.900,2026-08-11 11:38:19
1975,5,1.100,2026-08-11 11:38:19
1975,6,2.100,2026-08-11 11:38:19
1975,7,3.100,2026-08-11 11:38:19
1975,8,3.300,2026-08-11 11:38:19
1975,9,3.400,2026-08-11 11:38:19
1975,10,2.800,2026-08-11 11:38:19
1975,11,1.900,2026-08-11 11:38:19
1975,12,3.500,2026-08-11 11:38:19
1976,1,2.300,2026-08-11 11:38:19
1976,2,2.800,2026-08-11 11:38:19
1976,3,2.900,2026-08-11 11:38:19
1976,4,0.500,2026-08-11 11:38:19
1976,5,0.600,2026-08-11 11:38:19
1976,6,0.400,2026-08-11 11:38:19
1976,7,-1.400,2026-08-11 11:38:19
1976,8,-1.300,2026-08-11 11:38:19
1976,9,-1.900,2026-08-11 11:38:19
1976,10,0.700,2026-08-11 11:38:19
1976,11,1.200,2026-08-11 11:38:19
1976,12,-0.600,2026-08-11 11:38:19
1977,1,-0.700,2026-08-11 11:38:19
1977,2,2.000,2026-08-11 11:38:19
1977,3,-0.900,2026-08-11 11:38:19
1977,4,-0.700,2026-08-11 11:38:19
1977,5,-0.800,2026-08-11 11:38:19
1977,6,-1.500,2026-08-11 11:38:19
1977,7,-1.900,2026-08-11 11:38:19
1977,8,-1.300,2026-08-11 11:38:19
1977,9,-1.300,2026-08-11 11:38:19
1977,10,-1.700,2026-08-11 11:38:19
1977,11,-2.100,2026-08-11 11:38:19
1977,12,-1.700,2026-08-11 11:38:19
1978,1,-0.500,2026-08-11 11:38:19
1978,2,-4.400,2026-08-11 11:38:19
1978,3,-0.300,2026-08-11 11:38:19
1978,4,-0.500,2026-08-11 11:38:19
