WP, A0,2025010118,   ,chunshu,   0,  71N, 1106E,  20, 1008, DB,    90W
WP, A0,2025010200,   ,chunshu,   0,  69N, 1110E,  20, 1010, DB,    90W
WP, A0,2025010206,   ,chunshu,   0,  67N, 1113E,  20, 1010, DB,    90W
WP, A0,2025010212,   ,chunshu,   0,  67N, 1117E,  20, 1010, DB,    90W
WP, A0,2025010218,   ,chunshu,   0,  65N, 1119E,  15, 1010, DB,    90W
WP, A0,2025010300,   ,chunshu,   0,  63N, 1119E,  15, 1008, DB,    90W
WP, A0,2025010306,   ,chunshu,   0,  61N, 1119E,  15, 1005, DB,    90W
WP, A0,2025010312,   ,chunshu,   0,  59N, 1120E,  30, 1002, TD,    90W
WP, A0,2025010318,   ,chunshu,   0,  56N, 1121E,  35, 1002, TS,    90W
WP, A0,2025010400,   ,chunshu,   0,  54N, 1125E,  35, 1002, TS,    90W
WP, A0,2025010406,   ,chunshu,   0,  52N, 1127E,  35, 1002, TS,    90W
WP, A0,2025010412,   ,chunshu,   0,  52N, 1130E,  40, 1000, TS,    90W
WP, A0,2025010418,   ,chunshu,   0,  55N, 1132E,  35, 1008, LO,    90W
WP, A0,2025010500,   ,chunshu,   0,  57N, 1135E,  30, 1008, LO,    90W
WP, A0,2025010506,   ,chunshu,   0,  57N, 1137E,  30, 1002, LO,    90W
WP, A0,2025010512,   ,chunshu,   0,  56N, 1139E,  35, 1000, TS,    90W
WP, A0,2025010518,   ,chunshu,   0,  54N, 1140E,  35, 1002, TS,    90W
WP, A0,2025010600,   ,chunshu,   0,  51N, 1140E,  30, 1002, TD,    90W
WP, A0,2025010606,   ,chunshu,   0,  48N, 1141E,  25, 1005, TD,    90W
WP, A0,2025010612,   ,chunshu,   0,  44N, 1142E,  20, 1005, LO,    90W
WP, A0,2025010618,   ,chunshu,   0,  40N, 1141E,  20, 1008, LO,    90W
