WP, A3,2025020912,   ,chunshu,   0,  76N, 1158E,  15, 1008, DB,    93W
WP, A3,2025020918,   ,chunshu,   0,  77N, 1151E,  15, 1008, DB,    93W
WP, A3,2025021000,   ,chunshu,   0,  77N, 1147E,  15, 1008, DB,    93W
WP, A3,2025021006,   ,chunshu,   0,  76N, 1141E,  15, 1008, DB,    93W
WP, A3,2025021012,   ,chunshu,   0,  76N, 1138E,  15, 1008, DB,    93W
WP, A3,2025021018,   ,chunshu,   0,  76N, 1136E,  15, 1008, DB,    93W
WP, A3,2025021100,   ,chunshu,   0,  77N, 1133E,  15, 1008, DB,    93W
WP, A3,2025021106,   ,chunshu,   0,  86N, 1130E,  20, 1008, DB,    93W
WP, A3,2025021112,   ,chunshu,   0, 105N, 1134E,  25, 1005, TD,    93W
WP, A3,2025021118,   ,chunshu,   0, 115N, 1131E,  30, 1002, TD,    93W
WP, A3,2025021200,   ,chunshu,   0, 126N, 1122E,  30, 1005, TD,    93W
WP, A3,2025021206,   ,chunshu,   0, 132N, 1121E,  35, 1002, TS,    93W
WP, A3,2025021212,   ,chunshu,   0, 138N, 1119E,  45, 1000, TS,    93W
WP, A3,2025021218,   ,chunshu,   0, 137N, 1117E,  40, 1002, TS,    93W
WP, A3,2025021300,   ,chunshu,   0, 135N, 1117E,  40, 1002, TS,    93W
WP, A3,2025021306,   ,chunshu,   0, 134N, 1118E,  35, 1002, TS,    93W
WP, A3,2025021312,   ,chunshu,   0, 132N, 1118E,  30, 1005, TD,    93W
WP, A3,2025021318,   ,chunshu,   0, 130N, 1119E,  25, 1005, TD,    93W
WP, A3,2025021400,   ,chunshu,   0, 121N, 1119E,  25, 1005, TD,    93W
WP, A3,2025021406,   ,chunshu,   0, 114N, 1117E,  25, 1008, TD,    93W
WP, A3,2025021412,   ,chunshu,   0, 110N, 1117E,  20, 1008, DB,    93W
WP, A3,2025021418,   ,chunshu,   0, 101N, 1113E,  20, 1008, DB,    93W
WP, A3,2025021500,   ,chunshu,   0,  93N, 1107E,  20, 1008, DB,    93W
WP, A3,2025021506,   ,chunshu,   0,  84N, 1105E,  20, 1008, DB,    93W
WP, A3,2025021512,   ,chunshu,   0,  75N, 1101E,  20, 1008, DB,    93W
WP, A3,2025021518,   ,chunshu,   0,  67N, 1094E,  25, 1005, TD,    93W
WP, A3,2025021600,   ,chunshu,   0,  61N, 1086E,  25, 1005, TD,    93W
WP, A3,2025021606,   ,chunshu,   0,  55N, 1079E,  25, 1008, TD,    93W
WP, A3,2025021612,   ,chunshu,   0,  49N, 1072E,  20, 1008, DB,    93W
WP, A3,2025021618,   ,chunshu,   0,  43N, 1064E,  20, 1008, DB,    93W
WP, A3,2025021700,   ,chunshu,   0,  38N, 1055E,  20, 1005, DB,    93W
WP, A3,2025021706,   ,chunshu,   0,  30N, 1050E,  25, 1005, TD,    93W
WP, A3,2025021712,   ,chunshu,   0,  24N, 1048E,  45,  995, TS,    93W
WP, A3,2025021718,   ,chunshu,   0,  19N, 1046E,  40,  995, TS,    93W
WP, A3,2025021800,   ,chunshu,   0,  14N, 1049E,  40, 1000, LO,    93W
WP, A3,2025021806,   ,chunshu,   0,  12N, 1054E,  40, 1002, LO,    93W
WP, A3,2025021812,   ,chunshu,   0,  10N, 1059E,  25, 1002, LO,    93W
WP, A3,2025021818,   ,chunshu,   0,   9N, 1062E,  15, 1002, LO,    93W
WP, A3,2025021900,   ,chunshu,   0,   7N, 1071E,  15, 1002, LO,    93W
