WP, D5,2026080518,   ,chunshu,   0, 224N, 1194E,  20, 1005, DB,    95W
WP, D5,2026080600,   ,chunshu,   0, 223N, 1199E,  20, 1005, DB,    95W
WP, D5,2026080400,   ,chunshu,   0, 223N, 1204E,  20, 1005, LO,    95W
WP, D5,2026080406,   ,chunshu,   0, 221N, 1211E,  25, 1005, LO,    95W
WP, D5,2026080412,   ,chunshu,   0, 221N, 1213E,  25, 1002, MD,    95W
WP, D5,2026080418,   ,chunshu,   0, 218N, 1214E,  25, 1005, MD,    95W
WP, D5,2026080500,   ,chunshu,   0, 215N, 1211E,  30, 1005, MD,    95W
WP, D5,2026080506,   ,chunshu,   0, 215N, 1207E,  35, 1000, MD,    95W
WP, D5,2026080512,   ,chunshu,   0, 217N, 1207E,  35, 1000, MD,    95W
WP, D5,2026080518,   ,chunshu,   0, 223N, 1214E,  40, 1000, MD,    95W
WP, D5,2026080600,   ,chunshu,   0, 230N, 1222E,  45,  998, TS,    95W
WP, D5,2026080606,   ,chunshu,   0, 238N, 1228E,  45,  998, TS,    95W
WP, D5,2026080612,   ,chunshu,   0, 246N, 1231E,  40, 1000, TS,    95W
WP, D5,2026080618,   ,chunshu,   0, 257N, 1232E,  35, 1002, TS,    95W
WP, D5,2026080700,   ,chunshu,   0, 265N, 1233E,  25, 1005, TD,    95W
WP, D5,2026080706,   ,chunshu,   0, 276N, 1235E,  20, 1005, LO,    95W
WP, D5,2026080712,   ,chunshu,   0, 282N, 1237E,  15, 1005, LO,    95W
WP, D5,2026080718,   ,chunshu,   0, 285N, 1236E,  15, 1005, LO,    95W
WP, D5,2026080800,   ,chunshu,   0, 289N, 1231E,  15, 1005, LO,    95W
WP, D5,2026080806,   ,chunshu,   0, 294N, 1228E,  15, 1005, LO,    95W
