WP, 02,2099070200,   , XRQA,   0,  75N, 1465E,  15,    0, DB
WP, 02,2099070206,   , XRQA,   0,  78N, 1459E,  20,    0, DB
WP, 02,2099070212,   , XRQA,   0,  81N, 1455E,  30,    0, TD
WP, 02,2099070218,   , XRQA,   0,  84N, 1452E,  35,    0, TS
WP, 02,2099070300,   , XRQA,   0,  88N, 1449E,  40,    0, TS
WP, 02,2099070306,   , XRQA,   0,  93N, 1448E,  35,    0, TS
WP, 02,2099070312,   , XRQA,   0, 101N, 1442E,  40,    0, TS
WP, 02,2099070318,   , XRQA,   0, 109N, 1435E,  40,    0, TS
WP, 02,2099070400,   , XRQA,   0, 118N, 1422E,  40,    0, TS
WP, 02,2099070406,   , XRQA,   0, 126N, 1411E,  50,    0, TS
WP, 02,2099070412,   , XRQA,   0, 135N, 1396E,  60,    0, TS
WP, 02,2099070418,   , XRQA,   0, 145N, 1382E,  70,    0, TY
WP, 02,2099070500,   , XRQA,   0, 153N, 1366E,  80,    0, TY
WP, 02,2099070506,   , XRQA,   0, 163N, 1351E,  95,    0, TY
WP, 02,2099070512,   , XRQA,   0, 171N, 1335E, 130,    0, ST
WP, 02,2099070518,   , XRQA,   0, 180N, 1319E, 155,    0, ST
WP, 02,2099070600,   , XRQA,   0, 187N, 1301E, 165,    0, ST
WP, 02,2099070606,   , XRQA,   0, 195N, 1285E, 180,    0, ST
WP, 02,2099070612,   , XRQA,   0, 201N, 1270E, 160,    0, ST
WP, 02,2099070618,   , XRQA,   0, 207N, 1256E, 135,    0, ST
WP, 02,2099070700,   , XRQA,   0, 213N, 1243E, 145,    0, ST
WP, 02,2099070706,   , XRQA,   0, 216N, 1234E, 155,    0, ST
WP, 02,2099070712,   , XRQA,   0, 220N, 1226E, 140,    0, ST
WP, 02,2099070718,   , XRQA,   0, 224N, 1217E, 125,    0, TY
WP, 02,2099070800,   , XRQA,   0, 226N, 1206E,  85,    0, TY
WP, 02,2099070806,   , XRQA,   0, 232N, 1200E,  60,    0, TS
WP, 02,2099070812,   , XRQA,   0, 234N, 1197E,  45,    0, TS
WP, 02,2099070818,   , XRQA,   0, 237N, 1195E,  35,    0, TS
WP, 02,2099070900,   , XRQA,   0, 244N, 1191E,  35,    0, TS
WP, 02,2099070906,   , XRQA,   0, 248N, 1186E,  35,    0, TS
WP, 02,2099070912,   , XRQA,   0, 252N, 1180E,  30,    0, TD
WP, 02,2099070918,   , XRQA,   0, 259N, 1174E,  25,    0, TD
WP, 02,2099071000,   , XRQA,   0, 264N, 1167E,  20,    0, DB
WP, 02,2099071006,   , XRQA,   0, 271N, 1159E,  20,    0, DB,Nepartak
