WP, 14, 2099080900,   , XRQA,   0, 135N, 1795E,  15,    0, DB
WP, 14, 2099080906,   , XRQA,   0, 136N, 1783E,  15,    0, DB
WP, 14, 2099080912,   , XRQA,   0, 138N, 1770E,  15,    0, DB
WP, 14, 2099080918,   , XRQA,   0, 141N, 1757E,  20,    0, DB
WP, 14, 2099081000,   , XRQA,   0, 145N, 1743E,  25,    0, TD
WP, 14, 2099081006,   , XRQA,   0, 150N, 1730E,  25,    0, TD
WP, 14, 2099081012,   , XRQA,   0, 156N, 1719E,  30,    0, TD
WP, 14, 2099081018,   , XRQA,   0, 162N, 1707E,  35,    0, TS
WP, 14, 2099081100,   , XRQA,   0, 166N, 1699E,  50,    0, TS
WP, 14, 2099081106,   , XRQA,   0, 170N, 1689E,  50,    0, TS
WP, 14, 2099081112,   , XRQA,   0, 175N, 1678E,  45,    0, TS
WP, 14, 2099081118,   , XRQA,   0, 181N, 1667E,  50,    0, TS
WP, 14, 2099081200,   , XRQA,   0, 187N, 1657E,  65,    0, TY
WP, 14, 2099081206,   , XRQA,   0, 193N, 1651E,  80,    0, TY
WP, 14, 2099081212,   , XRQA,   0, 200N, 1647E,  90,    0, TY
WP, 14, 2099081218,   , XRQA,   0, 205N, 1643E, 120,    0, TY
WP, 14, 2099081300,   , XRQA,   0, 210N, 1641E, 115,    0, TY
WP, 14, 2099081306,   , XRQA,   0, 215N, 1639E, 105,    0, TY
WP, 14, 2099081312,   , XRQA,   0, 218N, 1638E,  95,    0, TY
WP, 14, 2099081318,   , XRQA,   0, 222N, 1636E,  85,    0, TY
WP, 14, 2099081400,   , XRQA,   0, 226N, 1634E,  90,    0, TY
WP, 14, 2099081406,   , XRQA,   0, 233N, 1633E,  90,    0, TY
WP, 14, 2099081412,   , XRQA,   0, 240N, 1630E,  85,    0, TY
WP, 14, 2099081418,   , XRQA,   0, 249N, 1627E, 100,    0, TY
WP, 14, 2099081500,   , XRQA,   0, 260N, 1624E, 105,    0, TY
WP, 14, 2099081506,   , XRQA,   0, 271N, 1622E,  90,    0, TY
WP, 14, 2099081512,   , XRQA,   0, 284N, 1623E,  70,    0, TY
WP, 14, 2099081518,   , XRQA,   0, 298N, 1626E,  65,    0, TY
WP, 14, 2099081600,   , XRQA,   0, 314N, 1634E,  75,    0, TY
WP, 14, 2099081606,   , XRQA,   0, 333N, 1652E,  70,    0, TY
WP, 14, 2099081612,   , XRQA,   0, 355N, 1677E,  75,    0, TY
WP, 14, 2099081618,   , XRQA,   0, 379N, 1707E,  70,    0, TY
WP, 14, 2099081700,   , XRQA,   0, 404N, 1738E,  60,    0, TS
WP, 14, 2099081706,   , XRQA,   0, 429N, 1763E,  50,    0, TS
WP, 14, 2099081712,   , XRQA,   0, 441N, 1774E,  45,    0, TS
WP, 14, 2099081718,   , XRQA,   0, 455N, 1794E,  40,    0, EX
WP, 14, 2099081800,   , XRQA,   0, 467N, 1789W,  40,    0, EX
WP, 14, 2099081806,   , XRQA,   0, 480N, 1780W,  40,    0, EX
WP, 14, 2099081812,   , XRQA,   0, 494N, 1773W,  40,    0, EX,Banyan
