WP, 19,2099092300,   , XRQA,   0, 159N, 1505E,  15,    0, DB
WP, 19,2099092306,   , XRQA,   0, 164N, 1499E,  15,    0, DB
WP, 19,2099092312,   , XRQA,   0, 170N, 1495E,  15,    0, DB
WP, 19,2099092318,   , XRQA,   0, 175N, 1491E,  15,    0, DB
WP, 19,2099092400,   , XRQA,   0, 178N, 1485E,  20,    0, DB
WP, 19,2099092406,   , XRQA,   0, 181N, 1479E,  20,    0, DB
WP, 19,2099092412,   , XRQA,   0, 183N, 1473E,  20,    0, DB
WP, 19,2099092418,   , XRQA,   0, 185N, 1467E,  25,    0, TD
WP, 19,2099092500,   , XRQA,   0, 187N, 1461E,  30,    0, TD
WP, 19,2099092506,   , XRQA,   0, 189N, 1454E,  35,    0, TS
WP, 19,2099092512,   , XRQA,   0, 190N, 1446E,  50,    0, TS
WP, 19,2099092518,   , XRQA,   0, 192N, 1441E,  50,    0, TS
WP, 19,2099092600,   , XRQA,   0, 196N, 1434E,  60,    0, TS
WP, 19,2099092606,   , XRQA,   0, 200N, 1430E,  65,    0, TY
WP, 19,2099092612,   , XRQA,   0, 203N, 1423E,  75,    0, TY
WP, 19,2099092618,   , XRQA,   0, 209N, 1416E,  80,    0, TY
WP, 19,2099092700,   , XRQA,   0, 214N, 1410E, 105,    0, TY
WP, 19,2099092706,   , XRQA,   0, 217N, 1401E, 125,    0, TY
WP, 19,2099092712,   , XRQA,   0, 219N, 1392E, 105,    0, TY
WP, 19,2099092718,   , XRQA,   0, 221N, 1383E, 105,    0, TY
WP, 19,2099092800,   , XRQA,   0, 223N, 1375E, 115,    0, TY
WP, 19,2099092806,   , XRQA,   0, 224N, 1367E, 140,    0, ST
WP, 19,2099092812,   , XRQA,   0, 224N, 1361E, 130,    0, ST
WP, 19,2099092818,   , XRQA,   0, 224N, 1356E, 130,    0, ST
WP, 19,2099092900,   , XRQA,   0, 224N, 1351E, 115,    0, TY
WP, 19,2099092906,   , XRQA,   0, 224N, 1346E, 115,    0, TY
WP, 19,2099092912,   , XRQA,   0, 223N, 1339E, 105,    0, TY
WP, 19,2099092918,   , XRQA,   0, 222N, 1329E, 100,    0, TY
WP, 19,2099093000,   , XRQA,   0, 220N, 1321E,  85,    0, TY
WP, 19,2099093006,   , XRQA,   0, 220N, 1310E,  95,    0, TY
WP, 19,2099093012,   , XRQA,   0, 221N, 1299E, 115,    0, TY
WP, 19,2099093018,   , XRQA,   0, 223N, 1285E, 125,    0, TY
WP, 19,2099100100,   , XRQA,   0, 224N, 1269E, 135,    0, ST
WP, 19,2099100106,   , XRQA,   0, 228N, 1253E, 130,    0, ST
WP, 19,2099100112,   , XRQA,   0, 231N, 1238E, 110,    0, TY
WP, 19,2099100118,   , XRQA,   0, 234N, 1224E, 105,    0, TY
WP, 19,2099100200,   , XRQA,   0, 239N, 1208E,  80,    0, TY
WP, 19,2099100206,   , XRQA,   0, 241N, 1197E,  40,    0, TS
WP, 19,2099100212,   , XRQA,   0, 243N, 1187E,  30,    0, TD
WP, 19,2099100218,   , XRQA,   0, 247N, 1177E,  30,    0, TD
WP, 19,2099100300,   , XRQA,   0, 253N, 1166E,  25,    0, TD
WP, 19,2099100306,   , XRQA,   0, 260N, 1156E,  20,    0, DB
WP, 19,2099100312,   , XRQA,   0, 265N, 1153E,  20,    0, DB
WP, 19,2099100318,   , XRQA,   0, 271N, 1150E,  20,    0, DB,Longwang
