WP, 26,2099112112,   , XRQA,   0,   2N, 1637E,  15,    0, DB
WP, 26,2099112118,   , XRQA,   0,   2N, 1627E,  15,    0, DB
WP, 26,2099112200,   , XRQA,   0,   3N, 1615E,  20,    0, DB
WP, 26,2099112206,   , XRQA,   0,   4N, 1606E,  20,    0, DB
WP, 26,2099112212,   , XRQA,   0,   4N, 1599E,  25,    0, TD
WP, 26,2099112218,   , XRQA,   0,   3N, 1595E,  30,    0, TD
WP, 26,2099112300,   , XRQA,   0,   4N, 1590E,  25,    0, TD
WP, 26,2099112306,   , XRQA,   0,   6N, 1584E,  20,    0, DB
WP, 26,2099112312,   , XRQA,   0,   8N, 1583E,  20,    0, DB
WP, 26,2099112318,   , XRQA,   0,  11N, 1587E,  20,    0, DB
WP, 26,2099112400,   , XRQA,   0,  10N, 1593E,  20,    0, DB
WP, 26,2099112406,   , XRQA,   0,   9N, 1599E,  25,    0, TD
WP, 26,2099112412,   , XRQA,   0,   7N, 1596E,  30,    0, TD
WP, 26,2099112418,   , XRQA,   0,   9N, 1592E,  30,    0, TD
WP, 26,2099112500,   , XRQA,   0,  12N, 1586E,  40,    0, TS
WP, 26,2099112506,   , XRQA,   0,  17N, 1580E,  30,    0, TD
WP, 26,2099112512,   , XRQA,   0,  24N, 1575E,  30,    0, TD
WP, 26,2099112518,   , XRQA,   0,  31N, 1570E,  35,    0, TS
WP, 26,2099112600,   , XRQA,   0,  37N, 1568E,  30,    0, TD
WP, 26,2099112606,   , XRQA,   0,  39N, 1567E,  25,    0, TD
WP, 26,2099112612,   , XRQA,   0,  40N, 1565E,  30,    0, TD
WP, 26,2099112618,   , XRQA,   0,  41N, 1563E,  40,    0, TS
WP, 26,2099112700,   , XRQA,   0,  43N, 1560E,  45,    0, TS
WP, 26,2099112706,   , XRQA,   0,  44N, 1557E,  45,    0, TS
WP, 26,2099112712,   , XRQA,   0,  45N, 1553E,  50,    0, TS
WP, 26,2099112718,   , XRQA,   0,  46N, 1549E,  55,    0, TS
WP, 26,2099112800,   , XRQA,   0,  48N, 1542E,  55,    0, TS
WP, 26,2099112806,   , XRQA,   0,  49N, 1531E,  60,    0, TS
WP, 26,2099112812,   , XRQA,   0,  47N, 1518E,  60,    0, TS
WP, 26,2099112818,   , XRQA,   0,  44N, 1508E,  60,    0, TS
WP, 26,2099112900,   , XRQA,   0,  41N, 1500E,  65,    0, TY
WP, 26,2099112906,   , XRQA,   0,  39N, 1492E,  65,    0, TY
WP, 26,2099112912,   , XRQA,   0,  36N, 1482E,  55,    0, TS
WP, 26,2099112918,   , XRQA,   0,  35N, 1471E,  50,    0, TS
WP, 26,2099113000,   , XRQA,   0,  36N, 1463E,  65,    0, TY
WP, 26,2099113006,   , XRQA,   0,  38N, 1453E,  75,    0, TY
WP, 26,2099113012,   , XRQA,   0,  41N, 1442E,  90,    0, TY
WP, 26,2099113018,   , XRQA,   0,  44N, 1430E, 135,    0, ST
WP, 26,2099120100,   , XRQA,   0,  47N, 1420E, 140,    0, ST
WP, 26,2099120106,   , XRQA,   0,  51N, 1411E, 120,    0, TY
WP, 26,2099120112,   , XRQA,   0,  54N, 1400E, 140,    0, ST
WP, 26,2099120118,   , XRQA,   0,  58N, 1388E, 155,    0, ST
WP, 26,2099120200,   , XRQA,   0,  61N, 1376E, 150,    0, ST
WP, 26,2099120206,   , XRQA,   0,  64N, 1360E, 130,    0, ST
WP, 26,2099120212,   , XRQA,   0,  65N, 1346E, 120,    0, TY
WP, 26,2099120218,   , XRQA,   0,  66N, 1333E, 105,    0, TY
WP, 26,2099120300,   , XRQA,   0,  68N, 1318E,  95,    0, TY
WP, 26,2099120306,   , XRQA,   0,  70N, 1304E, 130,    0, ST
WP, 26,2099120312,   , XRQA,   0,  74N, 1288E, 140,    0, ST
WP, 26,2099120318,   , XRQA,   0,  77N, 1273E, 150,    0, ST
WP, 26,2099120321,   , XRQA,   0,  78N, 1266E, 130,    0, ST
WP, 26,2099120400,   , XRQA,   0,  81N, 1257E,  90,    0, TY
WP, 26,2099120406,   , XRQA,   0,  87N, 1243E,  75,    0, TY
WP, 26,2099120412,   , XRQA,   0,  93N, 1225E,  50,    0, TS
WP, 26,2099120418,   , XRQA,   0,  98N, 1208E,  65,    0, TY
WP, 26,2099120500,   , XRQA,   0, 102N, 1197E,  70,    0, TY
WP, 26,2099120506,   , XRQA,   0, 107N, 1188E,  60,    0, TS
WP, 26,2099120512,   , XRQA,   0, 112N, 1181E,  45,    0, TS
WP, 26,2099120518,   , XRQA,   0, 115N, 1175E,  45,    0, TS
WP, 26,2099120600,   , XRQA,   0, 120N, 1170E,  55,    0, TS
WP, 26,2099120606,   , XRQA,   0, 124N, 1166E,  60,    0, TS
WP, 26,2099120612,   , XRQA,   0, 128N, 1163E,  70,    0, TY
WP, 26,2099120618,   , XRQA,   0, 132N, 1159E,  80,    0, TY
WP, 26,2099120700,   , XRQA,   0, 139N, 1157E,  90,    0, TY
WP, 26,2099120706,   , XRQA,   0, 146N, 1159E, 120,    0, TY
WP, 26,2099120712,   , XRQA,   0, 154N, 1160E, 135,    0, ST
WP, 26,2099120718,   , XRQA,   0, 162N, 1163E, 115,    0, TY
WP, 26,2099120800,   , XRQA,   0, 168N, 1170E, 125,    0, TY
WP, 26,2099120806,   , XRQA,   0, 175N, 1180E, 115,    0, TY
WP, 26,2099120812,   , XRQA,   0, 178N, 1186E,  75,    0, TY
WP, 26,2099120818,   , XRQA,   0, 181N, 1190E,  30,    0, TD
WP, 26,2099120900,   , XRQA,   0, 182N, 1193E,  25,    0, TD
WP, 26,2099120906,   , XRQA,   0, 180N, 1195E,  25,    0, TD
WP, 26,2099120912,   , XRQA,   0, 175N, 1191E,  20,    0, DB
WP, 26,2099120918,   , XRQA,   0, 169N, 1186E,  15,    0, DB,Bopha
