WP, 26, 2099101400,   , XRQA,   0, 151N, 1535E,  15,    0, DB
WP, 26, 2099101406,   , XRQA,   0, 151N, 1531E,  15,    0, DB
WP, 26, 2099101412,   , XRQA,   0, 150N, 1527E,  20,    0, DB
WP, 26, 2099101418,   , XRQA,   0, 149N, 1522E,  20,    0, DB
WP, 26, 2099101500,   , XRQA,   0, 147N, 1513E,  20,    0, DB
WP, 26, 2099101506,   , XRQA,   0, 144N, 1500E,  25,    0, TD
WP, 26, 2099101512,   , XRQA,   0, 139N, 1486E,  25,    0, TD
WP, 26, 2099101518,   , XRQA,   0, 135N, 1469E,  25,    0, TD
WP, 26, 2099101600,   , XRQA,   0, 127N, 1453E,  30,    0, TD
WP, 26, 2099101606,   , XRQA,   0, 122N, 1443E,  35,    0, TS
WP, 26, 2099101612,   , XRQA,   0, 116N, 1436E,  50,    0, TS
WP, 26, 2099101618,   , XRQA,   0, 112N, 1431E,  65,    0, TY
WP, 26, 2099101700,   , XRQA,   0, 110N, 1428E,  80,    0, TY
WP, 26, 2099101706,   , XRQA,   0, 114N, 1427E,  85,    0, TY
WP, 26, 2099101712,   , XRQA,   0, 121N, 1429E, 100,    0, TY
WP, 26, 2099101718,   , XRQA,   0, 131N, 1427E, 115,    0, TY
WP, 26, 2099101721,   , XRQA,   0, 135N, 1425E, 105,    0, TY
WP, 26, 2099101800,   , XRQA,   0, 138N, 1423E, 120,    0, TY
WP, 26, 2099101806,   , XRQA,   0, 142N, 1420E, 140,    0, ST
WP, 26, 2099101812,   , XRQA,   0, 152N, 1418E, 145,    0, ST
WP, 26, 2099101818,   , XRQA,   0, 159N, 1411E, 150,    0, ST
WP, 26, 2099101900,   , XRQA,   0, 162N, 1404E, 140,    0, ST
WP, 26, 2099101906,   , XRQA,   0, 167N, 1397E, 140,    0, ST
WP, 26, 2099101912,   , XRQA,   0, 171N, 1391E, 150,    0, ST
WP, 26, 2099101918,   , XRQA,   0, 174N, 1383E, 145,    0, ST
WP, 26, 2099102000,   , XRQA,   0, 178N, 1377E, 125,    0, TY
WP, 26, 2099102006,   , XRQA,   0, 184N, 1373E, 110,    0, TY
WP, 26, 2099102012,   , XRQA,   0, 187N, 1369E, 100,    0, TY
WP, 26, 2099102018,   , XRQA,   0, 193N, 1366E, 105,    0, TY
WP, 26, 2099102100,   , XRQA,   0, 198N, 1362E,  95,    0, TY
WP, 26, 2099102106,   , XRQA,   0, 203N, 1359E,  85,    0, TY
WP, 26, 2099102112,   , XRQA,   0, 210N, 1356E,  70,    0, TY
WP, 26, 2099102118,   , XRQA,   0, 216N, 1352E,  75,    0, TY
WP, 26, 2099102200,   , XRQA,   0, 223N, 1345E,  75,    0, TY
WP, 26, 2099102206,   , XRQA,   0, 228N, 1337E,  85,    0, TY
WP, 26, 2099102212,   , XRQA,   0, 232N, 1330E,  90,    0, TY
WP, 26, 2099102218,   , XRQA,   0, 236N, 1322E,  90,    0, TY
WP, 26, 2099102300,   , XRQA,   0, 240N, 1313E,  85,    0, TY
WP, 26, 2099102306,   , XRQA,   0, 243N, 1305E,  75,    0, TY
WP, 26, 2099102312,   , XRQA,   0, 246N, 1301E,  70,    0, TY
WP, 26, 2099102318,   , XRQA,   0, 249N, 1298E,  65,    0, TY
WP, 26, 2099102400,   , XRQA,   0, 251N, 1297E,  75,    0, TY
WP, 26, 2099102406,   , XRQA,   0, 258N, 1299E,  75,    0, TY
WP, 26, 2099102412,   , XRQA,   0, 264N, 1302E,  65,    0, TY
WP, 26, 2099102418,   , XRQA,   0, 271N, 1307E,  65,    0, TY
WP, 26, 2099102500,   , XRQA,   0, 278N, 1317E,  55,    0, TS
WP, 26, 2099102506,   , XRQA,   0, 288N, 1330E,  55,    0, TS
WP, 26, 2099102512,   , XRQA,   0, 298N, 1348E,  50,    0, TS
WP, 26, 2099102518,   , XRQA,   0, 309N, 1373E,  45,    0, TS
WP, 26, 2099102600,   , XRQA,   0, 318N, 1400E,  40,    0, TS
WP, 26, 2099102606,   , XRQA,   0, 329N, 1442E,  35,    0, SS
WP, 26, 2099102612,   , XRQA,   0, 361N, 1494E,  35,    0, SS
WP, 26, 2099102618,   , XRQA,   0, 395N, 1543E,  35,    0, EX
WP, 26, 2099102700,   , XRQA,   0, 424N, 1600E,  35,    0, EX
WP, 26, 2099102706,   , XRQA,   0, 457N, 1653E,  35,    0, EX
WP, 26, 2099102712,   , XRQA,   0, 474N, 1697E,  35,    0, EX
WP, 26, 2099102718,   , XRQA,   0, 490N, 1735E,  35,    0, EX,Francisco
