WP, 28, 2099101806,   , XRQA,   0,  99N, 1640E,  15,    0, DB
WP, 28, 2099101812,   , XRQA,   0,  97N, 1635E,  15,    0, DB
WP, 28, 2099101818,   , XRQA,   0,  95N, 1630E,  15,    0, DB
WP, 28, 2099101900,   , XRQA,   0,  93N, 1627E,  15,    0, DB
WP, 28, 2099101906,   , XRQA,   0,  91N, 1625E,  20,    0, DB
WP, 28, 2099101912,   , XRQA,   0,  92N, 1624E,  20,    0, DB
WP, 28, 2099101918,   , XRQA,   0,  96N, 1621E,  25,    0, TD
WP, 28, 2099102000,   , XRQA,   0, 100N, 1618E,  25,    0, TD
WP, 28, 2099102006,   , XRQA,   0, 103N, 1613E,  30,    0, TD
WP, 28, 2099102012,   , XRQA,   0, 105N, 1608E,  35,    0, TS
WP, 28, 2099102018,   , XRQA,   0, 109N, 1609E,  55,    0, TS
WP, 28, 2099102100,   , XRQA,   0, 115N, 1609E,  65,    0, TY
WP, 28, 2099102106,   , XRQA,   0, 122N, 1606E,  80,    0, TY
WP, 28, 2099102112,   , XRQA,   0, 131N, 1601E,  85,    0, TY
WP, 28, 2099102118,   , XRQA,   0, 138N, 1591E,  90,    0, TY
WP, 28, 2099102200,   , XRQA,   0, 151N, 1582E, 110,    0, TY
WP, 28, 2099102206,   , XRQA,   0, 162N, 1568E, 135,    0, ST
WP, 28, 2099102212,   , XRQA,   0, 171N, 1554E, 155,    0, ST
WP, 28, 2099102218,   , XRQA,   0, 180N, 1539E, 155,    0, ST
WP, 28, 2099102300,   , XRQA,   0, 186N, 1522E, 145,    0, ST
WP, 28, 2099102306,   , XRQA,   0, 190N, 1509E, 125,    0, TY
WP, 28, 2099102312,   , XRQA,   0, 194N, 1498E, 130,    0, ST
WP, 28, 2099102318,   , XRQA,   0, 199N, 1487E, 145,    0, ST
WP, 28, 2099102400,   , XRQA,   0, 206N, 1476E, 140,    0, ST
WP, 28, 2099102406,   , XRQA,   0, 214N, 1465E, 125,    0, TY
WP, 28, 2099102412,   , XRQA,   0, 225N, 1456E, 120,    0, TY
WP, 28, 2099102418,   , XRQA,   0, 236N, 1447E, 110,    0, TY
WP, 28, 2099102500,   , XRQA,   0, 250N, 1443E, 105,    0, TY
WP, 28, 2099102506,   , XRQA,   0, 269N, 1445E,  95,    0, TY
WP, 28, 2099102512,   , XRQA,   0, 293N, 1450E,  95,    0, TY
WP, 28, 2099102518,   , XRQA,   0, 317N, 1467E, 100,    0, TY
WP, 28, 2099102600,   , XRQA,   0, 344N, 1491E,  80,    0, TY
WP, 28, 2099102606,   , XRQA,   0, 369N, 1524E,  55,    0, TS
WP, 28, 2099102612,   , XRQA,   0, 392N, 1553E,  45,    0, EX
WP, 28, 2099102618,   , XRQA,   0, 402N, 1581E,  45,    0, EX
WP, 28, 2099102700,   , XRQA,   0, 404N, 1611E,  55,    0, EX
WP, 28, 2099102706,   , XRQA,   0, 408N, 1648E,  55,    0, EX
WP, 28, 2099102712,   , XRQA,   0, 409N, 1694E,  55,    0, EX
WP, 28, 2099102718,   , XRQA,   0, 408N, 1728E,  65,    0, EX
WP, 28, 2099102800,   , XRQA,   0, 407N, 1756E,  65,    0, EX
WP, 28, 2099102806,   , XRQA,   0, 417N, 1769E,  65,    0, EX
WP, 28, 2099102812,   , XRQA,   0, 427N, 1797E,  65,    0, EX
WP, 28, 2099102818,   , XRQA,   0, 435N, 1789W,  65,    0, EX,Lekima
