WP,01,2030041506,    , INVEST,   0, 74N, 1448E,  15,   1005, DB,
WP,01,2030041512,    , INVEST,   0, 75N, 1445E,  15,   1013, DB,
WP,01,2030041518,    , INVEST,   0, 78N, 1441E,  15,   1013, DB,
WP,01,2030041600,    , INVEST,   0, 78N, 1437E,  15,   1013, DB,
WP,01,2030041606,    , INVEST,   0, 78N, 1434E,  20,   1013, DB,
WP,01,2030041612,    , INVEST,   0, 77N, 1430E,  20,   1012, DB,
WP,01,2030041618,    , INVEST,   0, 75N, 1424E,  15,   1012, DB,
WP,01,2030041700,    , INVEST,   0, 74N, 1416E,  15,   1012, DB,
WP,01,2030041706,    , INVEST,   0, 74N, 1407E,  15,   1011, DB,
WP,01,2030041712,    , INVEST,   0, 75N, 1400E,  20,   1011, DB,
WP,01,2030041718,    , INVEST,   0, 76N, 1389E,  20,   1010, DB,
WP,01,2030041800,    , INVEST,   0, 80N, 1382E,  25,   1009, DB,
WP,01,2030041806,    , INVEST,   0, 87N, 1381E,  25,   1008, DB,
WP,01,2030041812,    , INVEST,   0, 94N, 1381E,  25,   1007, DB,
WP,01,2030041818,    , INVEST,   0, 100N, 1380E,  30,   1006, TD,
WP,01,2030041900,    , INVEST,   0, 108N, 1374E,  30,   1006, TD,
WP,01,2030041906,    , INVEST,   0, 113N, 1366E,  30,   1005, TD,
WP,01,2030041912,    , INVEST,   0, 112N, 1358E,  30,   1004, TD,
WP,01,2030041918,    , INVEST,   0, 112N, 1348E,  35,   1003, TS,
WP,01,2030042000,    , INVEST,   0, 114N, 1339E,  40,   1002, TS,
WP,01,2030042006,    , INVEST,   0, 118N, 1329E,  40,   1002, TS,
WP,01,2030042012,    , INVEST,   0, 125N, 1326E,  45,   1001, TS,
WP,01,2030042018,    , INVEST,   0, 135N, 1326E,  55,   1000, TS,
WP,01,2030042100,    , INVEST,   0, 147N, 1325E,  65,   1000, TY,
WP,01,2030042106,    , INVEST,   0, 160N, 1325E,  65,   1000, TY,
WP,01,2030042112,    , INVEST,   0, 169N, 1328E,  70,   999, TY,
WP,01,2030042118,    , INVEST,   0, 180N, 1333E,  65,   1000, TY,
WP,01,2030042200,    , INVEST,   0, 188N, 1339E,  60,   1002, TS,
WP,01,2030042206,    , INVEST,   0, 196N, 1346E,  70,   1005, TY,
WP,01,2030042212,    , INVEST,   0, 205N, 1352E,  85,   1013, TY,
WP,01,2030042218,    , INVEST,   0, 216N, 1356E,  90,   1013, TY,
WP,01,2030042300,    , INVEST,   0, 224N, 1365E,  80,   1013, TY,
WP,01,2030042306,    , INVEST,   0, 231N, 1374E,  60,   1013, TS,
WP,01,2030042312,    , INVEST,   0, 237N, 1388E,  55,   1013, TS,
WP,01,2030042318,    , INVEST,   0, 241N, 1404E,  45,   1026, TS,
WP,01,2030042400,    , INVEST,   0, 248N, 1423E,  40,   1026, TS,Yaimen
