WP,02,2030043012,    , INVEST,   0, 118N, 1165E,  15,   1005, MD,
WP,02,2030043018,    , INVEST,   0, 121N, 1157E,  15,   1013, MD,
WP,02,2030050100,    , INVEST,   0, 125N, 1156E,  15,   1013, MD,
WP,02,2030050106,    , INVEST,   0, 131N, 1152E,  15,   1013, MD,
WP,02,2030050112,    , INVEST,   0, 136N, 1147E,  25,   1013, DB,
WP,02,2030050118,    , INVEST,   0, 136N, 1141E,  25,   1012, DB,
WP,02,2030050200,    , INVEST,   0, 137N, 1135E,  30,   1012, TD,
WP,02,2030050206,    , INVEST,   0, 140N, 1131E,  30,   1012, TD,
WP,02,2030050212,    , INVEST,   0, 143N, 1123E,  35,   1011, TS,
WP,02,2030050218,    , INVEST,   0, 147N, 1114E,  35,   1011, TS,
WP,02,2030050300,    , INVEST,   0, 155N, 1105E,  40,   1010, TS,
WP,02,2030050306,    , INVEST,   0, 162N, 1096E,  50,   1009, TS,
WP,02,2030050312,    , INVEST,   0, 167N, 1088E,  65,   1008, TY,
WP,02,2030050318,    , INVEST,   0, 173N, 1074E,  75,   1007, TY,
WP,02,2030050400,    , INVEST,   0, 182N, 1056E,  50,   1006, TS,
WP,02,2030050406,    , INVEST,   0, 184N, 1039E,  35,   1006, TS,
WP,02,2030050412,    , INVEST,   0, 184N, 1022E,  25,   1005, DB,
WP,02,2030050418,    , INVEST,   0, 192N, 1011E,  20,   1004, DB,
WP,02,2030050500,    , INVEST,   0, 200N, 1004E,  15,   1003, DB,Ityo
