WP,03,2030051912,    , INVEST,   0, 61N, 1494E,  20,   1005, DB,
WP,03,2030051918,    , INVEST,   0, 66N, 1497E,  20,   1013, DB,
WP,03,2030052000,    , INVEST,   0, 72N, 1501E,  25,   1013, DB,
WP,03,2030052006,    , INVEST,   0, 77N, 1501E,  25,   1013, DB,
WP,03,2030052012,    , INVEST,   0, 86N, 1500E,  25,   1013, DB,
WP,03,2030052018,    , INVEST,   0, 92N, 1493E,  30,   1012, TD,
WP,03,2030052100,    , INVEST,   0, 97N, 1487E,  35,   1012, TS,
WP,03,2030052106,    , INVEST,   0, 104N, 1475E,  45,   1012, TS,
WP,03,2030052112,    , INVEST,   0, 109N, 1464E,  60,   1011, TS,
WP,03,2030052118,    , INVEST,   0, 118N, 1453E,  80,   1011, TY,
WP,03,2030052200,    , INVEST,   0, 127N, 1447E,  105,   1010, TY,
WP,03,2030052206,    , INVEST,   0, 139N, 1442E,  120,   1009, TY,
WP,03,2030052212,    , INVEST,   0, 143N, 1430E,  125,   1008, TY,
WP,03,2030052218,    , INVEST,   0, 151N, 1419E,  120,   1007, TY,
WP,03,2030052300,    , INVEST,   0, 163N, 1413E,  130,   1006, TY,
WP,03,2030052306,    , INVEST,   0, 179N, 1411E,  130,   1006, TY,
WP,03,2030052312,    , INVEST,   0, 191N, 1415E,  120,   1005, TY,
WP,03,2030052318,    , INVEST,   0, 208N, 1419E,  100,   1004, TY,
WP,03,2030052400,    , INVEST,   0, 225N, 1427E,  95,   1003, TY,
WP,03,2030052406,    , INVEST,   0, 241N, 1434E,  85,   1002, TY,
WP,03,2030052412,    , INVEST,   0, 254N, 1435E,  75,   1002, TY,
WP,03,2030052418,    , INVEST,   0, 267N, 1433E,  70,   1001, TY,
WP,03,2030052500,    , INVEST,   0, 278N, 1432E,  70,   1000, TY,
WP,03,2030052506,    , INVEST,   0, 287N, 1429E,  65,   1000, TY,
WP,03,2030052512,    , INVEST,   0, 294N, 1429E,  60,   1000, TS,
WP,03,2030052518,    , INVEST,   0, 305N, 1427E,  60,   999, TS,
WP,03,2030052600,    , INVEST,   0, 314N, 1426E,  55,   1000, TS,
WP,03,2030052606,    , INVEST,   0, 325N, 1426E,  55,   1002, TS,
WP,03,2030052612,    , INVEST,   0, 334N, 1423E,  60,   1005, TS,
WP,03,2030052618,    , INVEST,   0, 344N, 1429E,  70,   1013, TY,
WP,03,2030052700,    , INVEST,   0, 353N, 1438E,  70,   1013, TY,
WP,03,2030052706,    , INVEST,   0, 359N, 1457E,  80,   1013, TY,
WP,03,2030052712,    , INVEST,   0, 364N, 1475E,  85,   1013, TY,
WP,03,2030052718,    , INVEST,   0, 365N, 1496E,  90,   1013, TY,
WP,03,2030052800,    , INVEST,   0, 370N, 1515E,  80,   1026, TY,
WP,03,2030052806,    , INVEST,   0, 374N, 1532E,  60,   1026, TS,
WP,03,2030052812,    , INVEST,   0, 382N, 1550E,  45,   1026, TS,Yanxia
