WP,04,2030061518,    , INVEST,   0, 140N, 1253E,  15,   1005, DB,
WP,04,2030061600,    , INVEST,   0, 147N, 1249E,  15,   1013, DB,
WP,04,2030061606,    , INVEST,   0, 148N, 1242E,  20,   1013, DB,
WP,04,2030061612,    , INVEST,   0, 148N, 1235E,  25,   1013, DB,
WP,04,2030061618,    , INVEST,   0, 150N, 1226E,  25,   1013, DB,
WP,04,2030061700,    , INVEST,   0, 154N, 1223E,  30,   1012, TD,
WP,04,2030061706,    , INVEST,   0, 158N, 1218E,  40,   1012, TS,
WP,04,2030061712,    , INVEST,   0, 159N, 1207E,  30,   1012, TD,
WP,04,2030061718,    , INVEST,   0, 162N, 1196E,  30,   1011, TD,
WP,04,2030061800,    , INVEST,   0, 163N, 1183E,  35,   1011, TS,
WP,04,2030061806,    , INVEST,   0, 166N, 1174E,  40,   1010, TS,
WP,04,2030061812,    , INVEST,   0, 166N, 1165E,  50,   1009, TS,
WP,04,2030061818,    , INVEST,   0, 167N, 1156E,  55,   1008, TS,
WP,04,2030061900,    , INVEST,   0, 167N, 1148E,  55,   1007, TS,
WP,04,2030061906,    , INVEST,   0, 167N, 1138E,  60,   1006, TS,
WP,04,2030061912,    , INVEST,   0, 170N, 1132E,  65,   1006, TY,
WP,04,2030061918,    , INVEST,   0, 171N, 1124E,  75,   1005, TY,
WP,04,2030062000,    , INVEST,   0, 174N, 1115E,  90,   1004, TY,
WP,04,2030062006,    , INVEST,   0, 174N, 1108E,  105,   1003, TY,
WP,04,2030062012,    , INVEST,   0, 175N, 1103E,  110,   1002, TY,
WP,04,2030062018,    , INVEST,   0, 179N, 1097E,  110,   1002, TY,
WP,04,2030062100,    , INVEST,   0, 186N, 1092E,  80,   1001, TY,
WP,04,2030062106,    , INVEST,   0, 188N, 1084E,  60,   1000, TS,
WP,04,2030062112,    , INVEST,   0, 197N, 1082E,  55,   1000, TS,
WP,04,2030062118,    , INVEST,   0, 203N, 1086E,  65,   1000, TY,
WP,04,2030062200,    , INVEST,   0, 207N, 1093E,  70,   999, TY,
WP,04,2030062206,    , INVEST,   0, 210N, 1099E,  60,   1000, TS,
WP,04,2030062212,    , INVEST,   0, 216N, 1104E,  45,   1002, TS,
WP,04,2030062218,    , INVEST,   0, 225N, 1110E,  35,   1005, TS,
WP,04,2030062300,    , INVEST,   0, 235N, 1121E,  25,   1013, DB,
WP,04,2030062306,    , INVEST,   0, 249N, 1120E,  20,   1013, DB,
WP,04,2030062312,    , INVEST,   0, 263N, 1120E,  20,   1013, DB,
WP,04,2030062318,    , INVEST,   0, 274N, 1126E,  15,   1013, DB,
WP,04,2030062400,    , INVEST,   0, 283N, 1123E,  15,   1013, DB,
WP,04,2030062406,    , INVEST,   0, 295N, 1125E,  15,   1026, DB,Somei
