WP,05,2030062406,    , INVEST,   0, 182N, 1278E,  15,   1005, DB,
WP,05,2030062412,    , INVEST,   0, 183N, 1269E,  15,   1013, DB,
WP,05,2030062418,    , INVEST,   0, 187N, 1268E,  15,   1013, DB,
WP,05,2030062500,    , INVEST,   0, 193N, 1266E,  15,   1013, DB,
WP,05,2030062506,    , INVEST,   0, 195N, 1262E,  5,   1013, DB,
WP,05,2030062512,    , INVEST,   0, 200N, 1264E,  15,   1012, DB,
WP,05,2030062518,    , INVEST,   0, 203N, 1271E,  15,   1012, DB,
WP,05,2030062600,    , INVEST,   0, 203N, 1279E,  15,   1012, DB,
WP,05,2030062606,    , INVEST,   0, 205N, 1291E,  15,   1011, DB,
WP,05,2030062612,    , INVEST,   0, 205N, 1297E,  15,   1011, DB,
WP,05,2030062618,    , INVEST,   0, 204N, 1306E,  15,   1010, DB,
WP,05,2030062700,    , INVEST,   0, 207N, 1320E,  20,   1009, DB,
WP,05,2030062706,    , INVEST,   0, 205N, 1327E,  20,   1008, DB,
WP,05,2030062712,    , INVEST,   0, 208N, 1334E,  20,   1007, DB,
WP,05,2030062718,    , INVEST,   0, 208N, 1342E,  20,   1006, DB,
WP,05,2030062800,    , INVEST,   0, 209N, 1351E,  20,   1006, DB,
WP,05,2030062806,    , INVEST,   0, 208N, 1361E,  20,   1005, DB,
WP,05,2030062812,    , INVEST,   0, 211N, 1370E,  20,   1004, DB,
WP,05,2030062818,    , INVEST,   0, 211N, 1372E,  20,   1003, DB,
WP,05,2030062900,    , INVEST,   0, 214N, 1376E,  20,   1002, DB,
WP,05,2030062906,    , INVEST,   0, 214N, 1378E,  20,   1002, DB,
WP,05,2030062912,    , INVEST,   0, 217N, 1378E,  25,   1001, DB,
WP,05,2030062918,    , INVEST,   0, 220N, 1378E,  25,   1000, DB,
WP,05,2030063000,    , INVEST,   0, 226N, 1380E,  25,   1000, DB,
WP,05,2030063006,    , INVEST,   0, 233N, 1380E,  25,   1000, DB,
WP,05,2030063012,    , INVEST,   0, 238N, 1381E,  25,   999, DB,
WP,05,2030063018,    , INVEST,   0, 241N, 1384E,  30,   1000, TD,
WP,05,2030070100,    , INVEST,   0, 247N, 1389E,  30,   1002, TD,
WP,05,2030070106,    , INVEST,   0, 253N, 1397E,  35,   1005, TS,
WP,05,2030070112,    , INVEST,   0, 262N, 1404E,  40,   1013, TS,
WP,05,2030070118,    , INVEST,   0, 271N, 1415E,  40,   1013, TS,
WP,05,2030070200,    , INVEST,   0, 276N, 1428E,  50,   1013, TS,
WP,05,2030070206,    , INVEST,   0, 283N, 1440E,  55,   1013, TS,
WP,05,2030070212,    , INVEST,   0, 289N, 1448E,  50,   1013, TS,
WP,05,2030070218,    , INVEST,   0, 296N, 1461E,  50,   1026, TS,
WP,05,2030070300,    , INVEST,   0, 304N, 1473E,  50,   1026, TS,
WP,05,2030070306,    , INVEST,   0, 314N, 1483E,  45,   1026, TS,
WP,05,2030070312,    , INVEST,   0, 326N, 1492E,  45,   1026, TS,
WP,05,2030070318,    , INVEST,   0, 330N, 1504E,  40,   1026, TS,
WP,05,2030070400,    , INVEST,   0, 337N, 1516E,  40,   1026, TS,
WP,05,2030070406,    , INVEST,   0, 342N, 1530E,  35,   , TS,
WP,05,2030070412,    , INVEST,   0, 348N, 1542E,  35,   , TS,
WP,05,2030070418,    , INVEST,   0, 354N, 1562E,  30,   , TD,
WP,05,2030070500,    , INVEST,   0, 357N, 1578E,  30,   , TD,
WP,05,2030070506,    , INVEST,   0, 357N, 1593E,  30,   , TD,
WP,05,2030070512,    , INVEST,   0, 362N, 1610E,  25,   , DB,
WP,05,2030070518,    , INVEST,   0, 364N, 1628E,  25,   , DB,Qungfu
