WP,06,2030062618,    , INVEST,   0, 113N, 1500E,  15,   1005, DB,
WP,06,2030062700,    , INVEST,   0, 118N, 1497E,  15,   1013, DB,
WP,06,2030062706,    , INVEST,   0, 124N, 1495E,  15,   1013, DB,
WP,06,2030062712,    , INVEST,   0, 127N, 1490E,  15,   1013, DB,
WP,06,2030062718,    , INVEST,   0, 132N, 1485E,  15,   1013, DB,
WP,06,2030062800,    , INVEST,   0, 137N, 1478E,  15,   1012, DB,
WP,06,2030062806,    , INVEST,   0, 139N, 1469E,  20,   1012, DB,
WP,06,2030062812,    , INVEST,   0, 139N, 1459E,  20,   1012, DB,
WP,06,2030062818,    , INVEST,   0, 141N, 1448E,  20,   1011, DB,
WP,06,2030062900,    , INVEST,   0, 143N, 1439E,  20,   1011, DB,
WP,06,2030062906,    , INVEST,   0, 143N, 1429E,  20,   1010, DB,
WP,06,2030062912,    , INVEST,   0, 145N, 1421E,  25,   1009, DB,
WP,06,2030062918,    , INVEST,   0, 145N, 1414E,  30,   1008, TD,
WP,06,2030063000,    , INVEST,   0, 145N, 1403E,  30,   1007, TD,
WP,06,2030063006,    , INVEST,   0, 145N, 1397E,  30,   1006, TD,
WP,06,2030063012,    , INVEST,   0, 146N, 1385E,  30,   1006, TD,
WP,06,2030063018,    , INVEST,   0, 144N, 1377E,  35,   1005, TS,
WP,06,2030070100,    , INVEST,   0, 144N, 1371E,  40,   1004, TS,
WP,06,2030070106,    , INVEST,   0, 143N, 1365E,  40,   1003, TS,
WP,06,2030070112,    , INVEST,   0, 143N, 1358E,  45,   1002, TS,
WP,06,2030070118,    , INVEST,   0, 143N, 1350E,  50,   1002, TS,
WP,06,2030070200,    , INVEST,   0, 143N, 1345E,  50,   1001, TS,
WP,06,2030070206,    , INVEST,   0, 141N, 1341E,  55,   1000, TS,
WP,06,2030070212,    , INVEST,   0, 141N, 1339E,  55,   1000, TS,
WP,06,2030070218,    , INVEST,   0, 141N, 1336E,  55,   1000, TS,
WP,06,2030070300,    , INVEST,   0, 143N, 1331E,  60,   999, TS,
WP,06,2030070306,    , INVEST,   0, 145N, 1323E,  65,   1000, TY,
WP,06,2030070312,    , INVEST,   0, 149N, 1317E,  70,   1002, TY,
WP,06,2030070318,    , INVEST,   0, 152N, 1309E,  70,   1005, TY,
WP,06,2030070400,    , INVEST,   0, 156N, 1303E,  60,   1013, TS,
WP,06,2030070406,    , INVEST,   0, 159N, 1296E,  55,   1013, TS,
WP,06,2030070412,    , INVEST,   0, 166N, 1295E,  45,   1013, TS,
WP,06,2030070418,    , INVEST,   0, 169N, 1286E,  40,   1013, TS,
WP,06,2030070500,    , INVEST,   0, 173N, 1277E,  40,   1013, TS,
WP,06,2030070506,    , INVEST,   0, 176N, 1266E,  40,   1026, TS,
WP,06,2030070512,    , INVEST,   0, 179N, 1257E,  40,   1026, TS,
WP,06,2030070518,    , INVEST,   0, 181N, 1249E,  35,   1026, TS,
WP,06,2030070600,    , INVEST,   0, 185N, 1238E,  35,   1026, TS,
WP,06,2030070606,    , INVEST,   0, 190N, 1233E,  30,   1026, TD,
WP,06,2030070612,    , INVEST,   0, 194N, 1226E,  30,   1026, TD,
WP,06,2030070618,    , INVEST,   0, 194N, 1220E,  30,   , TD,
WP,06,2030070700,    , INVEST,   0, 195N, 1210E,  30,   , TD,
WP,06,2030070706,    , INVEST,   0, 199N, 1202E,  35,   , TS,
WP,06,2030070712,    , INVEST,   0, 207N, 1195E,  35,   , TS,
WP,06,2030070718,    , INVEST,   0, 215N, 1187E,  50,   , TS,
WP,06,2030070800,    , INVEST,   0, 226N, 1181E,  75,   , TY,
WP,06,2030070806,    , INVEST,   0, 233N, 1180E,  90,   , TY,
WP,06,2030070812,    , INVEST,   0, 236N, 1181E,  95,   , TY,
WP,06,2030070818,    , INVEST,   0, 242N, 1176E,  80,   , TY,
WP,06,2030070900,    , INVEST,   0, 246N, 1166E,  45,   , TS,
WP,06,2030070906,    , INVEST,   0, 254N, 1162E,  30,   , TD,
WP,06,2030070912,    , INVEST,   0, 263N, 1161E,  20,   , DB,
WP,06,2030070918,    , INVEST,   0, 272N, 1157E,  20,   , DB,
WP,06,2030071000,    , INVEST,   0, 282N, 1157E,  15,   , DB,
WP,06,2030071006,    , INVEST,   0, 290N, 1160E,  15,   , DB,
WP,06,2030071012,    , INVEST,   0, 296N, 1171E,  15,   , DB,Baihua
