WP,07,2030070812,    , INVEST,   0, 257N, 1429E,  15,   1005, DB,
WP,07,2030070818,    , INVEST,   0, 266N, 1427E,  20,   1013, DB,
WP,07,2030070900,    , INVEST,   0, 273N, 1423E,  20,   1013, DB,
WP,07,2030070906,    , INVEST,   0, 284N, 1424E,  25,   1013, DB,
WP,07,2030070912,    , INVEST,   0, 290N, 1420E,  30,   1013, TD,
WP,07,2030070918,    , INVEST,   0, 299N, 1419E,  35,   1012, TS,
WP,07,2030071000,    , INVEST,   0, 314N, 1416E,  45,   1012, TS,
WP,07,2030071006,    , INVEST,   0, 328N, 1407E,  55,   1012, TS,
WP,07,2030071012,    , INVEST,   0, 345N, 1397E,  60,   1011, TS,
WP,07,2030071018,    , INVEST,   0, 361N, 1402E,  45,   1011, TS,
WP,07,2030071100,    , INVEST,   0, 375N, 1414E,  35,   1010, TS,
WP,07,2030071106,    , INVEST,   0, 393N, 1425E,  35,   1009, TS,
WP,07,2030071112,    , INVEST,   0, 413N, 1427E,  30,   1008, TD,
WP,07,2030071118,    , INVEST,   0, 431N, 1430E,  25,   1007, DB,Coll
