WP,08,2030070712,    , INVEST,   0, 219N, 1276E,  15,   1005, DB,
WP,08,2030070718,    , INVEST,   0, 227N, 1276E,  5,   1013, DB,
WP,08,2030070800,    , INVEST,   0, 234N, 1269E,  15,   1013, DB,
WP,08,2030070806,    , INVEST,   0, 239N, 1271E,  20,   1013, DB,
WP,08,2030070812,    , INVEST,   0, 247N, 1271E,  20,   1013, DB,
WP,08,2030070818,    , INVEST,   0, 254N, 1266E,  15,   1012, DB,
WP,08,2030070900,    , INVEST,   0, 260N, 1262E,  15,   1012, DB,
WP,08,2030070906,    , INVEST,   0, 265N, 1260E,  20,   1012, DB,
WP,08,2030070912,    , INVEST,   0, 270N, 1261E,  20,   1011, DB,
WP,08,2030070918,    , INVEST,   0, 273N, 1265E,  25,   1011, DB,
WP,08,2030071000,    , INVEST,   0, 277N, 1270E,  25,   1010, DB,
WP,08,2030071006,    , INVEST,   0, 284N, 1275E,  25,   1009, DB,
WP,08,2030071012,    , INVEST,   0, 288N, 1279E,  30,   1008, TD,
WP,08,2030071018,    , INVEST,   0, 292N, 1283E,  30,   1007, TD,
WP,08,2030071100,    , INVEST,   0, 298N, 1290E,  35,   1006, TS,
WP,08,2030071106,    , INVEST,   0, 297N, 1298E,  40,   1006, TS,
WP,08,2030071112,    , INVEST,   0, 297N, 1310E,  50,   1005, TS,
WP,08,2030071118,    , INVEST,   0, 298N, 1324E,  55,   1004, TS,
WP,08,2030071200,    , INVEST,   0, 302N, 1336E,  65,   1003, TY,
WP,08,2030071206,    , INVEST,   0, 304N, 1350E,  70,   1002, TY,
WP,08,2030071212,    , INVEST,   0, 309N, 1362E,  70,   1002, TY,
WP,08,2030071218,    , INVEST,   0, 314N, 1374E,  75,   1001, TY,
WP,08,2030071300,    , INVEST,   0, 319N, 1390E,  75,   1000, TY,
WP,08,2030071306,    , INVEST,   0, 323N, 1404E,  75,   1000, TY,
WP,08,2030071312,    , INVEST,   0, 328N, 1421E,  70,   1000, TY,
WP,08,2030071318,    , INVEST,   0, 341N, 1435E,  70,   999, TY,
WP,08,2030071400,    , INVEST,   0, 345N, 1451E,  60,   1000, TS,
WP,08,2030071406,    , INVEST,   0, 347N, 1468E,  55,   1002, TS,Lacker
