WP,10,2030071112,    , INVEST,   0, 68N, 1393E,  20,   1005, DB,
WP,10,2030071118,    , INVEST,   0, 68N, 1387E,  20,   1013, DB,
WP,10,2030071200,    , INVEST,   0, 67N, 1382E,  20,   1013, DB,
WP,10,2030071206,    , INVEST,   0, 67N, 1376E,  20,   1013, DB,
WP,10,2030071212,    , INVEST,   0, 67N, 1371E,  25,   1013, DB,
WP,10,2030071218,    , INVEST,   0, 65N, 1364E,  25,   1012, DB,
WP,10,2030071300,    , INVEST,   0, 65N, 1358E,  25,   1012, DB,
WP,10,2030071306,    , INVEST,   0, 65N, 1352E,  25,   1012, DB,
WP,10,2030071312,    , INVEST,   0, 67N, 1343E,  25,   1011, DB,
WP,10,2030071318,    , INVEST,   0, 67N, 1336E,  30,   1011, TD,
WP,10,2030071400,    , INVEST,   0, 65N, 1322E,  30,   1010, TD,
WP,10,2030071406,    , INVEST,   0, 68N, 1310E,  35,   1009, TS,
WP,10,2030071412,    , INVEST,   0, 70N, 1297E,  40,   1008, TS,
WP,10,2030071418,    , INVEST,   0, 73N, 1283E,  40,   1007, TS,
WP,10,2030071500,    , INVEST,   0, 75N, 1268E,  45,   1006, TS,
WP,10,2030071506,    , INVEST,   0, 75N, 1254E,  35,   1006, TS,
WP,10,2030071512,    , INVEST,   0, 76N, 1242E,  30,   1005, TD,
WP,10,2030071518,    , INVEST,   0, 81N, 1225E,  30,   1004, TD,
WP,10,2030071600,    , INVEST,   0, 80N, 1211E,  35,   1003, TS,
WP,10,2030071606,    , INVEST,   0, 79N, 1198E,  35,   1002, TS,
WP,10,2030071612,    , INVEST,   0, 76N, 1183E,  40,   1002, TS,
WP,10,2030071618,    , INVEST,   0, 73N, 1167E,  40,   1001, TS,
WP,10,2030071700,    , INVEST,   0, 76N, 1157E,  45,   1000, TS,
WP,10,2030071706,    , INVEST,   0, 85N, 1154E,  60,   1000, TS,
WP,10,2030071712,    , INVEST,   0, 93N, 1157E,  85,   1000, TY,
WP,10,2030071718,    , INVEST,   0, 102N, 1160E,  105,   999, TY,
WP,10,2030071800,    , INVEST,   0, 109N, 1167E,  105,   1000, TY,
WP,10,2030071806,    , INVEST,   0, 117N, 1174E,  100,   1002, TY,
WP,10,2030071812,    , INVEST,   0, 124N, 1179E,  110,   1005, TY,
WP,10,2030071818,    , INVEST,   0, 128N, 1184E,  120,   1013, TY,
WP,10,2030071900,    , INVEST,   0, 132N, 1189E,  125,   1013, TY,
WP,10,2030071906,    , INVEST,   0, 135N, 1191E,  125,   1013, TY,
WP,10,2030071912,    , INVEST,   0, 138N, 1197E,  120,   1013, TY,
WP,10,2030071918,    , INVEST,   0, 141N, 1203E,  120,   1013, TY,
WP,10,2030072000,    , INVEST,   0, 144N, 1211E,  70,   1026, TY,
WP,10,2030072006,    , INVEST,   0, 151N, 1224E,  60,   1026, TS,
WP,10,2030072012,    , INVEST,   0, 159N, 1232E,  50,   1026, TS,
WP,10,2030072018,    , INVEST,   0, 166N, 1243E,  55,   1026, TS,
WP,10,2030072100,    , INVEST,   0, 180N, 1251E,  65,   1026, TY,
WP,10,2030072106,    , INVEST,   0, 190N, 1257E,  75,   1026, TY,
WP,10,2030072112,    , INVEST,   0, 200N, 1269E,  90,   , TY,
WP,10,2030072118,    , INVEST,   0, 212N, 1279E,  100,   , TY,
WP,10,2030072200,    , INVEST,   0, 218N, 1292E,  95,   , TY,
WP,10,2030072206,    , INVEST,   0, 229N, 1303E,  95,   , TY,
WP,10,2030072212,    , INVEST,   0, 235N, 1318E,  90,   , TY,
WP,10,2030072218,    , INVEST,   0, 243N, 1332E,  85,   , TY,
WP,10,2030072300,    , INVEST,   0, 252N, 1344E,  75,   , TY,
WP,10,2030072306,    , INVEST,   0, 264N, 1359E,  60,   , TS,
WP,10,2030072312,    , INVEST,   0, 272N, 1373E,  55,   , TS,
WP,10,2030072318,    , INVEST,   0, 280N, 1386E,  55,   , TS,
WP,10,2030072400,    , INVEST,   0, 295N, 1396E,  60,   , TS,
WP,10,2030072406,    , INVEST,   0, 309N, 1403E,  70,   , TY,
WP,10,2030072412,    , INVEST,   0, 325N, 1411E,  85,   , TY,
WP,10,2030072418,    , INVEST,   0, 345N, 1414E,  70,   , TY,
WP,10,2030072500,    , INVEST,   0, 360N, 1423E,  50,   , TS,
WP,10,2030072506,    , INVEST,   0, 379N, 1433E,  40,   , TS,Meissa
