WP,11,2030071206,    , INVEST,   0, 165N, 1444E,  15,   1005, DB,
WP,11,2030071212,    , INVEST,   0, 163N, 1434E,  15,   1013, DB,
WP,11,2030071218,    , INVEST,   0, 163N, 1427E,  20,   1013, DB,
WP,11,2030071300,    , INVEST,   0, 164N, 1418E,  25,   1013, DB,
WP,11,2030071306,    , INVEST,   0, 166N, 1408E,  25,   1013, DB,
WP,11,2030071312,    , INVEST,   0, 166N, 1402E,  25,   1012, DB,
WP,11,2030071318,    , INVEST,   0, 169N, 1397E,  20,   1012, DB,
WP,11,2030071400,    , INVEST,   0, 170N, 1391E,  20,   1012, DB,
WP,11,2030071406,    , INVEST,   0, 170N, 1386E,  20,   1011, DB,
WP,11,2030071412,    , INVEST,   0, 173N, 1381E,  20,   1011, DB,
WP,11,2030071418,    , INVEST,   0, 179N, 1373E,  25,   1010, DB,
WP,11,2030071500,    , INVEST,   0, 182N, 1367E,  25,   1009, DB,
WP,11,2030071506,    , INVEST,   0, 184N, 1361E,  20,   1008, DB,
WP,11,2030071512,    , INVEST,   0, 187N, 1355E,  15,   1007, DB,
WP,11,2030071518,    , INVEST,   0, 193N, 1347E,  15,   1006, DB,
WP,11,2030071600,    , INVEST,   0, 198N, 1342E,  15,   1006, DB,
WP,11,2030071606,    , INVEST,   0, 200N, 1337E,  15,   1005, DB,
WP,11,2030071612,    , INVEST,   0, 203N, 1333E,  20,   1004, DB,
WP,11,2030071618,    , INVEST,   0, 207N, 1327E,  15,   1003, DB,
WP,11,2030071700,    , INVEST,   0, 212N, 1324E,  15,   1002, DB,
WP,11,2030071706,    , INVEST,   0, 215N, 1319E,  20,   1002, DB,
WP,11,2030071712,    , INVEST,   0, 217N, 1313E,  20,   1001, DB,
WP,11,2030071718,    , INVEST,   0, 217N, 1309E,  20,   1000, DB,
WP,11,2030071800,    , INVEST,   0, 217N, 1303E,  15,   1000, DB,
WP,11,2030071806,    , INVEST,   0, 220N, 1299E,  15,   1000, DB,
WP,11,2030071812,    , INVEST,   0, 226N, 1296E,  15,   999, DB,
WP,11,2030071818,    , INVEST,   0, 225N, 1292E,  25,   1000, DB,
WP,11,2030071900,    , INVEST,   0, 225N, 1289E,  30,   1002, TD,
WP,11,2030071906,    , INVEST,   0, 222N, 1287E,  30,   1005, TD,
WP,11,2030071912,    , INVEST,   0, 220N, 1293E,  40,   1013, TS,
WP,11,2030071918,    , INVEST,   0, 223N, 1299E,  45,   1013, TS,
WP,11,2030072000,    , INVEST,   0, 231N, 1299E,  50,   1013, TS,
WP,11,2030072006,    , INVEST,   0, 236N, 1299E,  60,   1013, TS,
WP,11,2030072012,    , INVEST,   0, 240N, 1289E,  65,   1013, TY,
WP,11,2030072018,    , INVEST,   0, 247N, 1279E,  75,   1026, TY,
WP,11,2030072100,    , INVEST,   0, 251N, 1266E,  75,   1026, TY,
WP,11,2030072106,    , INVEST,   0, 255N, 1253E,  80,   1026, TY,
WP,11,2030072112,    , INVEST,   0, 257N, 1242E,  90,   1026, TY,
WP,11,2030072118,    , INVEST,   0, 261N, 1230E,  85,   1026, TY,
WP,11,2030072200,    , INVEST,   0, 264N, 1221E,  85,   1026, TY,
WP,11,2030072206,    , INVEST,   0, 276N, 1211E,  80,   , TY,
WP,11,2030072212,    , INVEST,   0, 281N, 1200E,  50,   , TS,
WP,11,2030072218,    , INVEST,   0, 287N, 1189E,  35,   , TS,
WP,11,2030072300,    , INVEST,   0, 287N, 1177E,  20,   , DB,
WP,11,2030072306,    , INVEST,   0, 290N, 1165E,  20,   , DB,
WP,11,2030072312,    , INVEST,   0, 290N, 1156E,  15,   , DB,
WP,11,2030072318,    , INVEST,   0, 292N, 1146E,  15,   , DB,Xuntay
