WP,13,2030072300,    , INVEST,   0, 82N, 1400E,  15,   1005, DB,
WP,13,2030072306,    , INVEST,   0, 83N, 1392E,  20,   1013, DB,
WP,13,2030072312,    , INVEST,   0, 84N, 1386E,  20,   1013, DB,
WP,13,2030072318,    , INVEST,   0, 88N, 1377E,  20,   1013, DB,
WP,13,2030072400,    , INVEST,   0, 94N, 1367E,  20,   1013, DB,
WP,13,2030072406,    , INVEST,   0, 98N, 1356E,  20,   1012, DB,
WP,13,2030072412,    , INVEST,   0, 103N, 1345E,  15,   1012, DB,
WP,13,2030072418,    , INVEST,   0, 105N, 1339E,  15,   1012, DB,
WP,13,2030072500,    , INVEST,   0, 107N, 1331E,  20,   1011, DB,
WP,13,2030072506,    , INVEST,   0, 110N, 1322E,  15,   1011, DB,
WP,13,2030072512,    , INVEST,   0, 114N, 1314E,  25,   1010, DB,
WP,13,2030072518,    , INVEST,   0, 120N, 1306E,  30,   1009, TD,
WP,13,2030072600,    , INVEST,   0, 124N, 1299E,  35,   1008, TS,
WP,13,2030072606,    , INVEST,   0, 125N, 1290E,  35,   1007, TS,
WP,13,2030072612,    , INVEST,   0, 131N, 1279E,  40,   1006, TS,
WP,13,2030072618,    , INVEST,   0, 133N, 1271E,  40,   1006, TS,
WP,13,2030072700,    , INVEST,   0, 140N, 1267E,  45,   1005, TS,
WP,13,2030072706,    , INVEST,   0, 145N, 1262E,  50,   1004, TS,
WP,13,2030072712,    , INVEST,   0, 153N, 1258E,  50,   1003, TS,
WP,13,2030072718,    , INVEST,   0, 159N, 1251E,  60,   1002, TS,
WP,13,2030072800,    , INVEST,   0, 166N, 1247E,  70,   1002, TY,
WP,13,2030072806,    , INVEST,   0, 168N, 1242E,  75,   1001, TY,
WP,13,2030072812,    , INVEST,   0, 173N, 1236E,  80,   1000, TY,
WP,13,2030072818,    , INVEST,   0, 176N, 1231E,  95,   1000, TY,
WP,13,2030072900,    , INVEST,   0, 179N, 1224E,  110,   1000, TY,
WP,13,2030072906,    , INVEST,   0, 184N, 1219E,  100,   999, TY,
WP,13,2030072912,    , INVEST,   0, 188N, 1212E,  90,   1000, TY,
WP,13,2030072918,    , INVEST,   0, 194N, 1198E,  90,   1002, TY,
WP,13,2030073000,    , INVEST,   0, 203N, 1186E,  95,   1005, TY,
WP,13,2030073006,    , INVEST,   0, 214N, 1180E,  105,   1013, TY,
WP,13,2030073012,    , INVEST,   0, 228N, 1170E,  110,   1013, TY,
WP,13,2030073018,    , INVEST,   0, 247N, 1164E,  65,   1013, TY,
WP,13,2030073100,    , INVEST,   0, 264N, 1161E,  40,   1013, TS,
WP,13,2030073106,    , INVEST,   0, 283N, 1160E,  30,   1013, TD,
WP,13,2030073112,    , INVEST,   0, 300N, 1160E,  5,   1026, DB,
WP,13,2030073118,    , INVEST,   0, 314N, 1160E,  15,   1026, DB,
WP,13,2030080100,    , INVEST,   0, 328N, 1156E,  15,   1026, DB,
WP,13,2030080106,    , INVEST,   0, 344N, 1153E,  15,   1026, DB,
WP,13,2030080112,    , INVEST,   0, 356N, 1146E,  15,   1026, DB,
WP,13,2030080118,    , INVEST,   0, 368N, 1146E,  15,   1026, DB,
WP,13,2030080200,    , INVEST,   0, 377N, 1157E,  15,   , DB,
WP,13,2030080206,    , INVEST,   0, 382N, 1169E,  15,   , DB,Changjing
