WP,14,2030080218,    , INVEST,   0, 129N, 1377E,  15,   1005, DB,
WP,14,2030080300,    , INVEST,   0, 133N, 1370E,  15,   1013, DB,
WP,14,2030080306,    , INVEST,   0, 139N, 1358E,  20,   1013, DB,
WP,14,2030080312,    , INVEST,   0, 143N, 1348E,  20,   1013, DB,
WP,14,2030080318,    , INVEST,   0, 150N, 1337E,  20,   1013, DB,
WP,14,2030080400,    , INVEST,   0, 152N, 1326E,  25,   1012, DB,
WP,14,2030080406,    , INVEST,   0, 154N, 1317E,  25,   1012, DB,
WP,14,2030080412,    , INVEST,   0, 156N, 1311E,  30,   1012, TD,
WP,14,2030080418,    , INVEST,   0, 158N, 1303E,  40,   1011, TS,
WP,14,2030080500,    , INVEST,   0, 159N, 1299E,  50,   1011, TS,
WP,14,2030080506,    , INVEST,   0, 160N, 1297E,  55,   1010, TS,
WP,14,2030080512,    , INVEST,   0, 161N, 1294E,  65,   1009, TY,
WP,14,2030080518,    , INVEST,   0, 162N, 1294E,  70,   1008, TY,
WP,14,2030080600,    , INVEST,   0, 163N, 1294E,  60,   1007, TS,
WP,14,2030080606,    , INVEST,   0, 169N, 1295E,  55,   1006, TS,
WP,14,2030080612,    , INVEST,   0, 173N, 1295E,  55,   1006, TS,
WP,14,2030080618,    , INVEST,   0, 178N, 1294E,  50,   1005, TS,
WP,14,2030080700,    , INVEST,   0, 184N, 1294E,  55,   1004, TS,
WP,14,2030080706,    , INVEST,   0, 194N, 1286E,  75,   1003, TY,
WP,14,2030080712,    , INVEST,   0, 200N, 1272E,  110,   1002, TY,
WP,14,2030080718,    , INVEST,   0, 203N, 1259E,  140,   1002, TY,
WP,14,2030080800,    , INVEST,   0, 209N, 1246E,  150,   1001, TY,
WP,14,2030080806,    , INVEST,   0, 217N, 1244E,  135,   1000, TY,
WP,14,2030080812,    , INVEST,   0, 223N, 1235E,  130,   1000, TY,
WP,14,2030080818,    , INVEST,   0, 226N, 1223E,  155,   1000, TY,
WP,14,2030080900,    , INVEST,   0, 228N, 1216E,  160,   999, TY,
WP,14,2030080906,    , INVEST,   0, 227N, 1211E,  130,   1000, TY,
WP,14,2030080912,    , INVEST,   0, 230N, 1200E,  80,   1002, TY,
WP,14,2030080918,    , INVEST,   0, 235N, 1188E,  60,   1005, TS,
WP,14,2030081000,    , INVEST,   0, 241N, 1182E,  65,   1013, TY,
WP,14,2030081006,    , INVEST,   0, 250N, 1170E,  40,   1013, TS,
WP,14,2030081012,    , INVEST,   0, 260N, 1159E,  30,   1013, TD,
WP,14,2030081018,    , INVEST,   0, 272N, 1153E,  20,   1013, DB,
WP,14,2030081100,    , INVEST,   0, 285N, 1140E,  20,   1013, DB,
WP,14,2030081106,    , INVEST,   0, 289N, 1127E,  15,   1026, DB,
WP,14,2030081112,    , INVEST,   0, 294N, 1114E,  15,   1026, DB,Sagittaris
