WP,15,2030080200,    , INVEST,   0, 251N, 1392E,  20,   1005, DB,
WP,15,2030080206,    , INVEST,   0, 256N, 1396E,  20,   1013, DB,
WP,15,2030080212,    , INVEST,   0, 257N, 1399E,  20,   1013, DB,
WP,15,2030080218,    , INVEST,   0, 262N, 1401E,  20,   1013, DB,
WP,15,2030080300,    , INVEST,   0, 269N, 1403E,  20,   1013, DB,
WP,15,2030080306,    , INVEST,   0, 276N, 1406E,  20,   1012, DB,
WP,15,2030080312,    , INVEST,   0, 280N, 1410E,  20,   1012, DB,
WP,15,2030080318,    , INVEST,   0, 287N, 1414E,  25,   1012, DB,
WP,15,2030080400,    , INVEST,   0, 290N, 1422E,  25,   1011, DB,
WP,15,2030080406,    , INVEST,   0, 295N, 1427E,  25,   1011, DB,
WP,15,2030080412,    , INVEST,   0, 299N, 1430E,  25,   1010, DB,
WP,15,2030080418,    , INVEST,   0, 306N, 1434E,  30,   1009, TD,
WP,15,2030080500,    , INVEST,   0, 313N, 1440E,  30,   1008, TD,
WP,15,2030080506,    , INVEST,   0, 320N, 1442E,  30,   1007, TD,
WP,15,2030080512,    , INVEST,   0, 329N, 1439E,  35,   1006, TS,
WP,15,2030080518,    , INVEST,   0, 337N, 1436E,  40,   1006, TS,
WP,15,2030080600,    , INVEST,   0, 344N, 1430E,  40,   1005, TS,
WP,15,2030080606,    , INVEST,   0, 351N, 1421E,  45,   1004, TS,
WP,15,2030080612,    , INVEST,   0, 361N, 1417E,  60,   1003, TS,
WP,15,2030080618,    , INVEST,   0, 367N, 1413E,  80,   1002, TY,
WP,15,2030080700,    , INVEST,   0, 378N, 1411E,  75,   1002, TY,
WP,15,2030080706,    , INVEST,   0, 386N, 1402E,  45,   1001, TS,
WP,15,2030080712,    , INVEST,   0, 390N, 1386E,  35,   1000, TS,
WP,15,2030080718,    , INVEST,   0, 398N, 1369E,  35,   1000, TS,
WP,15,2030080800,    , INVEST,   0, 413N, 1363E,  40,   1000, TS,
WP,15,2030080806,    , INVEST,   0, 429N, 1368E,  40,   999, TS,Xin-ga
