WP,16,2030080712,    , INVEST,   0, 101N, 1160E,  15,   1005, MD,
WP,16,2030080718,    , INVEST,   0, 103N, 1165E,  15,   1013, MD,
WP,16,2030080800,    , INVEST,   0, 111N, 1166E,  15,   1013, MD,
WP,16,2030080806,    , INVEST,   0, 116N, 1166E,  15,   1013, MD,
WP,16,2030080812,    , INVEST,   0, 121N, 1167E,  25,   1013, DB,
WP,16,2030080818,    , INVEST,   0, 122N, 1168E,  25,   1012, DB,
WP,16,2030080900,    , INVEST,   0, 125N, 1171E,  25,   1012, DB,
WP,16,2030080906,    , INVEST,   0, 127N, 1174E,  30,   1012, TD,
WP,16,2030080912,    , INVEST,   0, 133N, 1177E,  30,   1011, TD,
WP,16,2030080918,    , INVEST,   0, 140N, 1177E,  35,   1011, TS,
WP,16,2030081000,    , INVEST,   0, 149N, 1176E,  35,   1010, TS,
WP,16,2030081006,    , INVEST,   0, 159N, 1178E,  45,   1009, TS,
WP,16,2030081012,    , INVEST,   0, 171N, 1181E,  55,   1008, TS,
WP,16,2030081018,    , INVEST,   0, 183N, 1181E,  70,   1007, TY,
WP,16,2030081100,    , INVEST,   0, 192N, 1183E,  70,   1006, TY,
WP,16,2030081106,    , INVEST,   0, 200N, 1182E,  70,   1006, TY,
WP,16,2030081112,    , INVEST,   0, 209N, 1178E,  75,   1005, TY,
WP,16,2030081118,    , INVEST,   0, 217N, 1170E,  75,   1004, TY,
WP,16,2030081200,    , INVEST,   0, 219N, 1162E,  80,   1003, TY,
WP,16,2030081206,    , INVEST,   0, 222N, 1154E,  80,   1002, TY,
WP,16,2030081212,    , INVEST,   0, 223N, 1149E,  130,   1002, TY,
WP,16,2030081218,    , INVEST,   0, 223N, 1140E,  105,   1001, TY,
WP,16,2030081300,    , INVEST,   0, 226N, 1133E,  80,   1000, TY,
WP,16,2030081306,    , INVEST,   0, 231N, 1129E,  60,   1000, TS,
WP,16,2030081312,    , INVEST,   0, 235N, 1132E,  45,   1000, TS,
WP,16,2030081318,    , INVEST,   0, 241N, 1135E,  35,   999, TS,
WP,16,2030081400,    , INVEST,   0, 246N, 1135E,  25,   1000, DB,
WP,16,2030081406,    , INVEST,   0, 251N, 1134E,  25,   1002, DB,
WP,16,2030081412,    , INVEST,   0, 246N, 1134E,  25,   1005, DB,
WP,16,2030081418,    , INVEST,   0, 242N, 1138E,  25,   1013, DB,
WP,16,2030081500,    , INVEST,   0, 240N, 1137E,  20,   1013, DB,
WP,16,2030081506,    , INVEST,   0, 237N, 1133E,  20,   1013, DB,
WP,16,2030081512,    , INVEST,   0, 235N, 1128E,  20,   1013, DB,
WP,16,2030081518,    , INVEST,   0, 232N, 1127E,  20,   1013, DB,
WP,16,2030081600,    , INVEST,   0, 229N, 1127E,  15,   1026, DB,
WP,16,2030081606,    , INVEST,   0, 224N, 1133E,  15,   1026, DB,
WP,16,2030081612,    , INVEST,   0, 219N, 1135E,  15,   1026, DB,
WP,16,2030081618,    , INVEST,   0, 217N, 1135E,  15,   1026, DB,
WP,16,2030081700,    , INVEST,   0, 215N, 1133E,  15,   1026, DB,
WP,16,2030081706,    , INVEST,   0, 205N, 1133E,  15,   1026, DB,
WP,16,2030081712,    , INVEST,   0, 203N, 1133E,  15,   , DB,
WP,16,2030081718,    , INVEST,   0, 195N, 1136E,  15,   , DB,Louts
