WP,17,2030081106,    , INVEST,   0, 176N, 1438E,  15,   1005, DB,
WP,17,2030081112,    , INVEST,   0, 182N, 1439E,  15,   1013, DB,
WP,17,2030081118,    , INVEST,   0, 190N, 1434E,  15,   1013, DB,
WP,17,2030081200,    , INVEST,   0, 197N, 1435E,  20,   1013, DB,
WP,17,2030081206,    , INVEST,   0, 204N, 1437E,  20,   1013, DB,
WP,17,2030081212,    , INVEST,   0, 213N, 1440E,  20,   1012, DB,
WP,17,2030081218,    , INVEST,   0, 222N, 1440E,  20,   1012, DB,
WP,17,2030081300,    , INVEST,   0, 231N, 1443E,  25,   1012, DB,
WP,17,2030081306,    , INVEST,   0, 238N, 1443E,  25,   1011, DB,
WP,17,2030081312,    , INVEST,   0, 243N, 1443E,  25,   1011, DB,
WP,17,2030081318,    , INVEST,   0, 247N, 1442E,  30,   1010, TD,
WP,17,2030081400,    , INVEST,   0, 256N, 1442E,  35,   1009, TS,
WP,17,2030081406,    , INVEST,   0, 265N, 1442E,  45,   1008, TS,
WP,17,2030081412,    , INVEST,   0, 275N, 1445E,  60,   1007, TS,
WP,17,2030081418,    , INVEST,   0, 287N, 1445E,  80,   1006, TY,
WP,17,2030081500,    , INVEST,   0, 298N, 1448E,  90,   1006, TY,
WP,17,2030081506,    , INVEST,   0, 309N, 1452E,  105,   1005, TY,
WP,17,2030081512,    , INVEST,   0, 320N, 1455E,  105,   1004, TY,
WP,17,2030081518,    , INVEST,   0, 329N, 1460E,  100,   1003, TY,
WP,17,2030081600,    , INVEST,   0, 340N, 1471E,  90,   1002, TY,
WP,17,2030081606,    , INVEST,   0, 349N, 1483E,  75,   1002, TY,
WP,17,2030081612,    , INVEST,   0, 356N, 1502E,  60,   1001, TS,
WP,17,2030081618,    , INVEST,   0, 360N, 1516E,  45,   1000, TS,Danxia
