WP,18,2030081800,    , INVEST,   0, 227N, 1273E,  15,   1005, DB,
WP,18,2030081806,    , INVEST,   0, 222N, 1273E,  15,   1013, DB,
WP,18,2030081812,    , INVEST,   0, 223N, 1270E,  15,   1013, DB,
WP,18,2030081818,    , INVEST,   0, 226N, 1266E,  15,   1013, DB,
WP,18,2030081900,    , INVEST,   0, 224N, 1262E,  15,   1013, DB,
WP,18,2030081906,    , INVEST,   0, 224N, 1257E,  15,   1012, DB,
WP,18,2030081912,    , INVEST,   0, 230N, 1254E,  15,   1012, DB,
WP,18,2030081918,    , INVEST,   0, 234N, 1257E,  15,   1012, DB,
WP,18,2030082000,    , INVEST,   0, 234N, 1261E,  15,   1011, DB,
WP,18,2030082006,    , INVEST,   0, 238N, 1261E,  20,   1011, DB,
WP,18,2030082012,    , INVEST,   0, 244N, 1261E,  20,   1010, DB,
WP,18,2030082018,    , INVEST,   0, 253N, 1261E,  20,   1009, DB,
WP,18,2030082100,    , INVEST,   0, 258N, 1260E,  25,   1008, DB,
WP,18,2030082106,    , INVEST,   0, 265N, 1257E,  30,   1007, TD,
WP,18,2030082112,    , INVEST,   0, 272N, 1257E,  30,   1006, TD,
WP,18,2030082118,    , INVEST,   0, 279N, 1253E,  35,   1006, TS,
WP,18,2030082200,    , INVEST,   0, 284N, 1253E,  35,   1005, TS,
WP,18,2030082206,    , INVEST,   0, 288N, 1248E,  40,   1004, TS,
WP,18,2030082212,    , INVEST,   0, 291N, 1247E,  45,   1003, TS,
WP,18,2030082218,    , INVEST,   0, 298N, 1242E,  50,   1002, TS,
WP,18,2030082300,    , INVEST,   0, 300N, 1239E,  55,   1002, TS,
WP,18,2030082306,    , INVEST,   0, 303N, 1238E,  55,   1001, TS,
WP,18,2030082312,    , INVEST,   0, 306N, 1241E,  50,   1000, TS,
WP,18,2030082318,    , INVEST,   0, 312N, 1245E,  50,   1000, TS,
WP,18,2030082400,    , INVEST,   0, 316N, 1251E,  55,   1000, TS,
WP,18,2030082406,    , INVEST,   0, 321N, 1253E,  65,   999, TY,
WP,18,2030082412,    , INVEST,   0, 328N, 1257E,  65,   1000, TY,
WP,18,2030082418,    , INVEST,   0, 328N, 1261E,  60,   1002, TS,
WP,18,2030082500,    , INVEST,   0, 333N, 1264E,  50,   1005, TS,
WP,18,2030082506,    , INVEST,   0, 337N, 1271E,  45,   1013, TS,
WP,18,2030082512,    , INVEST,   0, 338N, 1284E,  35,   1013, TS,Reoy
