WP,19,2030081918,    , INVEST,   0, 104N, 1421E,  20,   1005, DB,
WP,19,2030082000,    , INVEST,   0, 108N, 1416E,  20,   1013, DB,
WP,19,2030082006,    , INVEST,   0, 110N, 1410E,  20,   1013, DB,
WP,19,2030082012,    , INVEST,   0, 110N, 1403E,  25,   1013, DB,
WP,19,2030082018,    , INVEST,   0, 112N, 1399E,  25,   1013, DB,
WP,19,2030082100,    , INVEST,   0, 115N, 1393E,  30,   1012, TD,
WP,19,2030082106,    , INVEST,   0, 118N, 1386E,  35,   1012, TS,
WP,19,2030082112,    , INVEST,   0, 122N, 1380E,  35,   1012, TS,
WP,19,2030082118,    , INVEST,   0, 123N, 1373E,  40,   1011, TS,
WP,19,2030082200,    , INVEST,   0, 124N, 1362E,  45,   1011, TS,
WP,19,2030082206,    , INVEST,   0, 124N, 1352E,  55,   1010, TS,
WP,19,2030082212,    , INVEST,   0, 125N, 1340E,  70,   1009, TY,
WP,19,2030082218,    , INVEST,   0, 131N, 1327E,  90,   1008, TY,
WP,19,2030082300,    , INVEST,   0, 137N, 1317E,  115,   1007, TY,
WP,19,2030082306,    , INVEST,   0, 144N, 1311E,  125,   1006, TY,
WP,19,2030082312,    , INVEST,   0, 154N, 1305E,  120,   1006, TY,
WP,19,2030082318,    , INVEST,   0, 163N, 1305E,  135,   1005, TY,
WP,19,2030082400,    , INVEST,   0, 174N, 1310E,  145,   1004, TY,
WP,19,2030082406,    , INVEST,   0, 184N, 1316E,  130,   1003, TY,
WP,19,2030082412,    , INVEST,   0, 192N, 1321E,  120,   1002, TY,
WP,19,2030082418,    , INVEST,   0, 198N, 1327E,  110,   1002, TY,
WP,19,2030082500,    , INVEST,   0, 203N, 1337E,  105,   1001, TY,
WP,19,2030082506,    , INVEST,   0, 205N, 1346E,  105,   1000, TY,
WP,19,2030082512,    , INVEST,   0, 210N, 1355E,  100,   1000, TY,
WP,19,2030082518,    , INVEST,   0, 211N, 1361E,  100,   1000, TY,
WP,19,2030082600,    , INVEST,   0, 211N, 1368E,  95,   999, TY,
WP,19,2030082606,    , INVEST,   0, 211N, 1372E,  95,   1000, TY,
WP,19,2030082612,    , INVEST,   0, 214N, 1379E,  100,   1002, TY,
WP,19,2030082618,    , INVEST,   0, 221N, 1385E,  110,   1005, TY,
WP,19,2030082700,    , INVEST,   0, 233N, 1389E,  125,   1013, TY,
WP,19,2030082706,    , INVEST,   0, 243N, 1390E,  140,   1013, TY,
WP,19,2030082712,    , INVEST,   0, 254N, 1391E,  140,   1013, TY,
WP,19,2030082718,    , INVEST,   0, 264N, 1393E,  135,   1013, TY,
WP,19,2030082800,    , INVEST,   0, 277N, 1393E,  130,   1013, TY,
WP,19,2030082806,    , INVEST,   0, 290N, 1395E,  125,   1026, TY,
WP,19,2030082812,    , INVEST,   0, 303N, 1402E,  110,   1026, TY,
WP,19,2030082818,    , INVEST,   0, 314N, 1408E,  90,   1026, TY,
WP,19,2030082900,    , INVEST,   0, 325N, 1413E,  80,   1026, TY,
WP,19,2030082906,    , INVEST,   0, 328N, 1422E,  70,   1026, TY,
WP,19,2030082912,    , INVEST,   0, 335N, 1429E,  60,   1026, TS,
WP,19,2030082918,    , INVEST,   0, 336N, 1435E,  60,   , TS,
WP,19,2030083000,    , INVEST,   0, 344N, 1441E,  65,   , TY,
WP,19,2030083006,    , INVEST,   0, 352N, 1448E,  75,   , TY,
WP,19,2030083012,    , INVEST,   0, 358N, 1457E,  95,   , TY,
WP,19,2030083018,    , INVEST,   0, 364N, 1464E,  110,   , TY,
WP,19,2030083100,    , INVEST,   0, 370N, 1474E,  100,   , TY,
WP,19,2030083106,    , INVEST,   0, 380N, 1485E,  80,   , TY,
WP,19,2030083112,    , INVEST,   0, 389N, 1508E,  60,   , TS,Rol
