WP,20,2030082200,    , INVEST,   0, 139N, 1162E,  15,   1005, MD,
WP,20,2030082206,    , INVEST,   0, 145N, 1160E,  15,   1013, MD,
WP,20,2030082212,    , INVEST,   0, 154N, 1159E,  15,   1013, MD,
WP,20,2030082218,    , INVEST,   0, 159N, 1158E,  15,   1013, MD,
WP,20,2030082300,    , INVEST,   0, 165N, 1155E,  15,   1013, MD,
WP,20,2030082306,    , INVEST,   0, 173N, 1152E,  15,   1012, MD,
WP,20,2030082312,    , INVEST,   0, 177N, 1148E,  15,   1012, MD,
WP,20,2030082318,    , INVEST,   0, 185N, 1137E,  30,   1012, TD,
WP,20,2030082400,    , INVEST,   0, 194N, 1124E,  35,   1011, TS,
WP,20,2030082406,    , INVEST,   0, 203N, 1114E,  40,   1011, TS,
WP,20,2030082412,    , INVEST,   0, 216N, 1103E,  30,   1010, TD,
WP,20,2030082418,    , INVEST,   0, 229N, 1101E,  20,   1009, DB,
WP,20,2030082500,    , INVEST,   0, 239N, 1099E,  15,   1008, DB,
WP,20,2030082506,    , INVEST,   0, 251N, 1099E,  15,   1007, DB,Sinan
