WP,22,2030090606,    , INVEST,   0, 160N, 1260E,  15,   1005, DB,
WP,22,2030090612,    , INVEST,   0, 175N, 1262E,  20,   1013, DB,
WP,22,2030090618,    , INVEST,   0, 191N, 1266E,  25,   1013, DB,
WP,22,2030090700,    , INVEST,   0, 212N, 1264E,  25,   1013, DB,
WP,22,2030090706,    , INVEST,   0, 226N, 1271E,  30,   1013, TD,
WP,22,2030090712,    , INVEST,   0, 241N, 1281E,  30,   1012, TD,
WP,22,2030090718,    , INVEST,   0, 254N, 1287E,  30,   1012, TD,
WP,22,2030090800,    , INVEST,   0, 265N, 1298E,  35,   1012, TS,
WP,22,2030090806,    , INVEST,   0, 277N, 1307E,  35,   1011, TS,
WP,22,2030090812,    , INVEST,   0, 289N, 1310E,  40,   1011, TS,
WP,22,2030090818,    , INVEST,   0, 297N, 1316E,  50,   1010, TS,
WP,22,2030090900,    , INVEST,   0, 307N, 1320E,  75,   1009, TY,
WP,22,2030090906,    , INVEST,   0, 320N, 1327E,  100,   1008, TY,
WP,22,2030090912,    , INVEST,   0, 332N, 1338E,  90,   1007, TY,
WP,22,2030090918,    , INVEST,   0, 347N, 1356E,  60,   1006, TS,
WP,22,2030091000,    , INVEST,   0, 372N, 1361E,  40,   1006, TS,
WP,22,2030091006,    , INVEST,   0, 399N, 1367E,  35,   1005, TS,
WP,22,2030091012,    , INVEST,   0, 425N, 1371E,  35,   1004, TS,Tuanzi
