WP,23,2030091700,    , INVEST,   0, 89N, 1402E,  15,   1005, DB,
WP,23,2030091706,    , INVEST,   0, 91N, 1400E,  15,   1013, DB,
WP,23,2030091712,    , INVEST,   0, 91N, 1394E,  20,   1013, DB,
WP,23,2030091718,    , INVEST,   0, 91N, 1389E,  20,   1013, DB,
WP,23,2030091800,    , INVEST,   0, 93N, 1382E,  20,   1013, DB,
WP,23,2030091806,    , INVEST,   0, 96N, 1373E,  15,   1012, DB,
WP,23,2030091812,    , INVEST,   0, 98N, 1363E,  20,   1012, DB,
WP,23,2030091818,    , INVEST,   0, 100N, 1354E,  20,   1012, DB,
WP,23,2030091900,    , INVEST,   0, 103N, 1343E,  25,   1011, DB,
WP,23,2030091906,    , INVEST,   0, 103N, 1337E,  25,   1011, DB,
WP,23,2030091912,    , INVEST,   0, 106N, 1325E,  30,   1010, TD,
WP,23,2030091918,    , INVEST,   0, 108N, 1314E,  30,   1009, TD,
WP,23,2030092000,    , INVEST,   0, 107N, 1309E,  30,   1008, TD,
WP,23,2030092006,    , INVEST,   0, 113N, 1301E,  35,   1007, TS,
WP,23,2030092012,    , INVEST,   0, 119N, 1296E,  35,   1006, TS,
WP,23,2030092018,    , INVEST,   0, 125N, 1295E,  40,   1006, TS,
WP,23,2030092100,    , INVEST,   0, 132N, 1295E,  40,   1005, TS,
WP,23,2030092106,    , INVEST,   0, 140N, 1298E,  45,   1004, TS,
WP,23,2030092112,    , INVEST,   0, 145N, 1300E,  50,   1003, TS,
WP,23,2030092118,    , INVEST,   0, 148N, 1306E,  50,   1002, TS,
WP,23,2030092200,    , INVEST,   0, 154N, 1309E,  55,   1002, TS,
WP,23,2030092206,    , INVEST,   0, 154N, 1307E,  55,   1001, TS,
WP,23,2030092212,    , INVEST,   0, 154N, 1299E,  60,   1000, TS,
WP,23,2030092218,    , INVEST,   0, 157N, 1291E,  65,   1000, TY,
WP,23,2030092300,    , INVEST,   0, 158N, 1277E,  70,   1000, TY,
WP,23,2030092306,    , INVEST,   0, 158N, 1264E,  70,   999, TY,
WP,23,2030092312,    , INVEST,   0, 156N, 1253E,  120,   1000, TY,
WP,23,2030092318,    , INVEST,   0, 160N, 1239E,  155,   1002, TY,
WP,23,2030092400,    , INVEST,   0, 159N, 1225E,  150,   1005, TY,
WP,23,2030092406,    , INVEST,   0, 159N, 1212E,  85,   1013, TY,
WP,23,2030092412,    , INVEST,   0, 166N, 1201E,  60,   1013, TS,
WP,23,2030092418,    , INVEST,   0, 170N, 1189E,  55,   1013, TS,
WP,23,2030092500,    , INVEST,   0, 174N, 1182E,  55,   1013, TS,
WP,23,2030092506,    , INVEST,   0, 183N, 1176E,  60,   1013, TS,
WP,23,2030092512,    , INVEST,   0, 188N, 1174E,  60,   1026, TS,
WP,23,2030092518,    , INVEST,   0, 196N, 1173E,  70,   1026, TY,
WP,23,2030092600,    , INVEST,   0, 204N, 1177E,  80,   1026, TY,
WP,23,2030092606,    , INVEST,   0, 213N, 1185E,  90,   1026, TY,
WP,23,2030092612,    , INVEST,   0, 222N, 1191E,  85,   1026, TY,
WP,23,2030092618,    , INVEST,   0, 231N, 1198E,  75,   1026, TY,
WP,23,2030092700,    , INVEST,   0, 239N, 1206E,  45,   , TS,
WP,23,2030092706,    , INVEST,   0, 240N, 1208E,  35,   , TS,
WP,23,2030092712,    , INVEST,   0, 239N, 1212E,  30,   , TD,
WP,23,2030092718,    , INVEST,   0, 235N, 1212E,  15,   , DB,
WP,23,2030092800,    , INVEST,   0, 234N, 1211E,  15,   , DB,Longan
