WP,25,2030092318,    , INVEST,   0, 91N, 1323E,  20,   1005, DB,
WP,25,2030092400,    , INVEST,   0, 93N, 1320E,  20,   1013, DB,
WP,25,2030092406,    , INVEST,   0, 97N, 1313E,  25,   1013, DB,
WP,25,2030092412,    , INVEST,   0, 100N, 1307E,  25,   1013, DB,
WP,25,2030092418,    , INVEST,   0, 105N, 1304E,  30,   1013, TD,
WP,25,2030092500,    , INVEST,   0, 110N, 1295E,  35,   1012, TS,
WP,25,2030092506,    , INVEST,   0, 120N, 1293E,  40,   1012, TS,
WP,25,2030092512,    , INVEST,   0, 133N, 1284E,  55,   1012, TS,
WP,25,2030092518,    , INVEST,   0, 140N, 1276E,  65,   1011, TY,
WP,25,2030092600,    , INVEST,   0, 143N, 1268E,  70,   1011, TY,
WP,25,2030092606,    , INVEST,   0, 146N, 1258E,  70,   1010, TY,
WP,25,2030092612,    , INVEST,   0, 148N, 1247E,  75,   1009, TY,
WP,25,2030092618,    , INVEST,   0, 151N, 1233E,  85,   1008, TY,
WP,25,2030092700,    , INVEST,   0, 152N, 1220E,  95,   1007, TY,
WP,25,2030092706,    , INVEST,   0, 152N, 1207E,  70,   1006, TY,
WP,25,2030092712,    , INVEST,   0, 148N, 1196E,  40,   1006, TS,
WP,25,2030092718,    , INVEST,   0, 143N, 1187E,  35,   1005, TS,
WP,25,2030092800,    , INVEST,   0, 143N, 1181E,  35,   1004, TS,
WP,25,2030092806,    , INVEST,   0, 139N, 1173E,  40,   1003, TS,
WP,25,2030092812,    , INVEST,   0, 139N, 1166E,  40,   1002, TS,
WP,25,2030092818,    , INVEST,   0, 139N, 1160E,  40,   1002, TS,
WP,25,2030092900,    , INVEST,   0, 139N, 1152E,  35,   1001, TS,
WP,25,2030092906,    , INVEST,   0, 140N, 1145E,  30,   1000, TD,
WP,25,2030092912,    , INVEST,   0, 137N, 1140E,  30,   1000, TD,
WP,25,2030092918,    , INVEST,   0, 131N, 1135E,  25,   1000, DB,
WP,25,2030093000,    , INVEST,   0, 125N, 1133E,  20,   999, DB,
WP,25,2030093006,    , INVEST,   0, 116N, 1129E,  15,   1000, DB,
WP,25,2030093012,    , INVEST,   0, 107N, 1125E,  15,   1002, DB,Hiti
