WP,26,2030092912,    , INVEST,   0, 80N, 1670E,  15,   1005, DB,
WP,26,2030092918,    , INVEST,   0, 86N, 1670E,  15,   1013, DB,
WP,26,2030093000,    , INVEST,   0, 89N, 1669E,  15,   1013, DB,
WP,26,2030093006,    , INVEST,   0, 96N, 1665E,  20,   1013, DB,
WP,26,2030093012,    , INVEST,   0, 102N, 1666E,  20,   1013, DB,
WP,26,2030093018,    , INVEST,   0, 107N, 1664E,  20,   1012, DB,
WP,26,2030100100,    , INVEST,   0, 114N, 1664E,  25,   1012, DB,
WP,26,2030100106,    , INVEST,   0, 119N, 1662E,  30,   1012, TD,
WP,26,2030100112,    , INVEST,   0, 120N, 1659E,  30,   1011, TD,
WP,26,2030100118,    , INVEST,   0, 121N, 1650E,  35,   1011, TS,
WP,26,2030100200,    , INVEST,   0, 122N, 1642E,  40,   1010, TS,
WP,26,2030100206,    , INVEST,   0, 124N, 1633E,  50,   1009, TS,
WP,26,2030100212,    , INVEST,   0, 125N, 1624E,  60,   1008, TS,
WP,26,2030100218,    , INVEST,   0, 127N, 1617E,  75,   1007, TY,
WP,26,2030100300,    , INVEST,   0, 127N, 1608E,  100,   1006, TY,
WP,26,2030100306,    , INVEST,   0, 129N, 1596E,  140,   1006, TY,
WP,26,2030100312,    , INVEST,   0, 132N, 1582E,  160,   1005, TY,
WP,26,2030100318,    , INVEST,   0, 133N, 1572E,  175,   1004, TY,
WP,26,2030100400,    , INVEST,   0, 135N, 1562E,  180,   1003, TY,
WP,26,2030100406,    , INVEST,   0, 135N, 1549E,  170,   1002, TY,
WP,26,2030100412,    , INVEST,   0, 135N, 1540E,  165,   1002, TY,
WP,26,2030100418,    , INVEST,   0, 133N, 1531E,  180,   1001, TY,
WP,26,2030100500,    , INVEST,   0, 131N, 1521E,  190,   1000, TY,
WP,26,2030100506,    , INVEST,   0, 129N, 1508E,  185,   1000, TY,
WP,26,2030100512,    , INVEST,   0, 128N, 1493E,  170,   1000, TY,
WP,26,2030100518,    , INVEST,   0, 125N, 1478E,  160,   999, TY,
WP,26,2030100600,    , INVEST,   0, 126N, 1463E,  150,   1000, TY,
WP,26,2030100606,    , INVEST,   0, 125N, 1450E,  145,   1002, TY,
WP,26,2030100612,    , INVEST,   0, 125N, 1438E,  145,   1005, TY,
WP,26,2030100618,    , INVEST,   0, 125N, 1423E,  140,   1013, TY,
WP,26,2030100700,    , INVEST,   0, 128N, 1406E,  150,   1013, TY,
WP,26,2030100706,    , INVEST,   0, 133N, 1387E,  160,   1013, TY,
WP,26,2030100712,    , INVEST,   0, 136N, 1369E,  175,   1013, TY,
WP,26,2030100718,    , INVEST,   0, 137N, 1350E,  190,   1013, TY,
WP,26,2030100800,    , INVEST,   0, 137N, 1333E,  185,   1026, TY,
WP,26,2030100806,    , INVEST,   0, 140N, 1311E,  175,   1026, TY,
WP,26,2030100812,    , INVEST,   0, 144N, 1292E,  155,   1026, TY,
WP,26,2030100818,    , INVEST,   0, 146N, 1274E,  155,   1026, TY,
WP,26,2030100900,    , INVEST,   0, 149N, 1254E,  150,   1026, TY,
WP,26,2030100906,    , INVEST,   0, 151N, 1236E,  150,   1026, TY,
WP,26,2030100912,    , INVEST,   0, 153N, 1220E,  160,   , TY,
WP,26,2030100918,    , INVEST,   0, 156N, 1204E,  130,   , TY,
WP,26,2030101000,    , INVEST,   0, 159N, 1188E,  80,   , TY,
WP,26,2030101006,    , INVEST,   0, 160N, 1174E,  75,   , TY,
WP,26,2030101012,    , INVEST,   0, 160N, 1158E,  75,   , TY,
WP,26,2030101018,    , INVEST,   0, 156N, 1144E,  85,   , TY,
WP,26,2030101100,    , INVEST,   0, 151N, 1122E,  80,   , TY,
WP,26,2030101106,    , INVEST,   0, 147N, 1107E,  80,   , TY,
WP,26,2030101112,    , INVEST,   0, 146N, 1094E,  75,   , TY,
WP,26,2030101118,    , INVEST,   0, 143N, 1082E,  55,   , TS,
WP,26,2030101200,    , INVEST,   0, 143N, 1067E,  40,   , TS,
WP,26,2030101206,    , INVEST,   0, 143N, 1050E,  35,   , TS,
WP,26,2030101212,    , INVEST,   0, 153N, 1033E,  25,   , DB,
WP,26,2030101218,    , INVEST,   0, 154N, 1023E,  15,   , DB,
WP,26,2030101300,    , INVEST,   0, 158N, 1005E,  15,   , DB,Lode
