WP,27,2030100300,    , INVEST,   0, 203N, 1342E,  20,   1005, DB,
WP,27,2030100306,    , INVEST,   0, 201N, 1337E,  20,   1013, DB,
WP,27,2030100312,    , INVEST,   0, 201N, 1328E,  25,   1013, DB,
WP,27,2030100318,    , INVEST,   0, 203N, 1321E,  30,   1013, TD,
WP,27,2030100400,    , INVEST,   0, 204N, 1311E,  40,   1013, TS,
WP,27,2030100406,    , INVEST,   0, 205N, 1301E,  50,   1012, TS,
WP,27,2030100412,    , INVEST,   0, 205N, 1293E,  60,   1012, TS,
WP,27,2030100418,    , INVEST,   0, 207N, 1287E,  60,   1012, TS,
WP,27,2030100500,    , INVEST,   0, 207N, 1282E,  60,   1011, TS,
WP,27,2030100506,    , INVEST,   0, 206N, 1275E,  65,   1011, TY,
WP,27,2030100512,    , INVEST,   0, 207N, 1268E,  65,   1010, TY,
WP,27,2030100518,    , INVEST,   0, 207N, 1260E,  70,   1009, TY,
WP,27,2030100600,    , INVEST,   0, 208N, 1254E,  70,   1008, TY,
WP,27,2030100606,    , INVEST,   0, 208N, 1246E,  75,   1007, TY,
WP,27,2030100612,    , INVEST,   0, 207N, 1241E,  80,   1006, TY,
WP,27,2030100618,    , INVEST,   0, 207N, 1238E,  85,   1006, TY,
WP,27,2030100700,    , INVEST,   0, 213N, 1235E,  95,   1005, TY,
WP,27,2030100706,    , INVEST,   0, 220N, 1227E,  110,   1004, TY,
WP,27,2030100712,    , INVEST,   0, 220N, 1220E,  125,   1003, TY,
WP,27,2030100718,    , INVEST,   0, 217N, 1216E,  130,   1002, TY,
WP,27,2030100800,    , INVEST,   0, 223N, 1212E,  120,   1002, TY,
WP,27,2030100806,    , INVEST,   0, 223N, 1203E,  85,   1001, TY,
WP,27,2030100812,    , INVEST,   0, 222N, 1192E,  60,   1000, TS,
WP,27,2030100818,    , INVEST,   0, 229N, 1185E,  55,   1000, TS,
WP,27,2030100900,    , INVEST,   0, 237N, 1182E,  55,   1000, TS,
WP,27,2030100906,    , INVEST,   0, 251N, 1176E,  40,   999, TS,
WP,27,2030100912,    , INVEST,   0, 260N, 1170E,  30,   1000, TD,
WP,27,2030100918,    , INVEST,   0, 266N, 1162E,  15,   1002, DB,
WP,27,2030101000,    , INVEST,   0, 278N, 1162E,  15,   1005, DB,Ganol
