WP,28,2030100306,    , INVEST,   0, 73N, 1672E,  15,   1005, DB,
WP,28,2030100312,    , INVEST,   0, 80N, 1665E,  20,   1013, DB,
WP,28,2030100318,    , INVEST,   0, 87N, 1659E,  20,   1013, DB,
WP,28,2030100400,    , INVEST,   0, 92N, 1651E,  20,   1013, DB,
WP,28,2030100406,    , INVEST,   0, 96N, 1642E,  20,   1013, DB,
WP,28,2030100412,    , INVEST,   0, 98N, 1635E,  25,   1012, DB,
WP,28,2030100418,    , INVEST,   0, 98N, 1629E,  25,   1012, DB,
WP,28,2030100500,    , INVEST,   0, 100N, 1623E,  30,   1012, TD,
WP,28,2030100506,    , INVEST,   0, 105N, 1616E,  30,   1011, TD,
WP,28,2030100512,    , INVEST,   0, 114N, 1609E,  35,   1011, TS,
WP,28,2030100518,    , INVEST,   0, 121N, 1599E,  45,   1010, TS,
WP,28,2030100600,    , INVEST,   0, 125N, 1590E,  60,   1009, TS,
WP,28,2030100606,    , INVEST,   0, 128N, 1579E,  60,   1008, TS,
WP,28,2030100612,    , INVEST,   0, 133N, 1572E,  75,   1007, TY,
WP,28,2030100618,    , INVEST,   0, 143N, 1559E,  85,   1006, TY,
WP,28,2030100700,    , INVEST,   0, 151N, 1552E,  100,   1006, TY,
WP,28,2030100706,    , INVEST,   0, 158N, 1550E,  110,   1005, TY,
WP,28,2030100712,    , INVEST,   0, 165N, 1550E,  130,   1004, TY,
WP,28,2030100718,    , INVEST,   0, 173N, 1549E,  145,   1003, TY,
WP,28,2030100800,    , INVEST,   0, 183N, 1548E,  150,   1002, TY,
WP,28,2030100806,    , INVEST,   0, 193N, 1547E,  140,   1002, TY,
WP,28,2030100812,    , INVEST,   0, 199N, 1545E,  120,   1001, TY,
WP,28,2030100818,    , INVEST,   0, 207N, 1538E,  105,   1000, TY,
WP,28,2030100900,    , INVEST,   0, 217N, 1535E,  120,   1000, TY,
WP,28,2030100906,    , INVEST,   0, 226N, 1535E,  125,   1000, TY,
WP,28,2030100912,    , INVEST,   0, 235N, 1537E,  125,   999, TY,
WP,28,2030100918,    , INVEST,   0, 242N, 1536E,  115,   1000, TY,
WP,28,2030101000,    , INVEST,   0, 250N, 1537E,  95,   1002, TY,
WP,28,2030101006,    , INVEST,   0, 259N, 1539E,  90,   1005, TY,
WP,28,2030101012,    , INVEST,   0, 272N, 1543E,  80,   1013, TY,
WP,28,2030101018,    , INVEST,   0, 283N, 1547E,  80,   1013, TY,
WP,28,2030101100,    , INVEST,   0, 292N, 1548E,  75,   1013, TY,
WP,28,2030101106,    , INVEST,   0, 302N, 1552E,  85,   1013, TY,
WP,28,2030101112,    , INVEST,   0, 314N, 1555E,  90,   1013, TY,
WP,28,2030101118,    , INVEST,   0, 323N, 1564E,  70,   1026, TY,
WP,28,2030101200,    , INVEST,   0, 333N, 1586E,  45,   1026, TS,Hata
