WP,29,2030101800,    , INVEST,   0, 54N, 1062E,  20,   1005, DB,
WP,29,2030101806,    , INVEST,   0, 58N, 1062E,  20,   1013, DB,
WP,29,2030101812,    , INVEST,   0, 61N, 1058E,  20,   1013, DB,
WP,29,2030101818,    , INVEST,   0, 62N, 1054E,  20,   1013, DB,
WP,29,2030101900,    , INVEST,   0, 63N, 1051E,  15,   1013, DB,
WP,29,2030101906,    , INVEST,   0, 67N, 1048E,  15,   1012, DB,
WP,29,2030101912,    , INVEST,   0, 70N, 1045E,  20,   1012, DB,
WP,29,2030101918,    , INVEST,   0, 76N, 1039E,  25,   1012, DB,
WP,29,2030102000,    , INVEST,   0, 78N, 1033E,  30,   1011, TD,
WP,29,2030102006,    , INVEST,   0, 77N, 1029E,  35,   1011, TS,
WP,29,2030102012,    , INVEST,   0, 81N, 1029E,  45,   1010, TS,
WP,29,2030102018,    , INVEST,   0, 92N, 1026E,  65,   1009, TY,
WP,29,2030102100,    , INVEST,   0, 104N, 1023E,  90,   1008, TY,
WP,29,2030102106,    , INVEST,   0, 116N, 1021E,  115,   1007, TY,
WP,29,2030102112,    , INVEST,   0, 129N, 1022E,  70,   1006, TY,
WP,29,2030102118,    , INVEST,   0, 143N, 1024E,  45,   1006, TS,
WP,29,2030102200,    , INVEST,   0, 157N, 1027E,  35,   1005, TS,
WP,29,2030102206,    , INVEST,   0, 170N, 1026E,  20,   1004, DB,
WP,29,2030102212,    , INVEST,   0, 181N, 1026E,  15,   1003, DB,
WP,29,2030102218,    , INVEST,   0, 193N, 1026E,  15,   1002, DB,
WP,29,2030102300,    , INVEST,   0, 204N, 1026E,  15,   1002, DB,Kongyan
