WP,31,2030110612,    , INVEST,   0, 84N, 1555E,  20,   1005, DB,
WP,31,2030110618,    , INVEST,   0, 84N, 1550E,  20,   1013, DB,
WP,31,2030110700,    , INVEST,   0, 84N, 1547E,  20,   1013, DB,
WP,31,2030110706,    , INVEST,   0, 83N, 1543E,  20,   1013, DB,
WP,31,2030110712,    , INVEST,   0, 84N, 1537E,  20,   1013, DB,
WP,31,2030110718,    , INVEST,   0, 85N, 1531E,  25,   1012, DB,
WP,31,2030110800,    , INVEST,   0, 84N, 1526E,  25,   1012, DB,
WP,31,2030110806,    , INVEST,   0, 82N, 1522E,  30,   1012, TD,
WP,31,2030110812,    , INVEST,   0, 82N, 1516E,  30,   1011, TD,
WP,31,2030110818,    , INVEST,   0, 82N, 1509E,  30,   1011, TD,
WP,31,2030110900,    , INVEST,   0, 82N, 1505E,  35,   1010, TS,
WP,31,2030110906,    , INVEST,   0, 87N, 1502E,  45,   1009, TS,
WP,31,2030110912,    , INVEST,   0, 94N, 1498E,  55,   1008, TS,
WP,31,2030110918,    , INVEST,   0, 100N, 1498E,  65,   1007, TY,
WP,31,2030111000,    , INVEST,   0, 110N, 1494E,  75,   1006, TY,
WP,31,2030111006,    , INVEST,   0, 116N, 1487E,  85,   1006, TY,
WP,31,2030111012,    , INVEST,   0, 120N, 1478E,  90,   1005, TY,
WP,31,2030111018,    , INVEST,   0, 124N, 1471E,  105,   1004, TY,
WP,31,2030111100,    , INVEST,   0, 125N, 1463E,  120,   1003, TY,
WP,31,2030111106,    , INVEST,   0, 128N, 1457E,  145,   1002, TY,
WP,31,2030111112,    , INVEST,   0, 131N, 1448E,  165,   1002, TY,
WP,31,2030111118,    , INVEST,   0, 132N, 1438E,  160,   1001, TY,
WP,31,2030111200,    , INVEST,   0, 133N, 1428E,  155,   1000, TY,
WP,31,2030111206,    , INVEST,   0, 135N, 1414E,  145,   1000, TY,
WP,31,2030111212,    , INVEST,   0, 136N, 1402E,  135,   1000, TY,
WP,31,2030111218,    , INVEST,   0, 137N, 1387E,  125,   999, TY,
WP,31,2030111300,    , INVEST,   0, 137N, 1371E,  145,   1000, TY,
WP,31,2030111306,    , INVEST,   0, 139N, 1354E,  155,   1002, TY,
WP,31,2030111312,    , INVEST,   0, 142N, 1335E,  150,   1005, TY,
WP,31,2030111318,    , INVEST,   0, 151N, 1320E,  130,   1013, TY,
WP,31,2030111400,    , INVEST,   0, 160N, 1302E,  115,   1013, TY,
WP,31,2030111406,    , INVEST,   0, 170N, 1286E,  105,   1013, TY,
WP,31,2030111412,    , INVEST,   0, 178N, 1273E,  100,   1013, TY,
WP,31,2030111418,    , INVEST,   0, 186N, 1258E,  110,   1013, TY,
WP,31,2030111500,    , INVEST,   0, 196N, 1243E,  125,   1026, TY,
WP,31,2030111506,    , INVEST,   0, 207N, 1231E,  140,   1026, TY,
WP,31,2030111512,    , INVEST,   0, 217N, 1223E,  140,   1026, TY,
WP,31,2030111518,    , INVEST,   0, 229N, 1217E,  125,   1026, TY,
WP,31,2030111600,    , INVEST,   0, 244N, 1213E,  65,   1026, TY,
WP,31,2030111606,    , INVEST,   0, 258N, 1226E,  55,   1026, TS,
WP,31,2030111612,    , INVEST,   0, 263N, 1243E,  15,   , EX,
WP,31,2030111618,    , INVEST,   0, 258N, 1266E,  15,   , EX,
WP,31,2030111700,    , INVEST,   0, 254N, 1289E,  15,   , EX,
WP,31,2030111706,    , INVEST,   0, 254N, 1314E,  15,   , EX,
WP,31,2030111712,    , INVEST,   0, 257N, 1336E,  40,   , TS,
WP,31,2030111718,    , INVEST,   0, 264N, 1360E,  45,   , TS,
WP,31,2030111800,    , INVEST,   0, 272N, 1386E,  45,   , TS,Hinaka
