WP,32,2030111012,    , INVEST,   0, 97N, 1393E,  15,   1005, DB,
WP,32,2030111018,    , INVEST,   0, 96N, 1389E,  15,   1013, DB,
WP,32,2030111100,    , INVEST,   0, 96N, 1381E,  20,   1013, DB,
WP,32,2030111106,    , INVEST,   0, 96N, 1370E,  20,   1013, DB,
WP,32,2030111112,    , INVEST,   0, 96N, 1358E,  20,   1013, DB,
WP,32,2030111118,    , INVEST,   0, 99N, 1346E,  25,   1012, DB,
WP,32,2030111200,    , INVEST,   0, 99N, 1335E,  30,   1012, TD,
WP,32,2030111206,    , INVEST,   0, 101N, 1322E,  35,   1012, TS,
WP,32,2030111212,    , INVEST,   0, 106N, 1310E,  45,   1011, TS,
WP,32,2030111218,    , INVEST,   0, 109N, 1298E,  65,   1011, TY,
WP,32,2030111300,    , INVEST,   0, 114N, 1284E,  90,   1010, TY,
WP,32,2030111306,    , INVEST,   0, 117N, 1272E,  100,   1009, TY,
WP,32,2030111312,    , INVEST,   0, 117N, 1261E,  105,   1008, TY,
WP,32,2030111318,    , INVEST,   0, 120N, 1241E,  75,   1007, TY,
WP,32,2030111400,    , INVEST,   0, 126N, 1221E,  50,   1006, TS,
WP,32,2030111406,    , INVEST,   0, 125N, 1200E,  40,   1006, TS,
WP,32,2030111412,    , INVEST,   0, 125N, 1181E,  35,   1005, TS,
WP,32,2030111418,    , INVEST,   0, 122N, 1167E,  25,   1004, DB,
WP,32,2030111500,    , INVEST,   0, 120N, 1153E,  20,   1003, DB,
WP,32,2030111506,    , INVEST,   0, 113N, 1140E,  20,   1002, DB,
WP,32,2030111512,    , INVEST,   0, 106N, 1126E,  15,   1002, DB,
WP,32,2030111518,    , INVEST,   0, 101N, 1112E,  15,   1001, DB,
WP,32,2030111600,    , INVEST,   0, 91N, 1102E,  15,   1000, DB,
WP,32,2030111606,    , INVEST,   0, 91N, 1086E,  15,   1000, DB,Sha-ou
