WP,35,2030121112,    , INVEST,   0, 189N, 1163E,  15,   1005, DB,
WP,35,2030121118,    , INVEST,   0, 189N, 1157E,  20,   1013, DB,
WP,35,2030121200,    , INVEST,   0, 186N, 1151E,  20,   1013, DB,
WP,35,2030121206,    , INVEST,   0, 187N, 1144E,  25,   1013, DB,
WP,35,2030121212,    , INVEST,   0, 189N, 1138E,  30,   1013, TD,
WP,35,2030121218,    , INVEST,   0, 189N, 1131E,  30,   1012, TD,
WP,35,2030121300,    , INVEST,   0, 198N, 1126E,  35,   1012, TS,
WP,35,2030121306,    , INVEST,   0, 201N, 1118E,  45,   1012, TS,
WP,35,2030121312,    , INVEST,   0, 202N, 1111E,  60,   1011, TS,
WP,35,2030121318,    , INVEST,   0, 209N, 1110E,  65,   1011, TY,
WP,35,2030121400,    , INVEST,   0, 216N, 1106E,  40,   1010, TS,
WP,35,2030121406,    , INVEST,   0, 227N, 1105E,  30,   1009, TD,
WP,35,2030121412,    , INVEST,   0, 241N, 1105E,  20,   1008, DB,
WP,35,2030121418,    , INVEST,   0, 247N, 1107E,  15,   1007, DB,
WP,35,2030121500,    , INVEST,   0, 251N, 1099E,  15,   1006, DB,
WP,35,2030121506,    , INVEST,   0, 251N, 1088E,  15,   1006, DB,
WP,35,2030121512,    , INVEST,   0, 251N, 1081E,  15,   1005, DB,
WP,35,2030121518,    , INVEST,   0, 251N, 1072E,  15,   1004, DB,Caylau
