WP,00,2047052418,    , INVEST,   0, 243N, 1353E,  35,   1000, SS,
WP,00,2047052500,    , INVEST,   0, 233N, 1358E,  35,   999, SS,
WP,00,2047052506,    , INVEST,   0, 230N, 1364E,  35,   999, SS,
WP,00,2047052512,    , INVEST,   0, 223N, 1367E,  35,   999, SS,
WP,00,2047052518,    , INVEST,   0, 218N, 1372E,  30,   1001, TD,
WP,00,2047052600,    , INVEST,   0, 213N, 1380E,  30,   1002, TD,
WP,00,2047052606,    , INVEST,   0, 207N, 1389E,  35,   1000, TS,
WP,00,2047052612,    , INVEST,   0, 202N, 1393E,  35,   1000, TS,
WP,00,2047052618,    , INVEST,   0, 201N, 1393E,  35,   997, TS,
WP,00,2047052700,    , INVEST,   0, 207N, 1387E,  40,   996, TS,
WP,00,2047052706,    , INVEST,   0, 213N, 1380E,  40,   996, TS,
WP,00,2047052712,    , INVEST,   0, 223N, 1380E,  45,   994, TS,
WP,00,2047052718,    , INVEST,   0, 233N, 1383E,  45,   993, TS,
WP,00,2047052800,    , INVEST,   0, 241N, 1388E,  45,   990, TS,
WP,00,2047052806,    , INVEST,   0, 252N, 1392E,  40,   990, TS,
WP,00,2047052812,    , INVEST,   0, 263N, 1400E,  40,   992, TS,
WP,00,2047052818,    , INVEST,   0, 272N, 1400E,  40,   994, TS,
WP,00,2047052900,    , INVEST,   0, 285N, 1408E,  35,   995, TS,
WP,00,2047052906,    , INVEST,   0, 293N, 1415E,  35,   998, TS,
WP,00,2047052912,    , INVEST,   0, 302N, 1428E,  30,   999, TD,
WP,00,2047052918,    , INVEST,   0, 315N, 1433E,  25,   1001, DB,
WP,00,2047053000,    , INVEST,   0, 327N, 1432E,  25,   1003, DB,
WP,00,2047053006,    , INVEST,   0, 340N, 1440E,  15,   1003, EX,
WP,00,2047053012,    , INVEST,   0, 350N, 1446E,  15,   1002, EX,
WP,00,2047053018,    , INVEST,   0, 360N, 1452E,  15,   1002, EX,
WP,00,2047053100,    , INVEST,   0, 367N, 1454E,  15,   1001,EX,
WP,00,2047053106,    , INVEST,   0, 379N, 1469E,  15,   999, EX,
WP,00,2047053112,    , INVEST,   0, 391N, 1476E,  15,   994, EX,
WP,00,2047053118,    , INVEST,   0, 406N, 1484E,  15,   989, EX,
WP,00,2047060100,    , INVEST,   0, 418N, 1486E,  15,   987, EX,
WP,00,2047060106,    , INVEST,   0, 434N, 1501E,  15,   986, EX,
WP,00,2047060112,    , INVEST,   0, 444N, 1512E,  15,   986, EX,
WP,00,2047060118,    , INVEST,   0, 455N, 1520E,  15,   988, EX,
WP,00,2047060200,    , INVEST,   0, 454N, 1522E,  15,   992, EX,
WP,00,2047060206,    , INVEST,   0, 456N, 1524E,  15,   994, EX,
WP,00,2047060212,    , INVEST,   0, 454N, 1535E,  15,   994, EX,
WP,00,2047060218,    , INVEST,   0, 466N, 1542E,  15,   995, EX,
WP,00,2047060300,    , INVEST,   0, 477N, 1559E,  15,   998, EX,
WP,00,2047060306,    , INVEST,   0, 479N, 1570E,  15,   1000, EX,
WP,05,2047060312,    , INVEST,   0, 484N, 1584E,  15,   1004, EX,
