WP,35,2047111412,    , INVEST,   0, 40N, 1435E,  20,   1005, DB,
WP,00,2047111418,    , INVEST,   0, 43N, 1427E,  20,   1013, DB,
WP,00,2047111500,    , INVEST,   0, 44N, 1421E,  20,   1013, DB,
WP,00,2047111506,    , INVEST,   0, 49N, 1416E,  15,   1013, DB,
WP,00,2047111512,    , INVEST,   0, 52N, 1413E,  15,   1013, DB,
WP,00,2047111518,    , INVEST,   0, 53N, 1406E,  15,   1012, DB,
WP,00,2047111600,    , INVEST,   0, 53N, 1398E,  20,   1012, DB,
WP,00,2047111606,    , INVEST,   0, 53N, 1388E,  25,   1012, DB,
WP,00,2047111612,    , INVEST,   0, 55N, 1383E,  30,   1011, TD,
WP,00,2047111618,    , INVEST,   0, 59N, 1377E,  30,   1011, TD,
WP,00,2047111700,    , INVEST,   0, 60N, 1368E,  40,   1010, TS,
WP,00,2047111706,    , INVEST,   0, 63N, 1361E,  45,   1009, TS,
WP,00,2047111712,    , INVEST,   0, 63N, 1351E,  50,   1008, TS,
WP,00,2047111718,    , INVEST,   0, 68N, 1341E,  65,   1007, TY,
WP,00,2047111800,    , INVEST,   0, 70N, 1332E,  75,   1006, TY,
WP,00,2047111806,    , INVEST,   0, 73N, 1326E,  85,   1006, TY,
WP,00,2047111812,    , INVEST,   0, 80N, 1320E,  95,   1005, TY,
WP,00,2047111818,    , INVEST,   0, 79N, 1313E,  100,   1004, TY,
WP,00,2047111900,    , INVEST,   0, 75N, 1305E,  105,   1003, TY,
WP,00,2047111906,    , INVEST,   0, 73N, 1294E,  115,   1002, TY,
WP,00,2047111912,    , INVEST,   0, 72N, 1285E,  120,   1002, TY,
WP,00,2047111918,    , INVEST,   0, 70N, 1275E,  120,   1001, TY,
WP,00,2047112000,    , INVEST,   0, 70N, 1264E,  115,   1000, TY,
WP,00,2047112006,    , INVEST,   0, 70N, 1254E,  85,   1000, TY,
WP,00,2047112012,    , INVEST,   0, 69N, 1242E,  60,   1000, TS,
WP,00,2047112018,    , INVEST,   0, 68N, 1230E,  50,   999, TS,
WP,00,2047112100,    , INVEST,   0, 68N, 1219E,  50,   1000, TS,
WP,00,2047112106,    , INVEST,   0, 63N, 1206E,  55,   1002, TS,
WP,00,2047112112,    , INVEST,   0, 61N, 1199E,  65,   1005, TY,
WP,00,2047112118,    , INVEST,   0, 59N, 1187E,  70,   1013, TY,
WP,00,2047112200,    , INVEST,   0, 57N, 1177E,  50,   1013, TS,
WP,00,2047112206,    , INVEST,   0, 53N, 1163E,  35,   1013, TS,
WP,00,2047112212,    , INVEST,   0, 52N, 1152E,  20,   1013, DB,
WP,00,2047112218,    , INVEST,   0, 50N, 1140E,  15,   1013, DB,
WP,00,2047112300,    , INVEST,   0, 47N, 1126E,  5,   1026, DB,
WP,00,2047112306,    , INVEST,   0, 44N, 1115E,  5,   1026, DB,
WP,00,2047112312,    , INVEST,   0, 44N, 1110E,  15,   1026, DB,
WP,00,2047112318,    , INVEST,   0, 41N, 1103E,  15,   1026, DB,
