WP,09,2030071118,    , INVEST,   0, 270N, 1258E,  15,   1005, DB,
WP,09,2030071200,    , INVEST,   0, 272N, 1254E,  15,   1013, DB,
WP,09,2030071206,    , INVEST,   0, 278N, 1253E,  20,   1013, DB,
WP,09,2030071212,    , INVEST,   0, 282N, 1253E,  20,   1013, DB,
WP,09,2030071218,    , INVEST,   0, 287N, 1254E,  20,   1013, DB,
WP,09,2030071300,    , INVEST,   0, 290N, 1258E,  25,   1012, DB,
WP,09,2030071306,    , INVEST,   0, 292N, 1265E,  25,   1012, DB,
WP,09,2030071312,    , INVEST,   0, 294N, 1271E,  25,   1012, DB,
WP,09,2030071318,    , INVEST,   0, 293N, 1281E,  25,   1011, DB,
WP,09,2030071400,    , INVEST,   0, 295N, 1294E,  25,   1011, DB,
WP,09,2030071406,    , INVEST,   0, 296N, 1299E,  30,   1010, TD,
WP,09,2030071412,    , INVEST,   0, 298N, 1299E,  30,   1009, TD,
WP,09,2030071418,    , INVEST,   0, 300N, 1297E,  25,   1008, DB,
WP,09,2030071500,    , INVEST,   0, 300N, 1294E,  25,   1007, DB,
WP,09,2030071506,    , INVEST,   0, 302N, 1292E,  30,   1006, TD,
WP,09,2030071512,    , INVEST,   0, 308N, 1291E,  35,   1006, TS,
WP,09,2030071518,    , INVEST,   0, 314N, 1293E,  35,   1005, TS,
WP,09,2030071600,    , INVEST,   0, 323N, 1295E,  35,   1004, TS,
WP,09,2030071606,    , INVEST,   0, 330N, 1300E,  30,   1003, TD,
WP,09,2030071612,    , INVEST,   0, 330N, 1307E,  20,   1002, DB,
WP,09,2030071618,    , INVEST,   0, 327N, 1311E,  20,   1002, DB,
WP,09,2030071700,    , INVEST,   0, 323N, 1317E,  15,   1001, DB,
WP,09,2030071706,    , INVEST,   0, 320N, 1325E,  15,   1000, DB,
WP,09,2030071712,    , INVEST,   0, 318N, 1335E,  15,   1000, DB,
WP,09,2030071718,    , INVEST,   0, 317N, 1343E,  15,   1000, DB,09W
