AL, 03, 1993080412,   ,chunshu,   0, 104N,  403W,  30, 1010, TD,       BRET
AL, 03, 1993080418,   ,chunshu,   0, 104N,  417W,  30, 1009, TD,       BRET
AL, 03, 1993080500,   ,chunshu,   0, 104N,  434W,  35, 1008, TS,       BRET
AL, 03, 1993080506,   ,chunshu,   0, 103N,  453W,  40, 1007, TS,       BRET
AL, 03, 1993080512,   ,chunshu,   0, 103N,  473W,  45, 1006, TS,       BRET
AL, 03, 1993080518,   ,chunshu,   0, 103N,  492W,  45, 1006, TS,       BRET
AL, 03, 1993080600,   ,chunshu,   0, 102N,  510W,  45, 1006, TS,       BRET
AL, 03, 1993080606,   ,chunshu,   0, 101N,  529W,  50, 1005, TS,       BRET
AL, 03, 1993080612,   ,chunshu,   0, 100N,  549W,  50, 1005, TS,       BRET
AL, 03, 1993080618,   ,chunshu,   0, 101N,  568W,  50, 1003, TS,       BRET
AL, 03, 1993080700,   ,chunshu,   0, 104N,  586W,  50, 1002, TS,       BRET
AL, 03, 1993080706,   ,chunshu,   0, 107N,  605W,  50, 1002, TS,       BRET
AL, 03, 1993080707,   ,chunshu,   0, 108N,  608W,  50, 1002, TS,       BRET
AL, 03, 1993080710,   ,chunshu,   0, 108N,  618W,  50, 1002, TS,       BRET
AL, 03, 1993080712,   ,chunshu,   0, 108N,  624W,  50, 1002, TS,       BRET
AL, 03, 1993080718,   ,chunshu,   0, 108N,  641W,  45, 1006, TS,       BRET
AL, 03, 1993080800,   ,chunshu,   0, 108N,  657W,  40, 1008, TS,       BRET
AL, 03, 1993080806,   ,chunshu,   0, 110N,  676W,  40, 1007, TS,       BRET
AL, 03, 1993080808,   ,chunshu,   0, 110N,  683W,  40, 1007, TS,       BRET
AL, 03, 1993080812,   ,chunshu,   0, 110N,  697W,  40, 1007, TS,       BRET
AL, 03, 1993080818,   ,chunshu,   0, 110N,  718W,  40, 1007, TS,       BRET
AL, 03, 1993080900,   ,chunshu,   0, 109N,  738W,  40, 1006, TS,       BRET
AL, 03, 1993080906,   ,chunshu,   0, 107N,  758W,  35, 1005, TS,       BRET
AL, 03, 1993080912,   ,chunshu,   0, 107N,  778W,  30, 1004, TD,       BRET
AL, 03, 1993080918,   ,chunshu,   0, 107N,  792W,  30, 1005, TD,       BRET
AL, 03, 1993081000,   ,chunshu,   0, 108N,  803W,  30, 1004, TD,       BRET
AL, 03, 1993081006,   ,chunshu,   0, 110N,  814W,  35, 1003, TS,       BRET
AL, 03, 1993081012,   ,chunshu,   0, 111N,  826W,  40, 1002, TS,       BRET
AL, 03, 1993081017,   ,chunshu,   0, 111N,  838W,  40, 1002, TS,       BRET
AL, 03, 1993081018,   ,chunshu,   0, 111N,  840W,  35, 1004, TS,       BRET
AL, 03, 1993081100,   ,chunshu,   0, 114N,  850W,  25, 1007, TD,       BRET
AL, 03, 1993081106,   ,chunshu,   0, 117N,  858W,  20, 1009, TD,       BRET
AL, 03, 1993081112,   ,chunshu,   0, 122N,  868W,  20, 1010, TD,       BRET
