AL, 03, 2013070712,   ,chunshu,   0,  93N,  414W,  35, 1011, TS
AL, 03, 2013070718,   ,chunshu,   0,  95N,  438W,  35, 1011, TS
AL, 03, 2013070800,   ,chunshu,   0,  98N,  461W,  35, 1010, TS,    CHANTAL
AL, 03, 2013070806,   ,chunshu,   0, 101N,  484W,  35, 1009, TS,    CHANTAL
AL, 03, 2013070812,   ,chunshu,   0, 107N,  506W,  40, 1008, TS,    CHANTAL
AL, 03, 2013070818,   ,chunshu,   0, 114N,  529W,  45, 1007, TS,    CHANTAL
AL, 03, 2013070900,   ,chunshu,   0, 121N,  552W,  50, 1006, TS,    CHANTAL
AL, 03, 2013070906,   ,chunshu,   0, 130N,  577W,  50, 1005, TS,    CHANTAL
AL, 03, 2013070912,   ,chunshu,   0, 139N,  603W,  55, 1003, TS,    CHANTAL
AL, 03, 2013070918,   ,chunshu,   0, 148N,  629W,  55, 1006, TS,    CHANTAL
AL, 03, 2013071000,   ,chunshu,   0, 156N,  656W,  45, 1008, TS,    CHANTAL
AL, 03, 2013071006,   ,chunshu,   0, 162N,  684W,  40, 1010, TS,    CHANTAL
AL, 03, 2013071012,   ,chunshu,   0, 167N,  712W,  40, 1011, TS,    CHANTAL
