AL, 04, 1911090312,   ,chunshu,   0, 120N,  570W,  30,     , TD
AL, 04, 1911090318,   ,chunshu,   0, 122N,  584W,  30,     , TD
AL, 04, 1911090400,   ,chunshu,   0, 124N,  598W,  30,     , TD
AL, 04, 1911090406,   ,chunshu,   0, 126N,  612W,  30,     , TD
AL, 04, 1911090412,   ,chunshu,   0, 128N,  625W,  35,     , TS
AL, 04, 1911090418,   ,chunshu,   0, 129N,  637W,  35,     , TS
AL, 04, 1911090500,   ,chunshu,   0, 130N,  648W,  35,     , TS
AL, 04, 1911090506,   ,chunshu,   0, 130N,  659W,  35,     , TS
AL, 04, 1911090512,   ,chunshu,   0, 130N,  670W,  35,     , TS
AL, 04, 1911090518,   ,chunshu,   0, 130N,  680W,  40,     , TS
AL, 04, 1911090600,   ,chunshu,   0, 130N,  690W,  40,     , TS
AL, 04, 1911090606,   ,chunshu,   0, 130N,  700W,  45,     , TS
AL, 04, 1911090612,   ,chunshu,   0, 130N,  710W,  45,     , TS
AL, 04, 1911090618,   ,chunshu,   0, 129N,  718W,  50,     , TS
AL, 04, 1911090700,   ,chunshu,   0, 128N,  724W,  50,     , TS
AL, 04, 1911090706,   ,chunshu,   0, 127N,  730W,  55,     , TS
AL, 04, 1911090712,   ,chunshu,   0, 125N,  735W,  55,     , TS
AL, 04, 1911090718,   ,chunshu,   0, 123N,  741W,  60,     , TS
AL, 04, 1911090800,   ,chunshu,   0, 122N,  747W,  60,     , TS
AL, 04, 1911090806,   ,chunshu,   0, 121N,  753W,  65,     , HU
AL, 04, 1911090812,   ,chunshu,   0, 120N,  760W,  70,     , HU
AL, 04, 1911090818,   ,chunshu,   0, 120N,  768W,  70,     , HU
AL, 04, 1911090900,   ,chunshu,   0, 121N,  777W,  75,     , HU
AL, 04, 1911090906,   ,chunshu,   0, 122N,  787W,  80,     , HU
AL, 04, 1911090912,   ,chunshu,   0, 123N,  797W,  85,     , HU
AL, 04, 1911090918,   ,chunshu,   0, 124N,  809W,  85,     , HU
AL, 04, 1911091000,   ,chunshu,   0, 126N,  822W,  85,     , HU
AL, 04, 1911091006,   ,chunshu,   0, 128N,  834W,  85,     , HU
AL, 04, 1911091012,   ,chunshu,   0, 130N,  846W,  60,     , TS
AL, 04, 1911091018,   ,chunshu,   0, 132N,  857W,  45,     , TS
AL, 04, 1911091100,   ,chunshu,   0, 133N,  868W,  40,     , TS
AL, 04, 1911091106,   ,chunshu,   0, 134N,  879W,  40,     , TS
AL, 04, 1911091112,   ,chunshu,   0, 134N,  890W,  35,     , TS
AL, 04, 1911091118,   ,chunshu,   0, 136N,  902W,  35,     , TS
AL, 04, 1911091200,   ,chunshu,   0, 138N,  916W,  35,     , TS
AL, 04, 1911091206,   ,chunshu,   0, 140N,  931W,  35,     , TS
AL, 04, 1911091212,   ,chunshu,   0, 140N,  935W,  30,     , TD
AL, 04, 1911091218,   ,chunshu,   0, 141N,  940W,  30,     , TD
