AL, 06, 1862112200,   ,chunshu,   0, 105N,  795W,  60,     , TS
AL, 06, 1862112206,   ,chunshu,   0, 105N,  795W,  60,     , TS
AL, 06, 1862112212,   ,chunshu,   0, 105N,  795W,  60,     , TS
AL, 06, 1862112218,   ,chunshu,   0, 105N,  795W,  60,     , TS
AL, 06, 1862112300,   ,chunshu,   0, 105N,  795W,  60,     , TS
AL, 06, 1862112306,   ,chunshu,   0, 105N,  795W,  60,     , TS
AL, 06, 1862112312,   ,chunshu,   0, 105N,  795W,  60,     , TS
AL, 06, 1862112318,   ,chunshu,   0, 105N,  795W,  60,     , TS
AL, 06, 1862112400,   ,chunshu,   0, 105N,  795W,  60,     , TS
AL, 06, 1862112406,   ,chunshu,   0, 105N,  795W,  60,     , TS
AL, 06, 1862112412,   ,chunshu,   0, 105N,  796W,  50,     , TS
AL, 06, 1862112418,   ,chunshu,   0, 105N,  797W,  50,     , TS
AL, 06, 1862112500,   ,chunshu,   0, 105N,  798W,  40,     , TS
AL, 06, 1862112506,   ,chunshu,   0, 105N,  800W,  40,     , TS
