AL, 07, 2006090318,   ,chunshu,   0, 141N,  394W,  30, 1007, TD,        SIX
AL, 07, 2006090400,   ,chunshu,   0, 147N,  400W,  30, 1007, TD,        SIX
AL, 07, 2006090406,   ,chunshu,   0, 154N,  410W,  30, 1007, TD,        SIX
AL, 07, 2006090412,   ,chunshu,   0, 160N,  423W,  30, 1007, TD,        SIX
AL, 07, 2006090418,   ,chunshu,   0, 164N,  435W,  30, 1007, TD,        SIX
AL, 07, 2006090500,   ,chunshu,   0, 166N,  448W,  30, 1007, TD,        SIX
AL, 07, 2006090506,   ,chunshu,   0, 168N,  461W,  35, 1007, TS,        SIX
AL, 07, 2006090512,   ,chunshu,   0, 170N,  469W,  35, 1005, TS,        SIX
AL, 07, 2006090518,   ,chunshu,   0, 173N,  478W,  40, 1003, TS,   FLORENCE
AL, 07, 2006090600,   ,chunshu,   0, 176N,  486W,  40, 1003, TS,   FLORENCE
AL, 07, 2006090606,   ,chunshu,   0, 181N,  497W,  40, 1003, TS,   FLORENCE
AL, 07, 2006090612,   ,chunshu,   0, 185N,  506W,  45, 1003, TS,   FLORENCE
AL, 07, 2006090618,   ,chunshu,   0, 190N,  513W,  45, 1000, TS,   FLORENCE
AL, 07, 2006090700,   ,chunshu,   0, 193N,  519W,  45, 1000, TS,   FLORENCE
AL, 07, 2006090706,   ,chunshu,   0, 196N,  526W,  45, 1000, TS,   FLORENCE
AL, 07, 2006090712,   ,chunshu,   0, 199N,  533W,  40, 1002, TS,   FLORENCE
AL, 07, 2006090718,   ,chunshu,   0, 203N,  543W,  40, 1002, TS,   FLORENCE
AL, 07, 2006090800,   ,chunshu,   0, 209N,  557W,  40, 1002, TS,   FLORENCE
AL, 07, 2006090806,   ,chunshu,   0, 215N,  571W,  40, 1002, TS,   FLORENCE
AL, 07, 2006090812,   ,chunshu,   0, 217N,  588W,  40, 1002, TS,   FLORENCE
AL, 07, 2006090818,   ,chunshu,   0, 219N,  601W,  45, 1000, TS,   FLORENCE
AL, 07, 2006090900,   ,chunshu,   0, 227N,  610W,  50,  997, TS,   FLORENCE
AL, 07, 2006090906,   ,chunshu,   0, 238N,  623W,  50,  993, TS,   FLORENCE
AL, 07, 2006090912,   ,chunshu,   0, 244N,  632W,  50,  992, TS,   FLORENCE
AL, 07, 2006090918,   ,chunshu,   0, 251N,  640W,  50,  991, TS,   FLORENCE
AL, 07, 2006091000,   ,chunshu,   0, 262N,  646W,  60,  987, TS,   FLORENCE
AL, 07, 2006091006,   ,chunshu,   0, 271N,  653W,  70,  980, HU,   FLORENCE
AL, 07, 2006091012,   ,chunshu,   0, 281N,  659W,  75,  978, HU,   FLORENCE
AL, 07, 2006091018,   ,chunshu,   0, 293N,  661W,  80,  976, HU,   FLORENCE
AL, 07, 2006091100,   ,chunshu,   0, 304N,  662W,  80,  975, HU,   FLORENCE
AL, 07, 2006091106,   ,chunshu,   0, 313N,  662W,  70,  977, HU,   FLORENCE
AL, 07, 2006091112,   ,chunshu,   0, 324N,  657W,  75,  974, HU,   FLORENCE
AL, 07, 2006091118,   ,chunshu,   0, 336N,  650W,  75,  974, HU,   FLORENCE
AL, 07, 2006091200,   ,chunshu,   0, 349N,  641W,  70,  975, HU,   FLORENCE
AL, 07, 2006091206,   ,chunshu,   0, 363N,  632W,  65,  976, HU,   FLORENCE
AL, 07, 2006091212,   ,chunshu,   0, 374N,  619W,  65,  976, HU,   FLORENCE
AL, 07, 2006091218,   ,chunshu,   0, 385N,  602W,  65,  977, HU,   FLORENCE
AL, 07, 2006091300,   ,chunshu,   0, 406N,  579W,  70,  978, EX
AL, 07, 2006091306,   ,chunshu,   0, 431N,  563W,  70,  972, EX
AL, 07, 2006091312,   ,chunshu,   0, 455N,  556W,  70,  967, EX
AL, 07, 2006091318,   ,chunshu,   0, 464N,  540W,  70,  963, EX
AL, 07, 2006091400,   ,chunshu,   0, 476N,  513W,  65,  965, EX
AL, 07, 2006091406,   ,chunshu,   0, 486N,  483W,  60,  967, EX
AL, 07, 2006091412,   ,chunshu,   0, 492N,  452W,  55,  970, EX
AL, 07, 2006091418,   ,chunshu,   0, 498N,  426W,  50,  976, EX
AL, 07, 2006091500,   ,chunshu,   0, 500N,  396W,  45,  981, EX
AL, 07, 2006091506,   ,chunshu,   0, 497N,  358W,  45,  982, EX
AL, 07, 2006091512,   ,chunshu,   0, 495N,  317W,  45,  984, EX
AL, 07, 2006091518,   ,chunshu,   0, 498N,  275W,  40,  986, EX
AL, 07, 2006091600,   ,chunshu,   0, 506N,  239W,  40,  987, EX
AL, 07, 2006091606,   ,chunshu,   0, 525N,  210W,  40,  987, EX
AL, 07, 2006091612,   ,chunshu,   0, 546N,  205W,  40,  985, EX
AL, 07, 2006091618,   ,chunshu,   0, 566N,  205W,  40,  983, EX
AL, 07, 2006091700,   ,chunshu,   0, 582N,  205W,  40,  980, EX
AL, 07, 2006091706,   ,chunshu,   0, 596N,  206W,  40,  980, EX
AL, 07, 2006091712,   ,chunshu,   0, 609N,  212W,  40,  979, EX
AL, 07, 2006091718,   ,chunshu,   0, 620N,  225W,  45,  978, EX
AL, 07, 2006091800,   ,chunshu,   0, 626N,  245W,  50,  976, EX
AL, 07, 2006091806,   ,chunshu,   0, 630N,  265W,  50,  977, EX
AL, 07, 2006091812,   ,chunshu,   0, 630N,  290W,  50,  978, EX
AL, 07, 2006091818,   ,chunshu,   0, 630N,  314W,  50,  979, EX
AL, 07, 2006091900,   ,chunshu,   0, 620N,  340W,  50,  982, EX
