AL, 09, 1973082512,   ,chunshu,   0, 110N,  140W,  30,     , TD,  CHRISTINE
AL, 09, 1973082518,   ,chunshu,   0, 109N,  152W,  30,     , TD,  CHRISTINE
AL, 09, 1973082600,   ,chunshu,   0, 108N,  164W,  30,     , TD,  CHRISTINE
AL, 09, 1973082606,   ,chunshu,   0, 107N,  177W,  30,     , TD,  CHRISTINE
AL, 09, 1973082612,   ,chunshu,   0, 105N,  190W,  30,     , TD,  CHRISTINE
AL, 09, 1973082618,   ,chunshu,   0, 105N,  205W,  30,     , TD,  CHRISTINE
AL, 09, 1973082700,   ,chunshu,   0, 105N,  220W,  30,     , TD,  CHRISTINE
AL, 09, 1973082706,   ,chunshu,   0, 105N,  230W,  30,     , TD,  CHRISTINE
AL, 09, 1973082712,   ,chunshu,   0, 105N,  240W,  30,     , TD,  CHRISTINE
AL, 09, 1973082718,   ,chunshu,   0, 105N,  255W,  30,     , TD,  CHRISTINE
AL, 09, 1973082800,   ,chunshu,   0, 105N,  270W,  30,     , TD,  CHRISTINE
AL, 09, 1973082806,   ,chunshu,   0, 105N,  285W,  30,     , TD,  CHRISTINE
AL, 09, 1973082812,   ,chunshu,   0, 105N,  300W,  40,     , TS,  CHRISTINE
AL, 09, 1973082818,   ,chunshu,   0, 104N,  318W,  40,     , TS,  CHRISTINE
AL, 09, 1973082900,   ,chunshu,   0, 103N,  335W,  40,     , TS,  CHRISTINE
AL, 09, 1973082906,   ,chunshu,   0, 103N,  353W,  40,     , TS,  CHRISTINE
AL, 09, 1973082912,   ,chunshu,   0, 102N,  370W,  40,     , TS,  CHRISTINE
AL, 09, 1973082918,   ,chunshu,   0, 102N,  384W,  40,     , TS,  CHRISTINE
AL, 09, 1973083000,   ,chunshu,   0, 101N,  398W,  40,     , TS,  CHRISTINE
AL, 09, 1973083006,   ,chunshu,   0, 101N,  408W,  40,     , TS,  CHRISTINE
AL, 09, 1973083012,   ,chunshu,   0, 100N,  418W,  45,     , TS,  CHRISTINE
AL, 09, 1973083018,   ,chunshu,   0, 104N,  430W,  45,     , TS,  CHRISTINE
AL, 09, 1973083100,   ,chunshu,   0, 108N,  443W,  45, 1007, TS,  CHRISTINE
AL, 09, 1973083106,   ,chunshu,   0, 112N,  453W,  50,     , TS,  CHRISTINE
AL, 09, 1973083112,   ,chunshu,   0, 118N,  464W,  50,     , TS,  CHRISTINE
AL, 09, 1973083118,   ,chunshu,   0, 125N,  478W,  50, 1003, TS,  CHRISTINE
AL, 09, 1973090100,   ,chunshu,   0, 132N,  492W,  50,     , TS,  CHRISTINE
AL, 09, 1973090106,   ,chunshu,   0, 137N,  507W,  50,     , TS,  CHRISTINE
AL, 09, 1973090112,   ,chunshu,   0, 143N,  523W,  50, 1002, TS,  CHRISTINE
AL, 09, 1973090118,   ,chunshu,   0, 145N,  533W,  50,     , TS,  CHRISTINE
AL, 09, 1973090200,   ,chunshu,   0, 147N,  544W,  55,  999, TS,  CHRISTINE
AL, 09, 1973090206,   ,chunshu,   0, 149N,  555W,  60,  996, TS,  CHRISTINE
AL, 09, 1973090212,   ,chunshu,   0, 152N,  568W,  60,     , TS,  CHRISTINE
AL, 09, 1973090218,   ,chunshu,   0, 153N,  577W,  55,     , TS,  CHRISTINE
AL, 09, 1973090300,   ,chunshu,   0, 156N,  586W,  55, 1004, TS,  CHRISTINE
AL, 09, 1973090306,   ,chunshu,   0, 160N,  595W,  55,     , TS,  CHRISTINE
AL, 09, 1973090312,   ,chunshu,   0, 164N,  603W,  50, 1008, TS,  CHRISTINE
AL, 09, 1973090318,   ,chunshu,   0, 168N,  616W,  30,     , TD,  CHRISTINE
AL, 09, 1973090400,   ,chunshu,   0, 171N,  627W,  30, 1011, TD,  CHRISTINE
AL, 09, 1973090406,   ,chunshu,   0, 177N,  638W,  30,     , TD,  CHRISTINE
AL, 09, 1973090412,   ,chunshu,   0, 184N,  650W,  30,     , TD,  CHRISTINE
AL, 09, 1973090418,   ,chunshu,   0, 190N,  662W,  30,     , TD,  CHRISTINE
