AL, 09, 2018090712,   ,chunshu,   0, 135N,  350W,  30, 1007, TD,     INVEST
AL, 09, 2018090718,   ,chunshu,   0, 137N,  349W,  30, 1007, TD,     INVEST
AL, 09, 2018090800,   ,chunshu,   0, 139N,  349W,  30, 1007, TD,       NINE
AL, 09, 2018090806,   ,chunshu,   0, 142N,  352W,  30, 1007, TD,       NINE
AL, 09, 2018090812,   ,chunshu,   0, 144N,  358W,  35, 1006, TS,       NINE
AL, 09, 2018090818,   ,chunshu,   0, 145N,  363W,  40, 1005, TS,       NINE
AL, 09, 2018090900,   ,chunshu,   0, 144N,  370W,  45, 1002, TS,      ISAAC
AL, 09, 2018090906,   ,chunshu,   0, 143N,  377W,  50, 1001, TS,      ISAAC
AL, 09, 2018090912,   ,chunshu,   0, 143N,  387W,  55,  999, TS,      ISAAC
AL, 09, 2018090918,   ,chunshu,   0, 144N,  398W,  60,  997, TS,      ISAAC
AL, 09, 2018091000,   ,chunshu,   0, 145N,  410W,  65,  995, HU,      ISAAC
AL, 09, 2018091006,   ,chunshu,   0, 145N,  422W,  65,  995, HU,      ISAAC
AL, 09, 2018091012,   ,chunshu,   0, 144N,  435W,  65,  995, HU,      ISAAC
AL, 09, 2018091018,   ,chunshu,   0, 144N,  448W,  65,  995, HU,      ISAAC
AL, 09, 2018091100,   ,chunshu,   0, 145N,  462W,  60,  997, TS,      ISAAC
AL, 09, 2018091106,   ,chunshu,   0, 146N,  476W,  60,  997, TS,      ISAAC
AL, 09, 2018091112,   ,chunshu,   0, 146N,  491W,  60,  997, TS,      ISAAC
AL, 09, 2018091118,   ,chunshu,   0, 146N,  505W,  60,  997, TS,      ISAAC
AL, 09, 2018091200,   ,chunshu,   0, 145N,  517W,  55,  998, TS,      ISAAC
AL, 09, 2018091206,   ,chunshu,   0, 146N,  529W,  55,  999, TS,      ISAAC
AL, 09, 2018091212,   ,chunshu,   0, 149N,  542W,  55, 1001, TS,      ISAAC
AL, 09, 2018091218,   ,chunshu,   0, 152N,  557W,  50, 1003, TS,      ISAAC
AL, 09, 2018091300,   ,chunshu,   0, 153N,  572W,  45, 1004, TS,      ISAAC
AL, 09, 2018091306,   ,chunshu,   0, 151N,  589W,  40, 1004, TS,      ISAAC
AL, 09, 2018091312,   ,chunshu,   0, 149N,  607W,  40, 1004, TS,      ISAAC
AL, 09, 2018091318,   ,chunshu,   0, 149N,  623W,  35, 1004, TS,      ISAAC
AL, 09, 2018091400,   ,chunshu,   0, 149N,  636W,  35, 1004, TS,      ISAAC
AL, 09, 2018091406,   ,chunshu,   0, 150N,  648W,  35, 1004, TS,      ISAAC
AL, 09, 2018091412,   ,chunshu,   0, 152N,  662W,  35, 1004, TS,      ISAAC
AL, 09, 2018091418,   ,chunshu,   0, 153N,  676W,  35, 1004, TS,      ISAAC
AL, 09, 2018091500,   ,chunshu,   0, 154N,  690W,  30, 1006, TD,      ISAAC
