AL, 11, 1988101018,   ,chunshu,   0,  89N,  422W,  25, 1010, TD,       JOAN
AL, 11, 1988101100,   ,chunshu,   0,  95N,  436W,  30, 1008, TD,       JOAN
AL, 11, 1988101106,   ,chunshu,   0, 101N,  450W,  35, 1005, TS,       JOAN
AL, 11, 1988101112,   ,chunshu,   0, 107N,  464W,  40, 1003, TS,       JOAN
AL, 11, 1988101118,   ,chunshu,   0, 112N,  479W,  45, 1000, TS,       JOAN
AL, 11, 1988101200,   ,chunshu,   0, 115N,  490W,  50,  999, TS,       JOAN
AL, 11, 1988101206,   ,chunshu,   0, 118N,  501W,  45, 1000, TS,       JOAN
AL, 11, 1988101212,   ,chunshu,   0, 121N,  513W,  45, 1003, TS,       JOAN
AL, 11, 1988101218,   ,chunshu,   0, 123N,  525W,  40, 1006, TS,       JOAN
AL, 11, 1988101300,   ,chunshu,   0, 124N,  538W,  40, 1007, TS,       JOAN
AL, 11, 1988101306,   ,chunshu,   0, 125N,  549W,  40, 1007, TS,       JOAN
AL, 11, 1988101312,   ,chunshu,   0, 126N,  560W,  40, 1006, TS,       JOAN
AL, 11, 1988101318,   ,chunshu,   0, 127N,  571W,  40, 1005, TS,       JOAN
AL, 11, 1988101400,   ,chunshu,   0, 126N,  583W,  40, 1003, TS,       JOAN
AL, 11, 1988101406,   ,chunshu,   0, 124N,  594W,  40, 1002, TS,       JOAN
AL, 11, 1988101412,   ,chunshu,   0, 122N,  600W,  45, 1001, TS,       JOAN
AL, 11, 1988101418,   ,chunshu,   0, 120N,  608W,  45, 1001, TS,       JOAN
AL, 11, 1988101500,   ,chunshu,   0, 121N,  615W,  45, 1003, TS,       JOAN
AL, 11, 1988101501,   ,chunshu,   0, 121N,  618W,  45, 1003, TS,       JOAN
AL, 11, 1988101506,   ,chunshu,   0, 121N,  628W,  45, 1004, TS,       JOAN
AL, 11, 1988101512,   ,chunshu,   0, 120N,  638W,  45, 1004, TS,       JOAN
AL, 11, 1988101518,   ,chunshu,   0, 119N,  649W,  45, 1003, TS,       JOAN
AL, 11, 1988101600,   ,chunshu,   0, 120N,  661W,  45, 1002, TS,       JOAN
AL, 11, 1988101606,   ,chunshu,   0, 120N,  672W,  50, 1001, TS,       JOAN
AL, 11, 1988101612,   ,chunshu,   0, 119N,  682W,  50, 1000, TS,       JOAN
AL, 11, 1988101618,   ,chunshu,   0, 120N,  692W,  50,  999, TS,       JOAN
AL, 11, 1988101700,   ,chunshu,   0, 120N,  702W,  55,  998, TS,       JOAN
AL, 11, 1988101706,   ,chunshu,   0, 120N,  712W,  55,  997, TS,       JOAN
AL, 11, 1988101712,   ,chunshu,   0, 119N,  721W,  60,  995, TS,       JOAN
AL, 11, 1988101718,   ,chunshu,   0, 118N,  730W,  60,  993, TS,       JOAN
AL, 11, 1988101800,   ,chunshu,   0, 118N,  740W,  65,  990, HU,       JOAN
AL, 11, 1988101806,   ,chunshu,   0, 117N,  750W,  70,  987, HU,       JOAN
AL, 11, 1988101812,   ,chunshu,   0, 115N,  758W,  75,  984, HU,       JOAN
AL, 11, 1988101818,   ,chunshu,   0, 113N,  765W,  80,  980, HU,       JOAN
AL, 11, 1988101900,   ,chunshu,   0, 112N,  772W,  90,  976, HU,       JOAN
AL, 11, 1988101906,   ,chunshu,   0, 113N,  778W,  95,  970, HU,       JOAN
AL, 11, 1988101912,   ,chunshu,   0, 114N,  783W, 105,  960, HU,       JOAN
AL, 11, 1988101918,   ,chunshu,   0, 113N,  789W, 110,  953, HU,       JOAN
AL, 11, 1988102000,   ,chunshu,   0, 113N,  793W, 105,  956, HU,       JOAN
AL, 11, 1988102006,   ,chunshu,   0, 111N,  798W,  85,  967, HU,       JOAN
AL, 11, 1988102012,   ,chunshu,   0, 111N,  795W,  70,  971, HU,       JOAN
AL, 11, 1988102018,   ,chunshu,   0, 113N,  799W,  70,  973, HU,       JOAN
AL, 11, 1988102100,   ,chunshu,   0, 115N,  803W,  75,  972, HU,       JOAN
AL, 11, 1988102106,   ,chunshu,   0, 115N,  807W,  90,  970, HU,       JOAN
AL, 11, 1988102112,   ,chunshu,   0, 116N,  812W, 100,  964, HU,       JOAN
AL, 11, 1988102118,   ,chunshu,   0, 118N,  818W, 110,  952, HU,       JOAN
AL, 11, 1988102200,   ,chunshu,   0, 119N,  825W, 120,  937, HU,       JOAN
AL, 11, 1988102206,   ,chunshu,   0, 119N,  832W, 125,  932, HU,       JOAN
AL, 11, 1988102210,   ,chunshu,   0, 119N,  837W, 125,  932, HU,       JOAN
AL, 11, 1988102212,   ,chunshu,   0, 119N,  839W, 120,  936, HU,       JOAN
AL, 11, 1988102218,   ,chunshu,   0, 120N,  850W,  70,  983, HU,       JOAN
AL, 11, 1988102300,   ,chunshu,   0, 121N,  859W,  55,  993, TS,       JOAN
AL, 11, 1988102306,   ,chunshu,   0, 122N,  868W,  45, 1000, TS,       JOAN
