AL, 14, 1971090600,   ,chunshu,   0, 255N,  715W,  25,     , TD,     GINGER
AL, 14, 1971090606,   ,chunshu,   0, 252N,  712W,  25,     , TD,     GINGER
AL, 14, 1971090612,   ,chunshu,   0, 250N,  710W,  25,     , TD,     GINGER
AL, 14, 1971090618,   ,chunshu,   0, 248N,  708W,  25,     , TD,     GINGER
AL, 14, 1971090700,   ,chunshu,   0, 246N,  705W,  25,     , TD,     GINGER
AL, 14, 1971090706,   ,chunshu,   0, 244N,  703W,  25,     , TD,     GINGER
AL, 14, 1971090712,   ,chunshu,   0, 243N,  699W,  25,     , TD,     GINGER
AL, 14, 1971090718,   ,chunshu,   0, 247N,  693W,  25,     , TD,     GINGER
AL, 14, 1971090800,   ,chunshu,   0, 252N,  688W,  25,     , TD,     GINGER
AL, 14, 1971090806,   ,chunshu,   0, 255N,  685W,  25,     , TD,     GINGER
AL, 14, 1971090812,   ,chunshu,   0, 259N,  682W,  25,     , TD,     GINGER
AL, 14, 1971090818,   ,chunshu,   0, 263N,  680W,  25,     , TD,     GINGER
AL, 14, 1971090900,   ,chunshu,   0, 266N,  679W,  25,     , TD,     GINGER
AL, 14, 1971090906,   ,chunshu,   0, 268N,  677W,  25,     , TD,     GINGER
AL, 14, 1971090912,   ,chunshu,   0, 270N,  676W,  25, 1008, TD,     GINGER
AL, 14, 1971090918,   ,chunshu,   0, 273N,  674W,  30,     , TD,     GINGER
AL, 14, 1971091000,   ,chunshu,   0, 276N,  670W,  30,     , TD,     GINGER
AL, 14, 1971091006,   ,chunshu,   0, 277N,  666W,  30,     , TD,     GINGER
AL, 14, 1971091012,   ,chunshu,   0, 277N,  661W,  40, 1003, TS,     GINGER
AL, 14, 1971091018,   ,chunshu,   0, 277N,  655W,  45,     , TS,     GINGER
AL, 14, 1971091100,   ,chunshu,   0, 277N,  650W,  50,     , TS,     GINGER
AL, 14, 1971091106,   ,chunshu,   0, 278N,  642W,  55,     , TS,     GINGER
AL, 14, 1971091112,   ,chunshu,   0, 279N,  633W,  65,  991, HU,     GINGER
AL, 14, 1971091118,   ,chunshu,   0, 283N,  624W,  65,     , HU,     GINGER
AL, 14, 1971091200,   ,chunshu,   0, 289N,  616W,  70,     , HU,     GINGER
AL, 14, 1971091206,   ,chunshu,   0, 296N,  607W,  75,     , HU,     GINGER
AL, 14, 1971091212,   ,chunshu,   0, 303N,  599W,  75,  985, HU,     GINGER
AL, 14, 1971091218,   ,chunshu,   0, 311N,  590W,  80,     , HU,     GINGER
AL, 14, 1971091300,   ,chunshu,   0, 317N,  582W,  80,     , HU,     GINGER
AL, 14, 1971091306,   ,chunshu,   0, 323N,  572W,  85,     , HU,     GINGER
AL, 14, 1971091312,   ,chunshu,   0, 327N,  561W,  85,     , HU,     GINGER
AL, 14, 1971091318,   ,chunshu,   0, 330N,  549W,  90,  959, HU,     GINGER
AL, 14, 1971091400,   ,chunshu,   0, 333N,  533W,  95,     , HU,     GINGER
AL, 14, 1971091406,   ,chunshu,   0, 336N,  527W,  90,     , HU,     GINGER
AL, 14, 1971091412,   ,chunshu,   0, 337N,  501W,  85,     , HU,     GINGER
AL, 14, 1971091418,   ,chunshu,   0, 333N,  483W,  80,  964, HU,     GINGER
AL, 14, 1971091500,   ,chunshu,   0, 330N,  484W,  75,     , HU,     GINGER
AL, 14, 1971091506,   ,chunshu,   0, 329N,  487W,  75,     , HU,     GINGER
AL, 14, 1971091512,   ,chunshu,   0, 328N,  491W,  70,  981, HU,     GINGER
AL, 14, 1971091518,   ,chunshu,   0, 327N,  494W,  70,     , HU,     GINGER
AL, 14, 1971091600,   ,chunshu,   0, 327N,  496W,  70,     , HU,     GINGER
AL, 14, 1971091606,   ,chunshu,   0, 327N,  498W,  70,     , HU,     GINGER
AL, 14, 1971091612,   ,chunshu,   0, 327N,  501W,  65,  987, HU,     GINGER
AL, 14, 1971091618,   ,chunshu,   0, 327N,  505W,  65,     , HU,     GINGER
AL, 14, 1971091700,   ,chunshu,   0, 327N,  510W,  65,  987, HU,     GINGER
AL, 14, 1971091706,   ,chunshu,   0, 327N,  515W,  65,     , HU,     GINGER
AL, 14, 1971091712,   ,chunshu,   0, 327N,  519W,  65,  992, HU,     GINGER
AL, 14, 1971091718,   ,chunshu,   0, 326N,  522W,  65,     , HU,     GINGER
AL, 14, 1971091800,   ,chunshu,   0, 325N,  524W,  65,     , HU,     GINGER
AL, 14, 1971091806,   ,chunshu,   0, 323N,  526W,  65,     , HU,     GINGER
AL, 14, 1971091812,   ,chunshu,   0, 321N,  528W,  65,     , HU,     GINGER
AL, 14, 1971091818,   ,chunshu,   0, 318N,  528W,  65,     , HU,     GINGER
AL, 14, 1971091900,   ,chunshu,   0, 314N,  526W,  65,     , HU,     GINGER
AL, 14, 1971091906,   ,chunshu,   0, 310N,  522W,  65,     , HU,     GINGER
AL, 14, 1971091912,   ,chunshu,   0, 310N,  517W,  65,  987, HU,     GINGER
