AL, 15, 1988082012,   ,chunshu,   0, 130N,  210W,  25,     , TD,       FIVE
AL, 15, 1988082018,   ,chunshu,   0, 130N,  213W,  25,     , TD,       FIVE
AL, 15, 1988082100,   ,chunshu,   0, 130N,  216W,  25,     , TD,       FIVE
AL, 15, 1988082106,   ,chunshu,   0, 135N,  219W,  30,     , TD,       FIVE
AL, 15, 1988082112,   ,chunshu,   0, 143N,  220W,  30,     , TD,       FIVE
AL, 15, 1988082118,   ,chunshu,   0, 151N,  225W,  30,     , TD,       FIVE
AL, 15, 1988082200,   ,chunshu,   0, 160N,  230W,  25,     , TD,       FIVE
AL, 15, 1988082206,   ,chunshu,   0, 167N,  239W,  30,     , TD,       FIVE
AL, 15, 1988082212,   ,chunshu,   0, 173N,  248W,  30,     , TD,       FIVE
AL, 15, 1988082218,   ,chunshu,   0, 179N,  256W,  30,     , TD,       FIVE
AL, 15, 1988082300,   ,chunshu,   0, 185N,  265W,  30,     , TD,       FIVE
AL, 15, 1988082306,   ,chunshu,   0, 189N,  277W,  30,     , TD,       FIVE
AL, 15, 1988082312,   ,chunshu,   0, 193N,  290W,  30,     , TD,       FIVE
AL, 15, 1988082318,   ,chunshu,   0, 197N,  303W,  30,     , TD,       FIVE
AL, 15, 1988082400,   ,chunshu,   0, 200N,  315W,  30,     , TD,       FIVE
AL, 15, 1988082406,   ,chunshu,   0, 203N,  328W,  30,     , TD,       FIVE
AL, 15, 1988082412,   ,chunshu,   0, 205N,  342W,  30,     , TD,       FIVE
AL, 15, 1988082418,   ,chunshu,   0, 208N,  356W,  30,     , TD,       FIVE
AL, 15, 1988082500,   ,chunshu,   0, 210N,  370W,  30,     , TD,       FIVE
AL, 15, 1988082506,   ,chunshu,   0, 215N,  382W,  30,     , TD,       FIVE
AL, 15, 1988082512,   ,chunshu,   0, 220N,  403W,  30,     , TD,       FIVE
AL, 15, 1988082518,   ,chunshu,   0, 225N,  419W,  30,     , TD,       FIVE
AL, 15, 1988082600,   ,chunshu,   0, 230N,  435W,  30,     , TD,       FIVE
AL, 15, 1988082606,   ,chunshu,   0, 235N,  454W,  15,     , WV,       FIVE
AL, 15, 1988082612,   ,chunshu,   0, 240N,  473W,  15,     , WV,       FIVE
AL, 15, 1988082618,   ,chunshu,   0, 245N,  492W,  15,     , WV,       FIVE
AL, 15, 1988082700,   ,chunshu,   0, 250N,  511W,  15,     , WV,       FIVE
AL, 15, 1988082706,   ,chunshu,   0, 255N,  530W,  15,     , WV,       FIVE
AL, 15, 1988082712,   ,chunshu,   0, 260N,  549W,  15,     , WV,       FIVE
AL, 15, 1988082718,   ,chunshu,   0, 265N,  568W,  15,     , WV,       FIVE
AL, 15, 1988082800,   ,chunshu,   0, 271N,  587W,  15,     , WV,       FIVE
AL, 15, 1988082806,   ,chunshu,   0, 277N,  606W,  15,     , WV,       FIVE
AL, 15, 1988082812,   ,chunshu,   0, 283N,  625W,  15,     , WV,       FIVE
AL, 15, 1988082818,   ,chunshu,   0, 289N,  644W,  15,     , WV,       FIVE
AL, 15, 1988082900,   ,chunshu,   0, 295N,  663W,  15,     , WV,       FIVE
AL, 15, 1988082906,   ,chunshu,   0, 301N,  682W,  15,     , WV,       FIVE
AL, 15, 1988082912,   ,chunshu,   0, 307N,  701W,  15,     , WV,       FIVE
AL, 15, 1988082918,   ,chunshu,   0, 315N,  720W,  20,     , TD,       FIVE
AL, 15, 1988083000,   ,chunshu,   0, 335N,  725W,  30,     , TD,       FIVE
AL, 15, 1988083006,   ,chunshu,   0, 355N,  725W,  30,     , TD,       FIVE
AL, 15, 1988083012,   ,chunshu,   0, 375N,  710W,  30,     , TD,       FIVE
AL, 15, 1988083018,   ,chunshu,   0, 385N,  695W,  30,     , TD,       FIVE
AL, 15, 1988083100,   ,chunshu,   0, 395N,  675W,  30,     , TD,       FIVE
AL, 15, 1988083106,   ,chunshu,   0, 413N,  645W,  30,     , TD,       FIVE
AL, 15, 1988083112,   ,chunshu,   0, 430N,  620W,  30,     , TD,       FIVE
