AL, 16, 1988082018,   ,chunshu,   0, 125N,  607W,  25,     , TD,        SIX
AL, 16, 1988082100,   ,chunshu,   0, 127N,  615W,  25,     , TD,        SIX
AL, 16, 1988082106,   ,chunshu,   0, 130N,  635W,  30,     , TD,        SIX
AL, 16, 1988082112,   ,chunshu,   0, 135N,  655W,  25,     , TD,        SIX
AL, 16, 1988082118,   ,chunshu,   0, 137N,  665W,  25,     , TD,        SIX
AL, 16, 1988082200,   ,chunshu,   0, 142N,  677W,  25,     , TD,        SIX
AL, 16, 1988082206,   ,chunshu,   0, 140N,  690W,  25,     , TD,        SIX
AL, 16, 1988082212,   ,chunshu,   0, 145N,  705W,  30,     , TD,        SIX
AL, 16, 1988082218,   ,chunshu,   0, 150N,  740W,  30,     , TD,        SIX
AL, 16, 1988082300,   ,chunshu,   0, 155N,  754W,  30,     , TD,        SIX
AL, 16, 1988082306,   ,chunshu,   0, 150N,  765W,  30,     , TD,        SIX
AL, 16, 1988082312,   ,chunshu,   0, 143N,  790W,  25,     , TD,        SIX
AL, 16, 1988082318,   ,chunshu,   0, 150N,  800W,  25,     , TD,        SIX
AL, 16, 1988082400,   ,chunshu,   0, 156N,  818W,  25,     , TD,        SIX
AL, 16, 1988082406,   ,chunshu,   0, 162N,  837W,  25,     , TD,        SIX
AL, 16, 1988082412,   ,chunshu,   0, 160N,  851W,  25,     , TD,        SIX
