AL, 19, 1981092600,   ,chunshu,   0,  80N,  380W,  20,     , TD,    UNNAMED
AL, 19, 1981092606,   ,chunshu,   0,  82N,  390W,  20,     , TD,    UNNAMED
AL, 19, 1981092612,   ,chunshu,   0,  87N,  400W,  25,     , TD,    UNNAMED
AL, 19, 1981092618,   ,chunshu,   0,  89N,  410W,  25,     , TD,    UNNAMED
AL, 19, 1981092700,   ,chunshu,   0,  90N,  420W,  30,     , TD,    UNNAMED
AL, 19, 1981092706,   ,chunshu,   0,  93N,  430W,  30,     , TD,    UNNAMED
AL, 19, 1981092712,   ,chunshu,   0,  96N,  440W,  30,     , TD,    UNNAMED
AL, 19, 1981092718,   ,chunshu,   0, 100N,  450W,  30,     , TD,    UNNAMED
AL, 19, 1981092800,   ,chunshu,   0, 102N,  460W,  30,     , TD,    UNNAMED
AL, 19, 1981092806,   ,chunshu,   0, 107N,  470W,  30,     , TD,    UNNAMED
AL, 19, 1981092812,   ,chunshu,   0, 110N,  480W,  30,     , TD,    UNNAMED
AL, 19, 1981092818,   ,chunshu,   0, 113N,  490W,  30,     , TD,    UNNAMED
AL, 19, 1981092900,   ,chunshu,   0, 118N,  500W,  30,     , TD,    UNNAMED
AL, 19, 1981092906,   ,chunshu,   0, 120N,  510W,  30,     , TD,    UNNAMED
AL, 19, 1981092912,   ,chunshu,   0, 124N,  520W,  30,     , TD,    UNNAMED
AL, 19, 1981092918,   ,chunshu,   0, 130N,  532W,  30,     , TD,    UNNAMED
AL, 19, 1981093000,   ,chunshu,   0, 138N,  546W,  30,     , TD,    UNNAMED
AL, 19, 1981093006,   ,chunshu,   0, 143N,  558W,  30,     , TD,    UNNAMED
AL, 19, 1981093012,   ,chunshu,   0, 150N,  570W,  30,     , TD,    UNNAMED
AL, 19, 1981093018,   ,chunshu,   0, 152N,  582W,  30,     , TD,    UNNAMED
AL, 19, 1981100100,   ,chunshu,   0, 159N,  598W,  30,     , TD,    UNNAMED
AL, 19, 1981100106,   ,chunshu,   0, 161N,  610W,  30,     , TD,    UNNAMED
AL, 19, 1981100112,   ,chunshu,   0, 165N,  623W,  30,     , TD,    UNNAMED
AL, 19, 1981100118,   ,chunshu,   0, 175N,  632W,  30,     , TD,    UNNAMED
AL, 19, 1981100200,   ,chunshu,   0, 189N,  641W,  30,     , TD,    UNNAMED
AL, 19, 1981100206,   ,chunshu,   0, 198N,  650W,  30,     , TD,    UNNAMED
AL, 19, 1981100212,   ,chunshu,   0, 210N,  660W,  30,     , TD,    UNNAMED
AL, 19, 1981100218,   ,chunshu,   0, 225N,  653W,  30,     , TD,    UNNAMED
AL, 19, 1981100300,   ,chunshu,   0, 240N,  645W,  30,     , TD,    UNNAMED
AL, 19, 1981100306,   ,chunshu,   0, 253N,  638W,  30,     , TD,    UNNAMED
AL, 19, 1981100312,   ,chunshu,   0, 270N,  630W,  30,     , TD,    UNNAMED
AL, 19, 1981100318,   ,chunshu,   0, 288N,  613W,  30,     , TD,    UNNAMED
AL, 19, 1981100400,   ,chunshu,   0, 303N,  597W,  25,     , TD,    UNNAMED
AL, 19, 1981100406,   ,chunshu,   0, 320N,  577W,  25,     , TD,    UNNAMED
AL, 19, 1981100412,   ,chunshu,   0, 337N,  558W,  20,     , TD,    UNNAMED
AL, 19, 1981100418,   ,chunshu,   0, 350N,  536W,  20,     , TD,    UNNAMED
