AL, 22, 1971111212,   ,chunshu,   0, 120N,  785W,  25,     , TD,      LAURA
AL, 22, 1971111218,   ,chunshu,   0, 123N,  788W,  30,     , TD,      LAURA
AL, 22, 1971111300,   ,chunshu,   0, 127N,  790W,  30,     , TD,      LAURA
AL, 22, 1971111306,   ,chunshu,   0, 133N,  796W,  30,     , TD,      LAURA
AL, 22, 1971111312,   ,chunshu,   0, 138N,  800W,  30,     , TD,      LAURA
AL, 22, 1971111318,   ,chunshu,   0, 145N,  806W,  30,     , TD,      LAURA
AL, 22, 1971111400,   ,chunshu,   0, 152N,  813W,  30,     , TD,      LAURA
AL, 22, 1971111406,   ,chunshu,   0, 160N,  820W,  30,     , TD,      LAURA
AL, 22, 1971111412,   ,chunshu,   0, 166N,  825W,  35, 1004, TS,      LAURA
AL, 22, 1971111418,   ,chunshu,   0, 174N,  832W,  40,     , TS,      LAURA
AL, 22, 1971111500,   ,chunshu,   0, 182N,  836W,  40,     , TS,      LAURA
AL, 22, 1971111506,   ,chunshu,   0, 190N,  838W,  45,     , TS,      LAURA
AL, 22, 1971111512,   ,chunshu,   0, 198N,  840W,  55,     , TS,      LAURA
AL, 22, 1971111518,   ,chunshu,   0, 204N,  841W,  60,     , TS,      LAURA
AL, 22, 1971111600,   ,chunshu,   0, 210N,  840W,  60,  998, TS,      LAURA
AL, 22, 1971111606,   ,chunshu,   0, 214N,  838W,  60,     , TS,      LAURA
AL, 22, 1971111612,   ,chunshu,   0, 217N,  835W,  60,     , TS,      LAURA
AL, 22, 1971111618,   ,chunshu,   0, 214N,  834W,  60,     , TS,      LAURA
AL, 22, 1971111700,   ,chunshu,   0, 211N,  833W,  60,  995, TS,      LAURA
AL, 22, 1971111706,   ,chunshu,   0, 205N,  835W,  60,     , TS,      LAURA
AL, 22, 1971111712,   ,chunshu,   0, 201N,  839W,  60,  994, TS,      LAURA
AL, 22, 1971111718,   ,chunshu,   0, 199N,  842W,  60,  996, TS,      LAURA
AL, 22, 1971111800,   ,chunshu,   0, 197N,  844W,  55,     , TS,      LAURA
AL, 22, 1971111806,   ,chunshu,   0, 198N,  847W,  50, 1000, TS,      LAURA
AL, 22, 1971111812,   ,chunshu,   0, 199N,  850W,  50,     , TS,      LAURA
AL, 22, 1971111818,   ,chunshu,   0, 199N,  852W,  50, 1001, TS,      LAURA
AL, 22, 1971111900,   ,chunshu,   0, 197N,  855W,  50, 1003, TS,      LAURA
AL, 22, 1971111906,   ,chunshu,   0, 194N,  855W,  45,     , TS,      LAURA
AL, 22, 1971111912,   ,chunshu,   0, 191N,  855W,  45,     , TS,      LAURA
AL, 22, 1971111918,   ,chunshu,   0, 186N,  857W,  45, 1000, TS,      LAURA
AL, 22, 1971112000,   ,chunshu,   0, 182N,  861W,  40,     , TS,      LAURA
AL, 22, 1971112006,   ,chunshu,   0, 179N,  865W,  50, 1000, TS,      LAURA
AL, 22, 1971112012,   ,chunshu,   0, 176N,  872W,  55, 1000, TS,      LAURA
AL, 22, 1971112018,   ,chunshu,   0, 172N,  877W,  60,  997, TS,      LAURA
AL, 22, 1971112100,   ,chunshu,   0, 167N,  882W,  60,  997, TS,      LAURA
AL, 22, 1971112106,   ,chunshu,   0, 163N,  886W,  60,     , TS,      LAURA
AL, 22, 1971112112,   ,chunshu,   0, 160N,  890W,  60,     , TS,      LAURA
AL, 22, 1971112118,   ,chunshu,   0, 157N,  894W,  60,     , TS,      LAURA
AL, 22, 1971112200,   ,chunshu,   0, 153N,  900W,  30,     , TD,      LAURA
