CP, 01, 1992012618,   ,chunshu,   0,  52N, 1544W,  20,     , TD,      EKEKA
CP, 01, 1992012700,   ,chunshu,   0,  48N, 1543W,  20,     , TD,      EKEKA
CP, 01, 1992012706,   ,chunshu,   0,  43N, 1545W,  20,     , TD,      EKEKA
CP, 01, 1992012712,   ,chunshu,   0,  42N, 1550W,  25,     , TD,      EKEKA
CP, 01, 1992012718,   ,chunshu,   0,  42N, 1556W,  25,     , TD,      EKEKA
CP, 01, 1992012800,   ,chunshu,   0,  43N, 1562W,  25,     , TD,      EKEKA
CP, 01, 1992012806,   ,chunshu,   0,  45N, 1568W,  30,     , TD,      EKEKA
CP, 01, 1992012812,   ,chunshu,   0,  48N, 1575W,  30,     , TD,      EKEKA
CP, 01, 1992012818,   ,chunshu,   0,  51N, 1582W,  35,     , TS,      EKEKA
CP, 01, 1992012900,   ,chunshu,   0,  55N, 1585W,  40,     , TS,      EKEKA
CP, 01, 1992012906,   ,chunshu,   0,  57N, 1590W,  45,     , TS,      EKEKA
CP, 01, 1992012912,   ,chunshu,   0,  59N, 1608W,  50,     , TS,      EKEKA
CP, 01, 1992012918,   ,chunshu,   0,  60N, 1625W,  55,     , TS,      EKEKA
CP, 01, 1992013000,   ,chunshu,   0,  60N, 1635W,  65,     , HU,      EKEKA
CP, 01, 1992013006,   ,chunshu,   0,  61N, 1642W,  65,     , HU,      EKEKA
CP, 01, 1992013012,   ,chunshu,   0,  61N, 1647W,  70,     , HU,      EKEKA
CP, 01, 1992013018,   ,chunshu,   0,  62N, 1652W,  75,     , HU,      EKEKA
CP, 01, 1992013100,   ,chunshu,   0,  63N, 1662W,  75,     , HU,      EKEKA
CP, 01, 1992013106,   ,chunshu,   0,  65N, 1672W,  75,     , HU,      EKEKA
CP, 01, 1992013112,   ,chunshu,   0,  69N, 1683W,  75,     , HU,      EKEKA
CP, 01, 1992013118,   ,chunshu,   0,  74N, 1695W,  85,     , HU,      EKEKA
CP, 01, 1992020100,   ,chunshu,   0,  81N, 1711W,  90,     , HU,      EKEKA
CP, 01, 1992020106,   ,chunshu,   0,  84N, 1719W,  90,     , HU,      EKEKA
CP, 01, 1992020112,   ,chunshu,   0,  88N, 1728W,  90,     , HU,      EKEKA
CP, 01, 1992020118,   ,chunshu,   0,  90N, 1733W,  90,     , HU,      EKEKA
CP, 01, 1992020200,   ,chunshu,   0,  92N, 1737W, 100,     , HU,      EKEKA
CP, 01, 1992020206,   ,chunshu,   0,  93N, 1742W, 100,     , HU,      EKEKA
CP, 01, 1992020212,   ,chunshu,   0,  95N, 1746W,  90,     , HU,      EKEKA
CP, 01, 1992020218,   ,chunshu,   0,  96N, 1751W,  90,     , HU,      EKEKA
CP, 01, 1992020300,   ,chunshu,   0,  96N, 1757W,  80,     , HU,      EKEKA
CP, 01, 1992020306,   ,chunshu,   0,  97N, 1764W,  50,     , TS,      EKEKA
CP, 01, 1992020312,   ,chunshu,   0,  95N, 1780W,  40,     , TS,      EKEKA
CP, 01, 1992020318,   ,chunshu,   0,  94N, 1800W,  40,     , TS,      EKEKA
CP, 01, 1992020400,   ,chunshu,   0,  92N, 1782E,  40,     , TS,      EKEKA
CP, 01, 1992020406,   ,chunshu,   0,  91N, 1765E,  35,     , TS,      EKEKA
CP, 01, 1992020412,   ,chunshu,   0,  92N, 1748E,  30,     , TD,      EKEKA
CP, 01, 1992020418,   ,chunshu,   0,  94N, 1730E,  25,     , TD,      EKEKA
CP, 01, 1992020500,   ,chunshu,   0,  99N, 1712E,  25,     , TD,      EKEKA
CP, 01, 1992020506,   ,chunshu,   0, 103N, 1695E,  25,     , TD,      EKEKA
CP, 01, 1992020512,   ,chunshu,   0, 106N, 1680E,  25,     , TD,      EKEKA
CP, 01, 1992020518,   ,chunshu,   0, 109N, 1666E,  25,     , TD,      EKEKA
CP, 01, 1992020600,   ,chunshu,   0, 110N, 1653E,  25,     , TD,      EKEKA
CP, 01, 1992020606,   ,chunshu,   0, 108N, 1642E,  25,     , TD,      EKEKA
CP, 01, 1992020612,   ,chunshu,   0, 105N, 1632E,  25,     , TD,      EKEKA
CP, 01, 1992020618,   ,chunshu,   0, 102N, 1621E,  25,     , TD,      EKEKA
CP, 01, 1992020700,   ,chunshu,   0,  98N, 1608E,  25,     , TD,      EKEKA
CP, 01, 1992020706,   ,chunshu,   0,  95N, 1593E,  25,     , TD,      EKEKA
CP, 01, 1992020712,   ,chunshu,   0,  90N, 1577E,  20,     , TD,      EKEKA
CP, 01, 1992020718,   ,chunshu,   0,  85N, 1560E,  20,     , TD,      EKEKA
CP, 01, 1992020800,   ,chunshu,   0,  80N, 1541E,  20,     , TD,      EKEKA
CP, 01, 1992020806,   ,chunshu,   0,  74N, 1522E,  20,     , TD,      EKEKA
CP, 01, 1992020812,   ,chunshu,   0,  70N, 1502E,  20,     , TD,      EKEKA
CP, 01, 1992020818,   ,chunshu,   0,  68N, 1482E,  15,     , TD,      EKEKA
CP, 01, 1992020900,   ,chunshu,   0,  68N, 1462E,  15,     , TD,      EKEKA
