CP, 01, 1993080900,   ,chunshu,   0, 125N, 1440W,  30,     , TD,      KEONI
CP, 01, 1993080906,   ,chunshu,   0, 125N, 1443W,  30,     , TD,      KEONI
CP, 01, 1993080912,   ,chunshu,   0, 125N, 1444W,  30,     , TD,      KEONI
CP, 01, 1993080918,   ,chunshu,   0, 124N, 1445W,  30,     , TD,      KEONI
CP, 01, 1993081000,   ,chunshu,   0, 124N, 1445W,  30,     , TD,      KEONI
CP, 01, 1993081006,   ,chunshu,   0, 124N, 1447W,  30,     , TD,      KEONI
CP, 01, 1993081012,   ,chunshu,   0, 124N, 1450W,  30,     , TD,      KEONI
CP, 01, 1993081018,   ,chunshu,   0, 124N, 1450W,  30,     , TD,      KEONI
CP, 01, 1993081100,   ,chunshu,   0, 124N, 1450W,  30,     , TD,      KEONI
CP, 01, 1993081106,   ,chunshu,   0, 124N, 1450W,  30,     , TD,      KEONI
CP, 01, 1993081112,   ,chunshu,   0, 124N, 1450W,  30,     , TD,      KEONI
CP, 01, 1993081118,   ,chunshu,   0, 123N, 1455W,  30,     , TD,      KEONI
CP, 01, 1993081200,   ,chunshu,   0, 122N, 1467W,  30,     , TD,      KEONI
CP, 01, 1993081206,   ,chunshu,   0, 121N, 1480W,  30,     , TD,      KEONI
CP, 01, 1993081212,   ,chunshu,   0, 119N, 1496W,  30,     , TD,      KEONI
CP, 01, 1993081218,   ,chunshu,   0, 118N, 1510W,  50,     , TS,      KEONI
CP, 01, 1993081300,   ,chunshu,   0, 118N, 1523W,  55,     , TS,      KEONI
CP, 01, 1993081306,   ,chunshu,   0, 119N, 1536W,  55,     , TS,      KEONI
CP, 01, 1993081312,   ,chunshu,   0, 120N, 1546W,  55,     , TS,      KEONI
CP, 01, 1993081318,   ,chunshu,   0, 121N, 1556W,  60,     , TS,      KEONI
CP, 01, 1993081400,   ,chunshu,   0, 123N, 1570W,  60,     , TS,      KEONI
CP, 01, 1993081406,   ,chunshu,   0, 127N, 1584W,  60,     , TS,      KEONI
CP, 01, 1993081412,   ,chunshu,   0, 130N, 1597W,  60,     , TS,      KEONI
CP, 01, 1993081418,   ,chunshu,   0, 133N, 1610W,  70,     , HU,      KEONI
CP, 01, 1993081500,   ,chunshu,   0, 136N, 1625W,  75,     , HU,      KEONI
CP, 01, 1993081506,   ,chunshu,   0, 138N, 1640W,  80,     , HU,      KEONI
CP, 01, 1993081512,   ,chunshu,   0, 139N, 1653W,  90,     , HU,      KEONI
