CP, 02, 1997082806,   ,chunshu,   0, 118N, 1667W,  15,     , TD,      OLIWA
CP, 02, 1997082812,   ,chunshu,   0, 118N, 1671W,  25,     , TD,      OLIWA
CP, 02, 1997082818,   ,chunshu,   0, 118N, 1676W,  25,     , TD,      OLIWA
CP, 02, 1997082900,   ,chunshu,   0, 118N, 1681W,  25,     , TD,      OLIWA
CP, 02, 1997082906,   ,chunshu,   0, 118N, 1686W,  25,     , TD,      OLIWA
CP, 02, 1997082912,   ,chunshu,   0, 118N, 1690W,  25,     , TD,      OLIWA
CP, 02, 1997082918,   ,chunshu,   0, 119N, 1693W,  25,     , TD,      OLIWA
CP, 02, 1997083000,   ,chunshu,   0, 121N, 1695W,  25,     , TD,      OLIWA
CP, 02, 1997083006,   ,chunshu,   0, 123N, 1700W,  25,     , TD,      OLIWA
CP, 02, 1997083012,   ,chunshu,   0, 124N, 1706W,  25,     , TD,      OLIWA
CP, 02, 1997083018,   ,chunshu,   0, 124N, 1713W,  25,     , TD,      OLIWA
CP, 02, 1997083100,   ,chunshu,   0, 125N, 1720W,  25,     , TD,      OLIWA
CP, 02, 1997083106,   ,chunshu,   0, 126N, 1726W,  25,     , TD,      OLIWA
CP, 02, 1997083112,   ,chunshu,   0, 127N, 1731W,  25,     , TD,      OLIWA
CP, 02, 1997083118,   ,chunshu,   0, 127N, 1736W,  25,     , TD,      OLIWA
CP, 02, 1997090100,   ,chunshu,   0, 127N, 1741W,  25,     , TD,      OLIWA
CP, 02, 1997090106,   ,chunshu,   0, 127N, 1746W,  25,     , TD,      OLIWA
CP, 02, 1997090112,   ,chunshu,   0, 127N, 1752W,  25,     , TD,      OLIWA
CP, 02, 1997090118,   ,chunshu,   0, 127N, 1758W,  30,     , TD,      OLIWA
CP, 02, 1997090200,   ,chunshu,   0, 128N, 1764W,  30,     , TD,      OLIWA
CP, 02, 1997090206,   ,chunshu,   0, 130N, 1769W,  30,     , TD,      OLIWA
CP, 02, 1997090212,   ,chunshu,   0, 131N, 1773W,  30,     , TD,      OLIWA
CP, 02, 1997090218,   ,chunshu,   0, 132N, 1777W,  30,     , TD,      OLIWA
CP, 02, 1997090300,   ,chunshu,   0, 133N, 1782W,  35,     , TS,      OLIWA
CP, 02, 1997090306,   ,chunshu,   0, 133N, 1787W,  35,     , TS,      OLIWA
CP, 02, 1997090312,   ,chunshu,   0, 132N, 1792W,  35,     , TS,      OLIWA
CP, 02, 1997090318,   ,chunshu,   0, 131N, 1798W,  35,     , TS,      OLIWA
CP, 02, 1997090400,   ,chunshu,   0, 131N, 1794E,  35,     , TS,      OLIWA
CP, 02, 1997090406,   ,chunshu,   0, 131N, 1783E,  35,     , TS,      OLIWA
CP, 02, 1997090412,   ,chunshu,   0, 131N, 1770E,  35,     , TS,      OLIWA
CP, 02, 1997090418,   ,chunshu,   0, 133N, 1755E,  35,     , TS,      OLIWA
CP, 02, 1997090500,   ,chunshu,   0, 137N, 1740E,  35,     , TS,      OLIWA
CP, 02, 1997090506,   ,chunshu,   0, 142N, 1729E,  35,     , TS,      OLIWA
CP, 02, 1997090512,   ,chunshu,   0, 146N, 1721E,  35,     , TS,      OLIWA
CP, 02, 1997090518,   ,chunshu,   0, 150N, 1713E,  35,     , TS,      OLIWA
CP, 02, 1997090600,   ,chunshu,   0, 155N, 1704E,  35,     , TS,      OLIWA
CP, 02, 1997090606,   ,chunshu,   0, 160N, 1699E,  35,     , TS,      OLIWA
CP, 02, 1997090612,   ,chunshu,   0, 164N, 1678E,  35,     , TS,      OLIWA
CP, 02, 1997090618,   ,chunshu,   0, 167N, 1665E,  40,     , TS,      OLIWA
CP, 02, 1997090700,   ,chunshu,   0, 170N, 1653E,  45,     , TS,      OLIWA
CP, 02, 1997090706,   ,chunshu,   0, 173N, 1643E,  50,     , TS,      OLIWA
CP, 02, 1997090712,   ,chunshu,   0, 175N, 1634E,  55,     , TS,      OLIWA
CP, 02, 1997090718,   ,chunshu,   0, 177N, 1626E,  60,     , TS,      OLIWA
CP, 02, 1997090800,   ,chunshu,   0, 179N, 1618E,  60,     , TS,      OLIWA
CP, 02, 1997090806,   ,chunshu,   0, 180N, 1610E,  65,     , HU,      OLIWA
CP, 02, 1997090812,   ,chunshu,   0, 181N, 1599E,  65,     , HU,      OLIWA
