CP, 02, 2014101012,   ,chunshu,   0,  97N, 1287W,  20, 1009, DB
CP, 02, 2014101018,   ,chunshu,   0,  98N, 1299W,  20, 1009, DB
CP, 02, 2014101100,   ,chunshu,   0,  98N, 1311W,  20, 1009, DB
CP, 02, 2014101106,   ,chunshu,   0,  99N, 1325W,  20, 1009, DB
CP, 02, 2014101112,   ,chunshu,   0, 100N, 1340W,  20, 1007, DB,     INVEST
CP, 02, 2014101118,   ,chunshu,   0, 102N, 1350W,  20, 1009, DB,     INVEST
CP, 02, 2014101200,   ,chunshu,   0, 104N, 1360W,  20, 1009, DB,     INVEST
CP, 02, 2014101206,   ,chunshu,   0, 106N, 1370W,  20, 1009, DB,     INVEST
CP, 02, 2014101212,   ,chunshu,   0, 108N, 1378W,  25, 1008, LO,     INVEST
CP, 02, 2014101218,   ,chunshu,   0, 112N, 1388W,  25, 1008, LO,     INVEST
CP, 02, 2014101300,   ,chunshu,   0, 115N, 1399W,  25, 1008, LO,     INVEST
CP, 02, 2014101306,   ,chunshu,   0, 118N, 1409W,  25, 1008, LO,     INVEST
CP, 02, 2014101312,   ,chunshu,   0, 122N, 1419W,  25, 1008, LO,     INVEST
CP, 02, 2014101318,   ,chunshu,   0, 123N, 1422W,  30, 1007, TD,        TWO
CP, 02, 2014101400,   ,chunshu,   0, 127N, 1423W,  35, 1005, TS,        ANA
CP, 02, 2014101406,   ,chunshu,   0, 130N, 1427W,  40, 1003, TS,        ANA
CP, 02, 2014101412,   ,chunshu,   0, 135N, 1433W,  45, 1000, TS,        ANA
CP, 02, 2014101418,   ,chunshu,   0, 138N, 1439W,  55,  996, TS,        ANA
CP, 02, 2014101500,   ,chunshu,   0, 140N, 1446W,  55,  996, TS,        ANA
CP, 02, 2014101506,   ,chunshu,   0, 141N, 1453W,  60,  994, TS,        ANA
CP, 02, 2014101512,   ,chunshu,   0, 142N, 1461W,  60,  994, TS,        ANA
CP, 02, 2014101518,   ,chunshu,   0, 143N, 1470W,  60,  994, TS,        ANA
CP, 02, 2014101600,   ,chunshu,   0, 141N, 1480W,  55,  998, TS,        ANA
CP, 02, 2014101606,   ,chunshu,   0, 140N, 1489W,  50, 1000, TS,        ANA
CP, 02, 2014101612,   ,chunshu,   0, 140N, 1497W,  50, 1000, TS,        ANA
CP, 02, 2014101618,   ,chunshu,   0, 141N, 1505W,  50, 1000, TS,        ANA
CP, 02, 2014101700,   ,chunshu,   0, 144N, 1514W,  50, 1000, TS,        ANA
CP, 02, 2014101706,   ,chunshu,   0, 149N, 1525W,  55,  998, TS,        ANA
CP, 02, 2014101712,   ,chunshu,   0, 154N, 1537W,  60,  992, TS,        ANA
CP, 02, 2014101718,   ,chunshu,   0, 160N, 1548W,  65,  990, HU,        ANA
CP, 02, 2014101800,   ,chunshu,   0, 166N, 1562W,  70,  989, HU,        ANA
CP, 02, 2014101806,   ,chunshu,   0, 175N, 1570W,  75,  985, HU,        ANA
CP, 02, 2014101812,   ,chunshu,   0, 182N, 1577W,  70,  986, HU,        ANA
CP, 02, 2014101818,   ,chunshu,   0, 190N, 1585W,  70,  988, HU,        ANA
CP, 02, 2014101900,   ,chunshu,   0, 196N, 1589W,  70,  989, HU,        ANA
CP, 02, 2014101906,   ,chunshu,   0, 201N, 1592W,  70,  989, HU,        ANA
CP, 02, 2014101912,   ,chunshu,   0, 206N, 1596W,  70,  989, HU,        ANA
CP, 02, 2014101918,   ,chunshu,   0, 207N, 1602W,  65,  992, HU,        ANA
CP, 02, 2014102000,   ,chunshu,   0, 207N, 1609W,  60,  994, TS,        ANA
CP, 02, 2014102006,   ,chunshu,   0, 207N, 1618W,  60,  995, TS,        ANA
CP, 02, 2014102012,   ,chunshu,   0, 207N, 1627W,  60,  995, TS,        ANA
CP, 02, 2014102018,   ,chunshu,   0, 206N, 1634W,  55,  996, TS,        ANA
CP, 02, 2014102100,   ,chunshu,   0, 205N, 1640W,  50,  997, TS,        ANA
CP, 02, 2014102106,   ,chunshu,   0, 208N, 1644W,  45,  999, TS,        ANA
CP, 02, 2014102112,   ,chunshu,   0, 208N, 1654W,  40, 1002, TS,        ANA
CP, 02, 2014102118,   ,chunshu,   0, 209N, 1657W,  35, 1005, TS,        ANA
CP, 02, 2014102200,   ,chunshu,   0, 216N, 1661W,  35, 1005, TS,        ANA
CP, 02, 2014102206,   ,chunshu,   0, 220N, 1668W,  35, 1005, TS,        ANA
CP, 02, 2014102212,   ,chunshu,   0, 226N, 1671W,  35, 1005, TS,        ANA
CP, 02, 2014102218,   ,chunshu,   0, 234N, 1673W,  35, 1005, TS,        ANA
CP, 02, 2014102300,   ,chunshu,   0, 244N, 1677W,  35, 1005, TS,        ANA
CP, 02, 2014102306,   ,chunshu,   0, 255N, 1682W,  40, 1002, TS,        ANA
CP, 02, 2014102312,   ,chunshu,   0, 263N, 1691W,  45,  998, TS,        ANA
CP, 02, 2014102318,   ,chunshu,   0, 267N, 1695W,  45,  999, TS,        ANA
CP, 02, 2014102400,   ,chunshu,   0, 271N, 1699W,  45, 1000, TS,        ANA
CP, 02, 2014102406,   ,chunshu,   0, 276N, 1702W,  45, 1000, TS,        ANA
CP, 02, 2014102412,   ,chunshu,   0, 282N, 1699W,  50,  999, TS,        ANA
CP, 02, 2014102418,   ,chunshu,   0, 289N, 1696W,  55,  996, TS,        ANA
CP, 02, 2014102500,   ,chunshu,   0, 302N, 1685W,  65,  988, HU,        ANA
CP, 02, 2014102506,   ,chunshu,   0, 317N, 1668W,  65,  987, HU,        ANA
CP, 02, 2014102512,   ,chunshu,   0, 334N, 1646W,  65,  987, HU,        ANA
CP, 02, 2014102518,   ,chunshu,   0, 350N, 1625W,  65,  987, HU,        ANA
CP, 02, 2014102600,   ,chunshu,   0, 370N, 1591W,  60,  986, TS,        ANA
CP, 02, 2014102606,   ,chunshu,   0, 391N, 1549W,  55,  989, TS,        ANA
CP, 02, 2014102612,   ,chunshu,   0, 412N, 1502W,  50,  992, EX,        ANA
