CP, 03, 1994102100,   ,chunshu,   0, 128N, 1573W,  30,     , TD,       NONA
CP, 03, 1994102106,   ,chunshu,   0, 128N, 1573W,  30,     , TD,       NONA
CP, 03, 1994102112,   ,chunshu,   0, 128N, 1573W,  30,     , TD,       NONA
CP, 03, 1994102118,   ,chunshu,   0, 128N, 1573W,  30,     , TD,       NONA
CP, 03, 1994102200,   ,chunshu,   0, 128N, 1573W,  30,     , TD,       NONA
CP, 03, 1994102206,   ,chunshu,   0, 128N, 1573W,  30,     , TD,       NONA
CP, 03, 1994102212,   ,chunshu,   0, 128N, 1573W,  30,     , TD,       NONA
CP, 03, 1994102218,   ,chunshu,   0, 128N, 1573W,  30,     , TD,       NONA
CP, 03, 1994102300,   ,chunshu,   0, 128N, 1577W,  30,     , TD,       NONA
CP, 03, 1994102306,   ,chunshu,   0, 127N, 1585W,  30,     , TD,       NONA
CP, 03, 1994102312,   ,chunshu,   0, 125N, 1585W,  30,     , TD,       NONA
CP, 03, 1994102318,   ,chunshu,   0, 125N, 1595W,  30,     , TD,       NONA
CP, 03, 1994102400,   ,chunshu,   0, 120N, 1603W,  30,     , TD,       NONA
CP, 03, 1994102406,   ,chunshu,   0, 118N, 1615W,  30,     , TD,       NONA
CP, 03, 1994102412,   ,chunshu,   0, 121N, 1625W,  25,     , TD,       NONA
CP, 03, 1994102418,   ,chunshu,   0, 116N, 1645W,  25,     , TD,       NONA
CP, 03, 1994102500,   ,chunshu,   0, 117N, 1656W,  25,     , TD,       NONA
CP, 03, 1994102506,   ,chunshu,   0, 118N, 1670W,  25,     , TD,       NONA
CP, 03, 1994102512,   ,chunshu,   0, 120N, 1684W,  35,     , TS,       NONA
CP, 03, 1994102518,   ,chunshu,   0, 120N, 1699W,  30,     , TD,       NONA
CP, 03, 1994102600,   ,chunshu,   0, 122N, 1714W,  25,     , TD,       NONA
