CP, 05, 1997112818,   ,chunshu,   0,  56N, 1663W,  20,     , TD,       PAKA
CP, 05, 1997112900,   ,chunshu,   0,  59N, 1661W,  25,     , TD,       PAKA
CP, 05, 1997112906,   ,chunshu,   0,  61N, 1660W,  25,     , TD,       PAKA
CP, 05, 1997112912,   ,chunshu,   0,  64N, 1658W,  25,     , TD,       PAKA
CP, 05, 1997112918,   ,chunshu,   0,  67N, 1655W,  25,     , TD,       PAKA
CP, 05, 1997113000,   ,chunshu,   0,  71N, 1653W,  25,     , TD,       PAKA
CP, 05, 1997113006,   ,chunshu,   0,  74N, 1652W,  25,     , TD,       PAKA
CP, 05, 1997113012,   ,chunshu,   0,  77N, 1652W,  25,     , TD,       PAKA
CP, 05, 1997113018,   ,chunshu,   0,  78N, 1653W,  25,     , TD,       PAKA
CP, 05, 1997120100,   ,chunshu,   0,  79N, 1654W,  25,     , TD,       PAKA
CP, 05, 1997120106,   ,chunshu,   0,  80N, 1656W,  30,     , TD,       PAKA
CP, 05, 1997120112,   ,chunshu,   0,  80N, 1659W,  30,     , TD,       PAKA
CP, 05, 1997120118,   ,chunshu,   0,  80N, 1663W,  30,     , TD,       PAKA
CP, 05, 1997120200,   ,chunshu,   0,  80N, 1667W,  30,     , TD,       PAKA
CP, 05, 1997120206,   ,chunshu,   0,  80N, 1671W,  35,     , TS,       PAKA
CP, 05, 1997120212,   ,chunshu,   0,  80N, 1672W,  40,     , TS,       PAKA
CP, 05, 1997120218,   ,chunshu,   0,  81N, 1673W,  45,     , TS,       PAKA
CP, 05, 1997120300,   ,chunshu,   0,  81N, 1674W,  45,     , TS,       PAKA
CP, 05, 1997120306,   ,chunshu,   0,  81N, 1675W,  50,     , TS,       PAKA
CP, 05, 1997120312,   ,chunshu,   0,  81N, 1676W,  55,     , TS,       PAKA
CP, 05, 1997120318,   ,chunshu,   0,  82N, 1678W,  55,     , TS,       PAKA
CP, 05, 1997120400,   ,chunshu,   0,  83N, 1682W,  55,     , TS,       PAKA
CP, 05, 1997120406,   ,chunshu,   0,  84N, 1687W,  55,     , TS,       PAKA
CP, 05, 1997120412,   ,chunshu,   0,  84N, 1693W,  50,     , TS,       PAKA
CP, 05, 1997120418,   ,chunshu,   0,  84N, 1701W,  50,     , TS,       PAKA
CP, 05, 1997120500,   ,chunshu,   0,  83N, 1713W,  50,     , TS,       PAKA
CP, 05, 1997120506,   ,chunshu,   0,  82N, 1723W,  50,     , TS,       PAKA
CP, 05, 1997120512,   ,chunshu,   0,  81N, 1735W,  45,     , TS,       PAKA
CP, 05, 1997120518,   ,chunshu,   0,  79N, 1750W,  45,     , TS,       PAKA
CP, 05, 1997120600,   ,chunshu,   0,  77N, 1767W,  40,     , TS,       PAKA
CP, 05, 1997120606,   ,chunshu,   0,  76N, 1777W,  35,     , TS,       PAKA
CP, 05, 1997120612,   ,chunshu,   0,  75N, 1784W,  35,     , TS,       PAKA
CP, 05, 1997120618,   ,chunshu,   0,  74N, 1791W,  40,     , TS,       PAKA
CP, 05, 1997120700,   ,chunshu,   0,  74N, 1797W,  45,     , TS,       PAKA
CP, 05, 1997120706,   ,chunshu,   0,  74N, 1799E,  50,     , TS,       PAKA
CP, 05, 1997120712,   ,chunshu,   0,  74N, 1794E,  55,     , TS,       PAKA
CP, 05, 1997120718,   ,chunshu,   0,  74N, 1788E,  60,     , TS,       PAKA
CP, 05, 1997120800,   ,chunshu,   0,  73N, 1781E,  60,     , TS,       PAKA
CP, 05, 1997120806,   ,chunshu,   0,  71N, 1772E,  55,     , TS,       PAKA
CP, 05, 1997120812,   ,chunshu,   0,  69N, 1765E,  45,     , TS,       PAKA
CP, 05, 1997120818,   ,chunshu,   0,  67N, 1755E,  45,     , TS,       PAKA
CP, 05, 1997120900,   ,chunshu,   0,  66N, 1746E,  45,     , TS,       PAKA
CP, 05, 1997120906,   ,chunshu,   0,  66N, 1741E,  45,     , TS,       PAKA
CP, 05, 1997120912,   ,chunshu,   0,  67N, 1735E,  45,     , TS,       PAKA
CP, 05, 1997120918,   ,chunshu,   0,  68N, 1727E,  45,     , TS,       PAKA
CP, 05, 1997121000,   ,chunshu,   0,  68N, 1719E,  50,     , TS,       PAKA
CP, 05, 1997121006,   ,chunshu,   0,  68N, 1712E,  60,     , TS,       PAKA
CP, 05, 1997121012,   ,chunshu,   0,  67N, 1705E,  70,     , HU,       PAKA
CP, 05, 1997121018,   ,chunshu,   0,  67N, 1698E,  80,     , HU,       PAKA
CP, 05, 1997121100,   ,chunshu,   0,  67N, 1691E,  90,     , HU,       PAKA
CP, 05, 1997121106,   ,chunshu,   0,  68N, 1685E, 100,     , HU,       PAKA
CP, 05, 1997121112,   ,chunshu,   0,  71N, 1677E, 105,     , HU,       PAKA
CP, 05, 1997121118,   ,chunshu,   0,  73N, 1673E, 110,     , HU,       PAKA
CP, 05, 1997121200,   ,chunshu,   0,  76N, 1665E, 115,     , HU,       PAKA
CP, 05, 1997121206,   ,chunshu,   0,  78N, 1658E, 115,     , HU,       PAKA
CP, 05, 1997121212,   ,chunshu,   0,  80N, 1651E, 110,     , HU,       PAKA
CP, 05, 1997121218,   ,chunshu,   0,  83N, 1641E, 105,     , HU,       PAKA
CP, 05, 1997121300,   ,chunshu,   0,  87N, 1630E, 100,     , HU,       PAKA
CP, 05, 1997121306,   ,chunshu,   0,  91N, 1618E,  95,     , HU,       PAKA
CP, 05, 1997121312,   ,chunshu,   0,  96N, 1605E, 105,     , HU,       PAKA
CP, 05, 1997121318,   ,chunshu,   0, 100N, 1590E, 115,     , HU,       PAKA
CP, 05, 1997121400,   ,chunshu,   0, 104N, 1574E, 120,     , HU,       PAKA
CP, 05, 1997121406,   ,chunshu,   0, 109N, 1557E, 125,     , HU,       PAKA
CP, 05, 1997121412,   ,chunshu,   0, 114N, 1540E, 130,     , HU,       PAKA
CP, 05, 1997121418,   ,chunshu,   0, 120N, 1525E, 135,     , HU,       PAKA
CP, 05, 1997121500,   ,chunshu,   0, 124N, 1508E, 140,     , HU,       PAKA
CP, 05, 1997121506,   ,chunshu,   0, 127N, 1495E, 140,     , HU,       PAKA
CP, 05, 1997121512,   ,chunshu,   0, 130N, 1483E, 140,     , HU,       PAKA
CP, 05, 1997121518,   ,chunshu,   0, 133N, 1471E, 135,     , HU,       PAKA
CP, 05, 1997121600,   ,chunshu,   0, 135N, 1462E, 130,     , HU,       PAKA
CP, 05, 1997121606,   ,chunshu,   0, 137N, 1453E, 125,     , HU,       PAKA
CP, 05, 1997121612,   ,chunshu,   0, 137N, 1447E, 130,     , HU,       PAKA
CP, 05, 1997121618,   ,chunshu,   0, 137N, 1439E, 135,     , HU,       PAKA
CP, 05, 1997121700,   ,chunshu,   0, 137N, 1430E, 140,     , HU,       PAKA
CP, 05, 1997121706,   ,chunshu,   0, 137N, 1421E, 145,     , HU,       PAKA
CP, 05, 1997121712,   ,chunshu,   0, 138N, 1414E, 150,     , HU,       PAKA
CP, 05, 1997121718,   ,chunshu,   0, 140N, 1406E, 155,     , HU,       PAKA
