EP, 01, 2007052700,   ,chunshu,   0, 128N, 1106W,  30, 1006, TD,        ONE
EP, 01, 2007052706,   ,chunshu,   0, 130N, 1109W,  30, 1006, TD,        ONE
EP, 01, 2007052712,   ,chunshu,   0, 131N, 1110W,  25, 1006, TD,        ONE
EP, 01, 2007052718,   ,chunshu,   0, 131N, 1111W,  25, 1007, TD,        ONE
EP, 01, 2007052800,   ,chunshu,   0, 131N, 1116W,  25, 1007, TD,        ONE
EP, 01, 2007052806,   ,chunshu,   0, 131N, 1122W,  30, 1006, TD,        ONE
EP, 01, 2007052812,   ,chunshu,   0, 130N, 1126W,  30, 1005, TD,        ONE
EP, 01, 2007052818,   ,chunshu,   0, 129N, 1128W,  30, 1005, TD,        ONE
EP, 01, 2007052900,   ,chunshu,   0, 128N, 1131W,  35, 1004, TS,      ALVIN
EP, 01, 2007052906,   ,chunshu,   0, 127N, 1133W,  35, 1004, TS,      ALVIN
EP, 01, 2007052912,   ,chunshu,   0, 127N, 1135W,  35, 1003, TS,      ALVIN
EP, 01, 2007052918,   ,chunshu,   0, 128N, 1138W,  35, 1004, TS,      ALVIN
EP, 01, 2007053000,   ,chunshu,   0, 129N, 1141W,  35, 1004, TS,      ALVIN
EP, 01, 2007053006,   ,chunshu,   0, 131N, 1143W,  30, 1005, TD,      ALVIN
EP, 01, 2007053012,   ,chunshu,   0, 133N, 1145W,  30, 1005, TD,      ALVIN
EP, 01, 2007053018,   ,chunshu,   0, 133N, 1148W,  30, 1005, TD,      ALVIN
EP, 01, 2007053100,   ,chunshu,   0, 132N, 1150W,  30, 1005, TD,      ALVIN
EP, 01, 2007053106,   ,chunshu,   0, 131N, 1152W,  25, 1006, TD,      ALVIN
EP, 01, 2007053112,   ,chunshu,   0, 130N, 1156W,  25, 1007, TD,      ALVIN
EP, 01, 2007053118,   ,chunshu,   0, 128N, 1160W,  25, 1008, TD,      ALVIN
EP, 01, 2007060100,   ,chunshu,   0, 128N, 1164W,  25, 1008, LO
EP, 01, 2007060106,   ,chunshu,   0, 127N, 1170W,  25, 1008, LO
EP, 01, 2007060112,   ,chunshu,   0, 125N, 1175W,  25, 1008, LO
EP, 01, 2007060118,   ,chunshu,   0, 123N, 1179W,  25, 1008, LO
EP, 01, 2007060200,   ,chunshu,   0, 121N, 1183W,  25, 1008, LO
EP, 01, 2007060206,   ,chunshu,   0, 120N, 1188W,  25, 1008, LO
EP, 01, 2007060212,   ,chunshu,   0, 116N, 1194W,  25, 1008, LO
EP, 01, 2007060218,   ,chunshu,   0, 113N, 1198W,  25, 1008, LO
EP, 01, 2007060300,   ,chunshu,   0, 111N, 1202W,  25, 1008, LO
EP, 01, 2007060306,   ,chunshu,   0, 110N, 1206W,  25, 1008, LO
EP, 01, 2007060312,   ,chunshu,   0, 108N, 1210W,  25, 1008, LO
EP, 01, 2007060318,   ,chunshu,   0, 107N, 1213W,  25, 1008, LO
EP, 01, 2007060400,   ,chunshu,   0, 107N, 1218W,  25, 1008, LO
EP, 01, 2007060406,   ,chunshu,   0, 107N, 1225W,  25, 1008, LO
EP, 01, 2007060412,   ,chunshu,   0, 107N, 1232W,  25, 1008, LO,      ALVIN
EP, 01, 2007060418,   ,chunshu,   0, 106N, 1240W,  25, 1008, LO,      ALVIN
EP, 01, 2007060500,   ,chunshu,   0, 105N, 1247W,  25, 1008, LO,      ALVIN
EP, 01, 2007060506,   ,chunshu,   0, 106N, 1252W,  25, 1008, LO
EP, 01, 2007060512,   ,chunshu,   0, 108N, 1257W,  25, 1008, LO,      ALVIN
EP, 01, 2007060518,   ,chunshu,   0, 109N, 1261W,  25, 1008, LO,      ALVIN
EP, 01, 2007060600,   ,chunshu,   0, 109N, 1265W,  25, 1008, LO,      ALVIN
EP, 01, 2007060606,   ,chunshu,   0, 110N, 1270W,  25, 1008, LO
EP, 01, 2007060612,   ,chunshu,   0, 111N, 1274W,  20, 1008, LO
